,name,query,url,volume,domainContext
0,Happy New Year,Happy+New+Year,search?q=%22Happy+New+Year%22,4740000,
1,As 2023,As+2023,search?q=%22As+2023%22,278000,
2,Insurrection,Insurrection,search?q=Insurrection,178000,Politics
3,The 14th,The+14th,search?q=%22The+14th%22,103000,Politics
4,BRICS,BRICS,search?q=BRICS,58000,Politics
5,Good Friday,Good+Friday,search?q=%22Good+Friday%22,48800,
6,Susan,Susan,search?q=Susan,42599,Politics
7,Christie,Christie,search?q=Christie,37400,Politics
8,Stardom,Stardom,search?q=Stardom,35800,Wrestling
9,taetae,taetae,search?q=taetae,35200,K-pop
10,Friday of 2023,Friday+of+2023,search?q=%22Friday+of+2023%22,22400,
11,#FridayVibes,%23FridayVibes,search?q=%23FridayVibes,19600,Only on X
12,Pop Tart,Pop+Tart,search?q=%22Pop+Tart%22,18799,
13,#FursuitFriday,%23FursuitFriday,search?q=%23FursuitFriday,18600,
14,Marvin,Marvin,search?q=Marvin,14800,
15,Mike DeWine,Mike+DeWine,search?q=%22Mike+DeWine%22,14399, in Political figures
16,Encounters,Encounters,search?q=Encounters,13200,
17,#FridayFeeling,%23FridayFeeling,search?q=%23FridayFeeling,12600,Only on X
18,Andrade,Andrade,search?q=Andrade,12600,Wrestling
19,NOLA,NOLA,search?q=NOLA,7632,
20,Quarterbacky,Quarterbacky,search?q=Quarterbacky,6894,NFL
21,BRC App,BRC+App,search?q=%22BRC+App%22,6415,Business and finance
22,Hookah,Hookah,search?q=Hookah,5752,
23,Hamlin,Hamlin,search?q=Hamlin,5436,NFL
24,America Has A Problem,America+Has+A+Problem,search?q=%22America+Has+A+Problem%22,4429,
25,Cotton Bowl,Cotton+Bowl,search?q=%22Cotton+Bowl%22,3500,Sports
26,Happy Birthday Lily,Happy+Birthday+Lily,search?q=%22Happy+Birthday+Lily%22,3110,Politics
27,Czechia,Czechia,search?q=Czechia,3090,
28,Friyay,Friyay,search?q=Friyay,2540,
29,Ahmed Musa,Ahmed+Musa,search?q=%22Ahmed+Musa%22,2525,Soccer
30,Go Cats,Go+Cats,search?q=%22Go+Cats%22,2239,
31,Ted Danson,Ted+Danson,search?q=%22Ted+Danson%22,1959,Entertainment
32,Ohioans,Ohioans,search?q=Ohioans,1907,Politics
33,Ryan Clark,Ryan+Clark,search?q=%22Ryan+Clark%22,1413,Sports
34,Dabo,Dabo,search?q=Dabo,1357,Sports
35,Flex Friday,Flex+Friday,search?q=%22Flex+Friday%22,1093,
36,Leary,Leary,search?q=Leary,1081,Sports
37,Shipley,Shipley,search?q=Shipley,1000,
38,Comrie,Comrie,search?q=Comrie,1000,NHL
39,Bustos,Bustos,search?q=Bustos,1000,Soccer
40,George Floyd,George+Floyd,search?q=%22George+Floyd%22,1000,
41,Nugenix,Nugenix,search?q=Nugenix,1000,Sports
42,Ray Davis,Ray+Davis,search?q=%22Ray+Davis%22,1000,
43,#RaisingKanan,%23RaisingKanan,search?q=%23RaisingKanan,1000,
44,Frank Thomas,Frank+Thomas,search?q=%22Frank+Thomas%22,1000,Sports
45,Constitution,Constitution,search?q=Constitution,1000,Politics
46,Clemson,Clemson,search?q=Clemson,1000,
47,#HappyBirthdayTaehyung,%23HappyBirthdayTaehyung,search?q=%23HappyBirthdayTaehyung,1000,Korean music
48,GAME DAY,GAME+DAY,search?q=%22GAME+DAY%22,1000,
49,New Orleans,New+Orleans,search?q=%22New+Orleans%22,1000,
