,profiles,kw,count
0,0xKiloga,wallet,16
1,,Drop,9
2,,solana,9
3,,RT,6
4,,drop,6
5,,ftm,4
6,,sol,4
7,,tensor,3
8,,co,3
9,,eth,2
10,,post,2
11,,RiskOnBlast,2
12,,points,2
13,,Update,2
14,,de,2
15,,week,2
16,,first,2
17,,Degens,2
18,,presale,2
19,,live,2
20,,SOL,2
21,,Xbt_OnChain,1
22,,strategy,1
23,,ranking,1
24,,size,1
25,,fees,1
26,,vY9cD,1
27,,0x_Agamemnon,1
28,,farming,1
29,,around,1
30,,nft,1
31,,trading,1
32,,bonus,1
33,,AstroNodesSOL,1
34,,Post,1
35,,Solana,1
36,,eligible,1
37,,Z6yrhYmIHA,1
38,,nailed,1
39,,round,1
40,,one,1
41,,amp,1
42,,address,1
43,,Quick,1
44,,watch,1
45,,DMs,1
46,,surprise,1
47,,best,1
48,,project,1
49,,blast,1
50,,proof,1
51,,time,1
52,,TimeSolana,1
53,,launch,1
54,,hour,1
55,,challenge,1
56,,use,1
57,,ref,1
58,,code,1
59,,HgHmbF5iyy,1
60,,taking,1
61,,world,1
62,,88KittenSolana,1
