,profiles,kw,count
0,0xMantle,Mantle,19
1,,co,14
2,,NFT,6
3,,Ecosystem,6
4,,mETH,5
5,,mUSD,5
6,,Moonshot,4
7,,add,4
8,,trait,4
9,,EcoFund,4
10,,USDY,4
11,,USDT,4
12,,Protocol,3
13,,upgraded,3
14,,upgrade,3
15,,projects,3
16,,Check,2
17,,rewards,2
18,,updates,2
19,,next,2
20,,Sepolia,2
21,,Testnet,2
22,,Upgrade,2
23,,L2,2
24,,Week,2
25,,Jan,2
26,,respective,1
27,,know,1
28,,ones,1
29,,spot,1
30,,bidding,1
31,,ckS5xLXeNT,1
32,,Purchase,1
33,,successfully,1
34,,marketplaces,1
35,,Element_Market,1
36,,mintleapp,1
37,,note,1
38,,receive,1
39,,single,1
40,,allocation,1
41,,max,1
42,,per,1
43,,token,1
44,,even,1
45,,multiple,1
46,,days,1
47,,left,1
48,,Citizens,1
49,,Feb,1
50,,Snapshot,1
51,,hits,1
52,,via,1
53,,Armory,1
54,,sure,1
55,,process,1
56,,irreversible,1
57,,Z772SzHZCc,1
58,,wZIcQ3JOFt,1
59,,past,1
60,,300K,1
61,,capacity,1
62,,mark,1
63,,APY,1
64,,311K,1
65,,ETH,1
66,,staked,1
67,,LSP,1
68,,double,1
69,,dose,1
70,,soon,1
71,,VnSquaRqEx,1
72,,G1mdKLewQu,1
73,,folks,1
74,,see,1
75,,week,1
76,,weekend,1
77,,taking,1
78,,VBpdZ0N2L7,1
79,,Updates,1
80,,joining,1
81,,big,1
82,,RIquNTfjcq,1
83,,available,1
84,,Bybit_Official,1
85,,following,1
86,,collab,1
87,,OndoFinance,1
88,,trade,1
89,,pairs,1
90,,Bybit,1
91,,Spot,1
92,,ix1wVHrxiu,1
93,,5rHL7xjzCC,1
94,,Journey,1
95,,Season,1
96,,Alpha,1
97,,ENDS,1
98,,thrilled,1
99,,move,1
100,,phase,1
101,,community,1
102,,meantime,1
103,,sit,1
104,,tight,1
105,,wait,1
106,,announcement,1
107,,5CelWHlztr,1
108,,Launch,1
109,,New,1
110,,prep,1
111,,v2,1
112,,bringing,1
113,,Seamless,1
114,,Compatibility,1
115,,OP,1
116,,Stack,1
117,,amp,1
118,,Bedrock,1
119,,Migration,1
120,,Native,1
121,,Tokens,1
122,,Meta,1
123,,Transactions,1
124,,Fee,1
125,,Optimization,1
126,,Strategy,1
127,,gFEvyIeHtK,1
128,,Speed,1
129,,highlights,1
130,,happened,1
131,,Public,1
132,,Liaison,1
133,,IgneusTerrenus,1
134,,joined,1
135,,panel,1
136,,L1,1
137,,vs,1
138,,debate,1
139,,WCF_2030,1
140,,yesterday,1
141,,MantleinDavos,1
142,,icKxLJTLg2,1
143,,Mirana,1
144,,Ventures,1
145,,make,1
146,,second,1
147,,capital,1
148,,call,1
149,,30M,1
150,,accordance,1
151,,MIP,1
152,,invest,1
153,,new,1
154,,coming,1
155,,months,1
156,,Merchant,1
157,,Moe,1
158,,INIT,1
159,,Capital,1
160,,Butter,1
161,,Renzo,1
162,,MUFEX,1
163,,join,1
164,,top,1
165,,builders,1
166,,within,1
167,,integrating,1
168,,bolstering,1
169,,status,1
170,,yield,1
171,,powerhouse,1
172,,Total,1
173,,Deployed,1
174,,Inception,1
175,,10M,1
176,,committed,1
177,,fresh,1
178,,funding,1
179,,six,1
180,,MerchantMoe_xyz,1
181,,InitCapital_,1
182,,butterexchange,1
183,,RenzoProtocol,1
184,,Mufex_Official,1
185,,TsunamiFinance_,1
186,,prkqG1WqVS,1
187,,Good,1
188,,news,1
189,,enjoyooors,1
190,,watch,1
191,,space,1
192,,upcoming,1
193,,Double,1
194,,Dose,1
195,,Drive,1
196,,KC6SAr13ZG,1
