,profiles,kw,count
0,0xNomis,co,14
1,,Score,12
2,,Reputation,11
3,,opBNB,6
4,,Nomis,5
5,,ogcommunityX,4
6,,Multichain,4
7,,LXP,4
8,,Starknet,3
9,,activities,3
10,,gain,3
11,,OAT,3
12,,future,3
13,,rewards,3
14,,claim,3
15,,0xNomis,3
16,,mint,3
17,,community,3
18,,insights,3
19,,PoH,3
20,,Linea,3
21,,updates,2
22,,web3,2
23,,journey,2
24,,stay,2
25,,tuned,2
26,,Galxe,2
27,,completing,2
28,,unlock,2
29,,onchain,2
30,,reputation,2
31,,access,2
32,,within,2
33,,ecosystem,2
34,,contribution,2
35,,Calling,2
36,,Week,2
37,,Left,2
38,,Claim,2
39,,Loyalty,2
40,,Points,2
41,,ScoreFront,2
42,,Protocol,2
43,,Onchain,2
44,,eligible,2
45,,x10,2
46,,need,2
47,,powered,2
48,,head,2
49,,coming,2
50,,simple,2
51,,Tokens,2
52,,BNBCHAIN,2
53,,Check,2
54,,benefits,2
55,,Attestation,2
56,,via,2
57,,LineaBuild,2
58,,LXPs,2
59,,Upcoming,1
60,,Total,1
61,,evaluate,1
62,,including,1
63,,Quest,1
64,,Campaigns,1
65,,Engagement,1
66,,claimed,1
67,,OATs,1
68,,Buckle,1
69,,exciting,1
70,,news,1
71,,Campaign,1
72,,wallet,1
73,,custom,1
74,,terms,1
75,,rates,1
76,,powers,1
77,,receive,1
78,,special,1
79,,serves,1
80,,badge,1
81,,genuine,1
82,,3UxMIYLw9X,1
83,,holders,1
84,,Earn,1
85,,Unwrap,1
86,,Exclusive,1
87,,VVbpHUffBF,1
88,,ZyKV7YF3QS,1
89,,RT,1
90,,Today,1
91,,hosted,1
92,,turns,1
93,,activity,1
94,,Reput,1
95,,miss,1
96,,chance,1
97,,join,1
98,,potential,1
99,,Start,1
100,,exploring,1
101,,GameFi,1
102,,shaping,1
103,,us,1
104,,Iywwmfdair,1
105,,holder,1
106,,momentarily,1
107,,becomes,1
108,,OGC,1
109,,tokens,1
110,,usual,1
111,,amount,1
112,,Sounds,1
113,,great,1
114,,opportunity,1
115,,leverage,1
116,,turn,1
117,,OG,1
118,,right,1
119,,exactly,1
120,,one,1
121,,uFmKhHbjz2,1
122,,unleash,1
123,,awesome,1
124,,open,1
125,,Web2,1
126,,Web3,1
127,,gaming,1
128,,building,1
129,,influential,1
130,,project,1
131,,players,1
132,,Influencers,1
133,,investors,1
134,,developers,1
135,,analysts,1
136,,people,1
137,,NGh5rb8Oxh,1
138,,Hey,1
139,,Ye,1
140,,es,1
141,,Holders,1
142,,Take,1
143,,Chance,1
144,,link,1
145,,yeKtjvZ5KI,1
146,,Read,1
147,,partnerships,1
148,,details,1
149,,aZmafjP0td,1
150,,bMD3szbcox,1
151,,bring,1
152,,chain,1
153,,start,1
154,,reaping,1
155,,upcoming,1
156,,thrilling,1
157,,BAS_BNB,1
158,,soon,1
159,,minted,1
160,,comes,1
161,,extra,1
162,,ONFT,1
163,,LayerZero_Labs,1
164,,supports,1
165,,infrastructure,1
166,,constantly,1
167,,working,1
168,,improving,1
169,,LayerZero,1
170,,performed,1
171,,impact,1
172,,ibF4O6yZ6o,1
173,,Introducing,1
174,,Ti8A2xG8bb,1
175,,Mint,1
176,,Unlock,1
177,,Rewarding,1
178,,Experiences,1
179,,Wallet,1
180,,Diving,1
181,,xqkOW12ux6,1
182,,execute,1
183,,jJLbrwGbQF,1
184,,done,1
185,,ready,1
186,,collect,1
187,,enjoy,1
188,,entire,1
189,,Voyage,1
190,,make,1
191,,owners,1
192,,receiving,1
193,,official,1
194,,roles,1
195,,exclusive,1
196,,swag,1
197,,use,1
198,,cases,1
199,,eligibility,1
200,,thread,1
201,,launched,1
202,,alongside,1
203,,ongoing,1
204,,DeFiVoyage,1
205,,XP,1
206,,SBTs,1
207,,distributed,1
208,,recognize,1
209,,extraordinary,1
210,,toward,1
211,,growth,1
212,,buy,1
213,,sell,1
214,,swap,1
215,,may,1
216,,think,1
217,,ID,1
218,,representative,1
219,,DeFi,1
220,,Voyagers,1
221,,Prove,1
222,,Humanity,1
223,,Complete,1
224,,DOXVPgx1g6,1
225,,Dive,1
226,,find,1
