,profiles,kw,count
0,0xRed2,wallet,18
1,,solana,11
2,,Drop,10
3,,drop,6
4,,tensor,5
5,,RT,4
6,,points,4
7,,co,4
8,,eth,3
9,,sol,3
10,,post,2
11,,ftm,2
12,,FTM,2
13,,Update,2
14,,first,2
15,,week,2
16,,farming,2
17,,de,2
18,,presale,2
19,,live,2
20,,thread,2
21,,use,2
22,,ref,2
23,,code,2
24,,Check,2
25,,SOL,2
26,,RiskOnBlast,1
27,,0x_Agamemnon,1
28,,around,1
29,,nft,1
30,,trading,1
31,,bonus,1
32,,AstroNodesSOL,1
33,,Post,1
34,,Solana,1
35,,eligible,1
36,,Z6yrhYmIHA,1
37,,bellow,1
38,,Xbt_OnChain,1
39,,strategy,1
40,,ranking,1
41,,size,1
42,,fees,1
43,,vY9cD,1
44,,best,1
45,,project,1
46,,blast,1
47,,Great,1
48,,proof,1
49,,time,1
50,,TimeSolana,1
51,,Bullish,1
52,,launch,1
53,,hour,1
54,,Best,1
55,,Thread,1
56,,airdop,1
57,,9QhNDnHLSI,1
58,,challenge,1
59,,LWCKSMJDt2,1
60,,taking,1
61,,world,1
62,,88KittenSolana,1
63,,next,1
64,,gen,1
65,,bot,1
