,profiles,kw,count
0,0xSerJaMad,RT,10
1,,co,10
2,,WANT,3
3,,berachain,3
4,,know,3
5,,SerDAO_,2
6,,stackingsalmon,2
7,,Berachain,2
8,,FUCK,2
9,,ASS,2
10,,BERA,2
11,,real,2
12,,ALRIGHT,2
13,,one,2
14,,Bera,1
15,,Morning,1
16,,formed,1
17,,exclusive,1
18,,seed,1
19,,opportunity,1
20,,lending,1
21,,protocol,1
22,,Val_Shillmer,1
23,,purchased,1
24,,Oath,1
25,,er,1
26,,0xSerJaMad,1
27,,via,1
28,,manifoldxyz,1
29,,0wQv4X1A66,1
30,,erDAO,1
31,,exclusives,1
32,,incoming,1
33,,FAKE,1
34,,CAPITAL,1
35,,GROUPS,1
36,,LITTLE,1
37,,GHOST,1
38,,TOWN,1
39,,ALPHA,1
40,,DAOS,1
41,,DEAD,1
42,,CHATS,1
43,,EDGE,1
44,,ECO,1
45,,VC,1
46,,SERVING,1
47,,CHICKEN,1
48,,TIME,1
49,,TAP,1
50,,YOUNG,1
51,,Nach_211,1
52,,Ser,1
53,,incredible,1
54,,partner,1
55,,Anyone,1
56,,participating,1
57,,community,1
58,,truly,1
59,,0xDYAD,1
60,,800k,1
61,,TVL,1
62,,ETH,1
63,,floor,1
64,,300k,1
65,,DYAD,1
66,,minted,1
67,,exciting,1
68,,announcement,1
69,,fraxfinance,1
70,,tomorrow,1
71,,PHjq8WSphy,1
72,,BM,1
73,,stands,1
74,,BeraMarketNFT,1
75,,Glad,1
76,,hear,1
77,,made,1
78,,iterations,1
79,,full,1
80,,support,1
81,,Papa,1
82,,n,1
83,,Smokey,1
84,,bet,1
85,,still,1
86,,Till,1
87,,mainnet,1
88,,Bong,1
89,,bear,1
90,,million,1
91,,Block,1
92,,Iykyk,1
93,,aibra,1
94,,Crickets,1
95,,CC2Ventures,1
96,,Mfer,1
97,,went,1
98,,hiding,1
99,,Manta,1
100,,nft,1
101,,debacle,1
102,,guy,1
103,,fudding,1
104,,Ano,1
105,,ogs,1
106,,7GTJcbyPSL,1
107,,SEE,1
108,,Trump,1
109,,5bn,1
110,,question,1
111,,DeFiDave22,1
112,,DrinkAriZona,1
113,,people,1
114,,want,1
115,,synonymfinance,1
116,,Launch,1
117,,Spaces,1
118,,Preview,1
119,,speakers,1
120,,joining,1
121,,us,1
122,,Thursday,1
123,,discuss,1
124,,ecosystems,1
125,,Synon,1
126,,lmao,1
127,,hezWk2ucrN,1
128,,fCaBaO3JqX,1
129,,SmokeyTheBera,1
130,,henlo,1
131,,folks,1
132,,guys,1
133,,part,1
134,,run,1
135,,uni,1
136,,college,1
137,,blockchain,1
138,,club,1
139,,pls,1
140,,give,1
141,,man,1
142,,BeraMVP,1
143,,shout,1
144,,Cub,1
145,,sc,1
146,,making,1
147,,tunnels,1
148,,boys,1
149,,tN5Mc4QPgo,1
150,,Remember,1
151,,kids,1
152,,Likes,1
153,,RTs,1
154,,endorsements,1
155,,zQtMPgbpDC,1
156,,lumpsoull,1
157,,bera,1
158,,Q,1
159,,amp,1
160,,rn,1
161,,feel,1
162,,kid,1
163,,ditched,1
164,,assembly,1
165,,smoke,1
166,,quick,1
167,,bathroom,1
168,,kek,1
169,,9T2eqrabFM,1
170,,ttEn02XPCS,1
171,,tryPluid,1
172,,NEWS,1
173,,zachxbt,1
174,,got,1
175,,150K,1
176,,OP,1
177,,grant,1
178,,560K,1
179,,public,1
180,,goods,1
181,,initiative,1
182,,tqTdF0NFR9,1
