,profiles,kw,count
0,0xShual,RT,11
1,,co,8
2,,last,3
3,,bid,3
4,,spreekaway,3
5,,exploited,3
6,,approval,3
7,,fuck,3
8,,days,2
9,,people,2
10,,trade,2
11,,airdrop,2
12,,several,2
13,,hack,2
14,,good,2
15,,day,2
16,,attack,2
17,,bear,2
18,,send,2
19,,Rewkang,2
20,,ENS,2
21,,everyone,2
22,,big,2
23,,addresses,2
24,,token,2
25,,great,2
26,,etherscan,1
27,,Private,1
28,,Name,1
29,,Tag,1
30,,Groups,1
31,,BZLCoNQ4yI,1
32,,little,1
33,,volume,1
34,,prime,1
35,,especially,1
36,,side,1
37,,much,1
38,,urgency,1
39,,dips,1
40,,others,1
41,,seem,1
42,,moved,1
43,,better,1
44,,conviction,1
45,,accumulating,1
46,,jlwhoo7,1
47,,made,1
48,,easier,1
49,,farm,1
50,,potential,1
51,,BERA,1
52,,Berachain,1
53,,simple,1
54,,guide,1
55,,deploy,1
56,,contract,1
57,,Berach,1
58,,Bears,1
59,,Y7fLr7wF5p,1
60,,Castle__Cap,1
61,,Castle,1
62,,Capital,1
63,,needs,1
64,,support,1
65,,currently,1
66,,applying,1
67,,advisors,1
68,,arbitrum,1
69,,Long,1
70,,Term,1
71,,Incentives,1
72,,Program,1
73,,LT,1
74,,crypto_condom,1
75,,IDK,1
76,,30k,1
77,,followers,1
78,,man,1
79,,exploit,1
80,,warnings,1
81,,saved,1
82,,bacon,1
83,,times,1
84,,one,1
85,,th,1
86,,peckshield,1
87,,Today,1
88,,SocketDotTech,1
89,,results,1
90,,loss,1
91,,gt,1
92,,3m,1
93,,bad,1
94,,route,1
95,,added,1
96,,ago,1
97,,delucinator,1
98,,find,1
99,,rabby,1
100,,doesnt,1
101,,work,1
102,,wont,1
103,,even,1
104,,submit,1
105,,txs,1
106,,stupid,1
107,,ass,1
108,,camera,1
109,,screenshot,1
110,,lmao,1
111,,AnciliaInc,1
112,,Ancilia_Alert,1
113,,going,1
114,,Revoke,1
115,,0x3a23f943181408eac424116af7b7790c94cb97a5,1
116,,attac,1
117,,far,1
118,,looks,1
119,,mainnet,1
120,,safe,1
121,,revoke,1
122,,address,1
123,,0x3a23f943181408eac,1
124,,Socket,1
125,,Bungee,1
126,,rn,1
127,,million,1
128,,already,1
129,,gone,1
130,,ongoing,1
131,,8C25GBPeuo,1
132,,Looking,1
133,,INJ,1
134,,chart,1
135,,feel,1
136,,breakout,1
137,,range,1
138,,either,1
139,,gonna,1
140,,bart,1
141,,shoot,1
142,,massively,1
143,,zone,1
144,,giving,1
145,,bulls,1
146,,blue,1
147,,balls,1
148,,long,1
149,,Please,1
150,,dwuiDOuGfa,1
151,,Leg,1
152,,rush,1
153,,buy,1
154,,based,1
155,,hype,1
156,,first,1
157,,phone,1
158,,matter,1
159,,end,1
160,,time,1
161,,og,1
162,,batch,1
163,,held,1
164,,higher,1
165,,regard,1
166,,sentimentally,1
167,,price,1
168,,wise,1
169,,future,1
170,,considerations,1
171,,correction,1
172,,imposter,1
173,,bought,1
174,,specific,1
175,,apologize,1
176,,Andrew,1
177,,reading,1
178,,misleading,1
179,,stopped,1
180,,MUBI,1
181,,pool,1
182,,hours,1
183,,scooped,1
184,,figs,1
185,,worth,1
186,,look,1
187,,24hrs,1
188,,tally,1
189,,goes,1
190,,unique,1
191,,accumulated,1
192,,70k,1
193,,250k,1
194,,includes,1
195,,100k,1
196,,fhEUf7wxal,1
197,,wheelchair,1
198,,Uh,1
199,,Stays,1
200,,HqGxFYg3Mb,1
201,,Need,1
202,,wolf,1
203,,inj,1
204,,itching,1
205,,ParagonsDAO,1
206,,secret,1
207,,weapon,1
208,,forewarned,1
209,,came,1
210,,still,1
211,,took,1
212,,surprise,1
213,,Watch,1
214,,MrkvakEth,1
215,,brain,1
216,,tabl,1
217,,Bidding,1
218,,rune,1
219,,cacao,1
220,,Oh,1
221,,sui,1
222,,pumping,1
223,,TL,1
224,,telling,1
225,,tech,1
226,,looking,1
227,,charismatic,1
228,,founders,1
229,,neat,1
230,,SC,1
231,,language,1
232,,refreshing,1
233,,uHPO7JmsN0,1
234,,Magicp0nziToken,1
235,,Cobie,1
236,,another,1
237,,level,1
238,,tbh,1
239,,j0sQU3voYp,1
