,profiles,kw,count
0,0xSisyphus,RT,21
1,,hat,6
2,,coin,5
3,,Apple,4
4,,launches,4
5,,chain,4
6,,utility,4
7,,long,3
8,,gt,3
9,,Someone,3
10,,despite,3
11,,eth,3
12,,crypto,3
13,,Ethereum,3
14,,go,3
15,,onboarding,3
16,,next,2
17,,Grayscale,2
18,,know,2
19,,take,2
20,,selling,2
21,,week,2
22,,co,2
23,,AI,2
24,,product,2
25,,us,2
26,,attention,2
27,,institutional,2
28,,expensive,2
29,,testinprodcap,2
30,,sol,2
31,,tps,2
32,,never,2
33,,simply,2
34,,multiple,2
35,,giving,2
36,,point,2
37,,even,2
38,,blknoiz06,2
39,,pretty,2
40,,w,2
41,,Yes,2
42,,abandoned,2
43,,supporting,2
44,,stays,2
45,,want,2
46,,Solana,2
47,,market,2
48,,price,2
49,,SOL,2
50,,Van,2
51,,Eck,2
52,,bull,2
53,,always,2
54,,founder,2
55,,pet,2
56,,vcs,2
57,,foundation,2
58,,Evan_ss6,2
59,,ETH,2
60,,Dornbusch,2
61,,need,2
62,,wassielawyer,1
63,,hindsight,1
64,,ICOs,1
65,,probably,1
66,,fairest,1
67,,best,1
68,,way,1
69,,raise,1
70,,money,1
71,,web3,1
72,,Current,1
73,,meta,1
74,,private,1
75,,really,1
76,,BitMartExchange,1
77,,BitMart,1
78,,thrilled,1
79,,announce,1
80,,listing,1
81,,FERRET,1
82,,ferretaicoin,1
83,,researchers,1
84,,recently,1
85,,revealed,1
86,,Ferret',1
87,,depends,1
88,,extent,1
89,,inflows,1
90,,sustain,1
91,,already,1
92,,roughly,1
93,,wind,1
94,,billion,1
95,,KasperLoock,1
96,,Big,1
97,,BXI3qqBZBR,1
98,,WazzCrypto,1
99,,Eigenlayer,1
100,,dummies,1
101,,fYqnXGnTaJ,1
102,,suite,1
103,,sells,1
104,,VR,1
105,,Company,1
106,,anything,1
107,,future,1
108,,finance,1
109,,CheckmateTools,1
110,,Pro,1
111,,Bot,1
112,,Officially,1
113,,Launched,1
114,,Journey,1
115,,Vision,1
116,,Reality,1
117,,extend,1
118,,sincere,1
119,,thanks,1
120,,users,1
121,,trusting,1
122,,Memecoins,1
123,,extremely,1
124,,well,1
125,,capturing,1
126,,liquidity,1
127,,inherent,1
128,,limitations,1
129,,shillers,1
130,,VC,1
131,,supply,1
132,,concentration,1
133,,tech,1
134,,justify,1
135,,existence,1
136,,think,1
137,,real,1
138,,projects,1
139,,become,1
140,,launch,1
141,,FD,1
142,,reached,1
143,,new,1
144,,milestone,1
145,,firedancer,1
146,,million,1
147,,300bb,1
148,,mcap,1
149,,TaikiMaeda2,1
150,,______,1
151,,MANTA,1
152,,airdrop,1
153,,LARP,1
154,,coins,1
155,,die,1
156,,accumulate,1
157,,bottom,1
158,,wait,1
159,,hyped,1
160,,announcement,1
161,,whoever,1
162,,gambler,1
163,,surprising,1
164,,things,1
165,,usually,1
166,,end,1
167,,lives,1
168,,Manta,1
169,,large,1
170,,airdrops,1
171,,depositors,1
172,,proceeding,1
173,,prevent,1
174,,manipulation,1
175,,shenanigans,1
176,,incredibly,1
177,,based,1
178,,system,1
179,,aggressive,1
180,,CryptoCronkite,1
181,,people,1
182,,find,1
183,,Twitter,1
184,,certain,1
185,,CT,1
186,,streamer,1
187,,shitcoin,1
188,,podcast,1
189,,focus,1
190,,big,1
191,,drake,1
192,,sportsbetting,1
193,,streams,1
194,,andy8052,1
195,,past,1
196,,fell,1
197,,GwartyGwart,1
198,,Stop,1
199,,building,1
200,,None,1
201,,pitch,1
202,,token,1
203,,wh,1
204,,BigDickBull69,1
205,,memecoins,1
206,,cycles,1
207,,within,1
208,,span,1
209,,weeks,1
210,,shit,1
211,,takes,1
212,,decades,1
213,,play,1
214,,chumbawamba22,1
215,,Summary,1
216,,targets,1
217,,seen,1
218,,last,1
219,,days,1
220,,thesis,1
221,,WIF,1
222,,higher,1
223,,peak,1
224,,confluence,1
225,,retail,1
226,,active,1
227,,early,1
228,,many,1
229,,alt,1
230,,charts,1
231,,primed,1
232,,rip,1
233,,anyone,1
234,,evergreen,1
235,,meme,1
236,,Vitalik,1
237,,resultant,1
238,,likely,1
239,,top,1
240,,Raj,1
241,,one,1
242,,instead,1
243,,0xBalloonLover,1
244,,day,1
245,,traders,1
246,,exactly,1
247,,except,1
248,,mad,1
249,,txsequencer,1
250,,ceo,1
251,,labs,1
252,,chairman,1
253,,speculate,1
254,,airdropped,1
255,,thinking,1
256,,tweet,1
257,,target,1
258,,unlikely,1
259,,ETF,1
260,,revising,1
261,,GetReachxyz,1
262,,14th,1
263,,January,1
264,,Mission,1
265,,Credits,1
266,,increasing,1
267,,REACH,1
268,,Make,1
269,,sure,1
270,,plan,1
271,,ahead,1
272,,advantage,1
273,,tragedy,1
274,,playing,1
275,,maybe,1
276,,25pct,1
277,,move,1
278,,range,1
279,,myro,1
280,,without,1
281,,needs,1
282,,acceptance,1
283,,pump,1
284,,wif,1
285,,da,1
286,,let,1
287,,school,1
288,,little,1
289,,bit,1
290,,Overshooting,1
291,,model,1
292,,published,1
293,,Rudiger,1
294,,apply,1
295,,h,1
296,,tervoooo,1
297,,nft,1
298,,literally,1
299,,murderer,1
300,,nobody,1
301,,care,1
302,,deep,1
303,,profit,1
304,,established,1
305,,lore,1
306,,timeline,1
307,,fighting,1
308,,tipping,1
309,,stewardesses,1
310,,commercial,1
311,,flights,1
312,,tokens,1
313,,urgently,1
314,,Cosmos,1
315,,terrible,1
316,,good,1
317,,getting,1
318,,increasingly,1
319,,complex,1
320,,simple,1
