,profiles,kw,count
0,0xUnihax0r,RT,3
1,,MC,2
2,,XALPHA,2
3,,outpxce,1
4,,one,1
5,,thing,1
6,,ive,1
7,,noticed,1
8,,hard,1
9,,downsize,1
10,,positions,1
11,,see,1
12,,many,1
13,,good,1
14,,traders,1
15,,go,1
16,,CrossChainAlex,1
17,,INSP,1
18,,250m,1
19,,7m,1
20,,imo,1
21,,XAlphaAI,1
22,,already,1
23,,comparable,1
24,,even,1
25,,better,1
26,,product,1
27,,shipping,1
28,,dora_shitcoins,1
29,,day,1
30,,alive,1
31,,announced,1
32,,add,1
33,,aka,1
34,,main,1
35,,utility,1
36,,available,1
37,,Swaps,1
38,,Exchanges,1
