,profiles,kw,count
0,0xYakitori,RT,4
1,,co,3
2,,stablecoin,2
3,,click,2
4,,account,2
5,,claimed,1
6,,OndoPoints,1
7,,OndoFoundation,1
8,,issuers,1
9,,keep,1
10,,interest,1
11,,Ondo,1
12,,designed,1
13,,products,1
14,,share,1
15,,yield,1
16,,token,1
17,,holders,1
18,,held,1
19,,eligible,1
20,,Claim,1
21,,RTjvfuushl,1
22,,make,1
23,,shit,1
24,,lmao,1
25,,FTI_US,1
26,,NewProfilePic,1
27,,OZTfkehgUa,1
28,,xcurveth,1
29,,solanamobile,1
30,,probably,1
31,,discord,1
32,,hacked,1
33,,aeyakovenko,1
34,,blknoiz06,1
35,,bWW7C2q09u,1
36,,ArkhamIntel,1
37,,CEO,1
38,,RealMiguelMorel,1
39,,Twitter,1
40,,compromised,1
41,,links,1
42,,posted,1
43,,issu,1
44,,bencodes_,1
45,,Fellas,1
46,,let,1
47,,talk,1
48,,ZoomerOracle,1
49,,influencer,1
50,,constantly,1
51,,pumping,1
52,,amp,1
53,,dumping,1
54,,calls,1
55,,used,1
56,,follo,1
57,,blur,1
58,,bros,1
59,,sending,1
