,profiles,kw,count
0,0xYelf,RT,13
1,,co,12
2,,launch,6
3,,ONDO,5
4,,backed,4
5,,RWA,4
6,,project,4
7,,LineaBuild,4
8,,LYVE,3
9,,thread,3
10,,amp,3
11,,LBP,3
12,,went,3
13,,way,3
14,,next,3
15,,open,3
16,,SatoshiVM,3
17,,share,3
18,,mc,3
19,,first,3
20,,well,3
21,,PythNetwork,3
22,,PRE,3
23,,Coinbase,3
24,,bullish,2
25,,thesis,2
26,,go,2
27,,Linea,2
28,,protocol,2
29,,AEGIS,2
30,,SAVM,2
31,,going,2
32,,play,2
33,,thought,2
34,,imo,2
35,,time,2
36,,Mantle,2
37,,year,2
38,,XAI,2
39,,soon,2
40,,u,2
41,,Finance,2
42,,Jan,2
43,,invested,2
44,,BeFi,2
45,,excited,2
46,,OrdiswapLabs,2
47,,coming,2
48,,days,2
49,,Lyve,2
50,,strong,2
51,,partners,2
52,,chain,2
53,,narrative,2
54,,Base,2
55,,Asset,2
56,,GB,2
57,,DEX,2
58,,yet,2
59,,TVL,2
60,,TaoPadX,1
61,,Embark,1
62,,Journey,1
63,,Innovation,1
64,,TaoPad,1
65,,passing,1
66,,hour,1
67,,getting,1
68,,closer,1
69,,release,1
70,,pad,1
71,,launched,1
72,,Shared,1
73,,Still,1
74,,think,1
75,,tourists,1
76,,form,1
77,,V,1
78,,pattern,1
79,,leg,1
80,,Pyth,1
81,,stablecoin,1
82,,LSDs,1
83,,LyveFinance,1
84,,surprise,1
85,,aegisAISecurity,1
86,,DApp,1
87,,portal,1
88,,jeM06xpcps,1
89,,believe,1
90,,empowering,1
91,,blockch,1
92,,tempogrp,1
93,,Tempo,1
94,,looks,1
95,,invest,1
96,,future,1
97,,bluechip,1
98,,projects,1
99,,protocols,1
100,,pertinent,1
101,,aware,1
102,,macro,1
103,,flows,1
104,,surrounding,1
105,,live,1
106,,Uniswap,1
107,,token,1
108,,contract,1
109,,address,1
110,,0x15e6E0D4ebeAC120F9a97e71FaA6a0235b85ED12,1
111,,Documentation,1
112,,h,1
113,,5x,1
114,,tp'd,1
115,,volume,1
116,,hype,1
117,,exactly,1
118,,2x,1
119,,sitting,1
120,,consolidation,1
121,,Apparently,1
122,,real,1
123,,lower,1
124,,ppl,1
125,,still,1
126,,got,1
127,,legs,1
128,,qn,1
129,,Better,1
130,,ape,1
131,,dips,1
132,,guess,1
133,,full,1
134,,retard,1
135,,Big,1
136,,meme,1
137,,Followed,1
138,,ecofund,1
139,,members,1
140,,RiRdrMAr7m,1
141,,JTsOntQNif,1
142,,Rafi_0x,1
143,,anticipated,1
144,,successfully,1
145,,tokenised,1
146,,BlackRock,1
147,,ETFs,1
148,,fully,1
149,,compliant,1
150,,OndoFoundation,1
151,,CoinbaseAssets,1
152,,made,1
153,,decision,1
154,,list,1
155,,little,1
156,,new,1
157,,shiny,1
158,,coin,1
159,,aping,1
160,,chart,1
161,,Probably,1
162,,CEX,1
163,,listings,1
164,,Presalers,1
165,,giga,1
166,,see,1
167,,tweet,1
168,,4DjlKvOHuv,1
169,,AqPRp5ktgv,1
170,,Bounce,1
171,,announces,1
172,,details,1
173,,IDO,1
174,,19th,1
175,,Two,1
176,,pools,1
177,,ILO,1
178,,Random,1
179,,Selection,1
180,,Round,1
181,,NekozTek,1
182,,Manta,1
183,,gonna,1
184,,similarly,1
185,,TIA,1
186,,initial,1
187,,airdrop,1
188,,supply,1
189,,dumped,1
190,,Investors,1
191,,getti,1
192,,aped,1
193,,day,1
194,,shared,1
195,,u'd,1
196,,decently,1
197,,Remember,1
198,,half,1
199,,billy,1
200,,mcap,1
201,,math,1
202,,C6quumhMuV,1
203,,theres,1
204,,OG,1
205,,RICH,1
206,,GANG,1
207,,LIFE,1
208,,BefiLabs,1
209,,Labs,1
210,,announce,1
211,,partnering,1
212,,core,1
213,,BRC20,1
214,,swap,1
215,,trading,1
216,,termi,1
217,,Ordiswap,1
218,,Website,1
219,,V2,1
220,,approach,1
221,,platform,1
222,,Bitcoin,1
223,,native,1
224,,layer,1
225,,pumping,1
226,,fact,1
227,,almost,1
228,,pico,1
229,,bottom,1
230,,Thesis,1
231,,simple,1
232,,played,1
233,,Binance,1
234,,launchpad,1
235,,coins,1
236,,always,1
237,,shilled,1
238,,bottomed,1
239,,tAZcGDzWRz,1
240,,Summary,1
241,,launches,1
242,,backers,1
243,,tokenomics,1
244,,point,1
245,,system,1
246,,align,1
247,,healthy,1
248,,incentives,1
249,,Looking,1
250,,forward,1
251,,work,1
252,,together,1
253,,promising,1
254,,Always,1
255,,take,1
256,,DYOR,1
257,,Partnerships,1
258,,right,1
259,,include,1
260,,LayerZero_Lab,1
261,,rhinofi,1
262,,Stake_Stone,1
263,,velocorexyz,1
264,,MendiFinance,1
265,,KyberNetwork,1
266,,Dappadofficial,1
267,,Rocket_Pool,1
268,,iDLMdid1Zw,1
269,,1st,1
270,,based,1
271,,stabelcoin,1
272,,LSTs,1
273,,backing,1
274,,Consensys,1
275,,company,1
276,,behind,1
277,,MetaMask,1
278,,basically,1
279,,quality,1
280,,TGE,1
281,,starts,1
282,,SyndicateCore,1
283,,Syndicate,1
284,,currently,1
285,,unsolicited,1
286,,decks,1
287,,teams,1
288,,raising,1
289,,working,1
290,,something,1
291,,nascent,1
292,,0xYelf,1
293,,heating,1
294,,big,1
295,,case,1
296,,Black,1
297,,Rock,1
298,,heavily,1
299,,top,1
300,,holder,1
301,,created,1
302,,Tokenized,1
303,,Coalition,1
304,,onboard,1
305,,trillion,1
306,,onchain,1
307,,written,1
308,,month,1
309,,earlier,1
310,,gives,1
311,,exposure,1
312,,exact,1
313,,Soon,1
314,,mainnet,1
315,,pwnlord69,1
316,,iykyk,1
317,,IT9XcDAUy4,1
318,,Btw,1
319,,even,1
320,,dexscreener,1
321,,early,1
322,,1v2q1ARFqr,1
323,,RIqaixr0PQ,1
324,,S6dvin2xuH,1
325,,bought,1
326,,hasnt,1
327,,pumped,1
328,,SUI,1
329,,turbos,1
330,,8m,1
331,,10m,1
332,,FLX,1
333,,2m,1
334,,30m,1
