,profiles,kw,count
0,0x_charlemagne,gt,4
1,,reading,3
2,,self,3
3,,help,3
4,,books,3
5,,time,2
6,,simp,2
7,,thousands,2
8,,larp,2
9,,money,2
10,,one,2
11,,friend,2
12,,materialism,2
13,,better,2
14,,life,2
15,,actually,2
16,,identify,2
17,,targets,2
18,,detail,2
19,,innocents,2
20,,Convinced,1
21,,schizo,1
22,,ex,1
23,,coworker,1
24,,bouncer,1
25,,days,1
26,,make,1
27,,Twitter,1
28,,account,1
29,,good,1
30,,preach,1
31,,king,1
32,,always,1
33,,structure,1
34,,well,1
35,,Hi',1
36,,star,1
37,,emoticon,1
38,,crap,1
39,,selfie,1
40,,pic,1
41,,Milady,1
42,,PFP,1
43,,Starting,1
44,,think,1
45,,Remillio,1
46,,bro,1
47,,group,1
48,,young,1
49,,Indians,1
50,,new,1
51,,method,1
52,,farming,1
53,,simps,1
54,,rise,1
55,,milady,1
56,,e,1
57,,girls,1
58,,kinda,1
59,,Trojan,1
60,,horse,1
61,,tactic,1
62,,figured,1
63,,farm,1
64,,swear,1
65,,longest,1
66,,population,1
67,,small,1
68,,seeing,1
69,,ton,1
70,,posting,1
71,,generic,1
72,,bait,1
73,,may,1
74,,epidemic,1
75,,hands,1
76,,Even,1
77,,true,1
78,,finding,1
79,,copy,1
80,,Mein,1
81,,Kampf,1
82,,justify,1
83,,murdering,1
84,,children,1
85,,gonna,1
86,,way,1
87,,sure,1
88,,someone,1
89,,washing,1
90,,shitcoin,1
91,,bulltrapper0,1
92,,show,1
93,,know,1
94,,instead,1
95,,modern,1
96,,recommend,1
97,,wisdom,1
98,,ancients,1
99,,Hagakure,1
100,,almost,1
101,,watered,1
102,,versions,1
103,,Couple,1
104,,years,1
105,,ago,1
106,,audible,1
107,,credits,1
108,,cuz,1
109,,Amazon,1
110,,fked,1
111,,basically,1
112,,listened,1
113,,hr,1
114,,night,1
115,,shifts,1
116,,worth,1
117,,IMO,1
118,,Atomic,1
119,,Habits,1
120,,system,1
121,,legit,1
122,,co,1
123,,KoxANBoi1r,1
124,,sitting,1
125,,random,1
126,,dude,1
127,,chilling,1
128,,complaining,1
129,,grand,1
130,,really,1
131,,fix,1
132,,shit,1
133,,short,1
134,,term,1
135,,guy,1
136,,goes,1
137,,rant,1
138,,ungodly,1
139,,comfortable,1
140,,nothing,1
141,,find,1
142,,later,1
143,,trust,1
144,,fund,1
145,,kid,1
146,,Keep,1
147,,mind,1
148,,people,1
149,,tell,1
150,,chase,1
151,,position,1
152,,either,1
153,,come,1
154,,struggle,1
155,,suffer,1
156,,choice,1
157,,materialistic,1
158,,means,1
159,,take,1
160,,earnest,1
161,,daily,1
162,,intention,1
163,,consider,1
164,,warrior,1
165,,even,1
166,,dreams,1
167,,lives,1
168,,day,1
169,,idly,1
170,,said,1
171,,worthy,1
172,,punishment,1
173,,whole,1
174,,much,1
175,,yet,1
176,,murdered,1
177,,guys,1
178,,retarded,1
179,,literally,1
180,,admission,1
181,,willfully,1
182,,killing,1
183,,RT,1
184,,Abu9ala7,1
185,,thing,1
186,,bullshit,1
187,,propaganda,1
188,,video,1
189,,shows,1
190,,firing,1
191,,great,1
192,,Big,1
