,profiles,kw,count
0,0xgeeb,co,7
1,,RT,5
2,,Liquidity,2
3,,tokens,2
4,,Dis,1
5,,really,1
6,,cool,1
7,,read,1
8,,Shows,1
9,,much,1
10,,magic,1
11,,happens,1
12,,behind,1
13,,scenes,1
14,,trade,1
15,,shidcoin,1
16,,miberamaker333,1
17,,porridge,1
18,,cost,1
19,,goldilocksmoney,1
20,,HaNtSyl4X9,1
21,,FUCK,1
22,,JWP0kJu47C,1
23,,crypto___baby,1
24,,最近みんながお触りやってる,1
25,,berachain,1
26,,注目ポイントの新しい承認形式,1
27,,Proof,1
28,,の面白かった部分を解説してみる,1
29,,メインネットローンチ後の立ち回りのご参考に,1
30,,着眼点,1
31,,PoSはセキュリティーを,1
32,,betafuzz,1
33,,speak,1
34,,chinese,1
35,,ZuOs8VxcSs,1
36,,got,1
37,,liquidated,1
38,,leveraged,1
39,,long,1
40,,father,1
41,,figure,1
42,,cobie,1
43,,seek,1
44,,validation,1
45,,trades,1
46,,went,1
47,,store,1
48,,cigarettes,1
49,,never,1
50,,came,1
51,,back,1
52,,tell,1
53,,take,1
54,,profit,1
55,,Husbant,1
56,,thank,1
57,,staking,1
58,,modular,1
59,,blockchains,1
60,,restaking,1
61,,protocols,1
62,,big,1
63,,house,1
64,,corld,1
65,,oMjeOsmxBB,1
66,,Top,1
67,,trending,1
68,,Solana,1
69,,looking,1
70,,Billboard,1
71,,64Yd3oRVuh,1
72,,HadesTard,1
73,,0hGINgRap3,1
74,,KodiakFi,1
75,,Everyone,1
76,,asking,1
77,,us,1
78,,Berachain,1
79,,Native,1
80,,Hub,1
81,,mean,1
82,,Well,1
83,,go,1
84,,Introducing,1
85,,Kodiak,1
86,,gmeow,1
87,,tWnChbKHSS,1
