,profiles,kw,count
0,0xhoneyjar,co,13
1,,delegate,5
2,,honey,4
3,,jar,4
4,,BGT,4
5,,RT,3
6,,0xhoneyjar,3
7,,berachain,3
8,,Berachain,3
9,,fees,3
10,,validator,3
11,,amp,2
12,,THJ,2
13,,community,2
14,,BERA,2
15,,bera,2
16,,Testnet,2
17,,one,2
18,,projects,2
19,,entry,2
20,,ensure,2
21,,validators,2
22,,based,2
23,,Validators,2
24,,new,2
25,,Fat,2
26,,Bera,2
27,,genesis,2
28,,Bro,1
29,,im,1
30,,grt,1
31,,seizure,1
32,,vibe,1
33,,ooga,1
34,,booga,1
35,,2JT0x0YMvN,1
36,,BARGAINING,1
37,,BEAR,1
38,,MUST,1
39,,ACCEPT,1
40,,FACTS,1
41,,Lets,1
42,,quell,1
43,,irrational,1
44,,exuberance,1
45,,moon,1
46,,maff,1
47,,LIL,1
48,,BOI,1
49,,BOOTY,1
50,,BUTTA,1
51,,TP4pjXFzyv,1
52,,immune,1
53,,system,1
54,,FUD,1
55,,layer,1
56,,New,1
57,,market,1
58,,participants,1
59,,ask,1
60,,FAM,1
61,,LEGIT,1
62,,SCAM,1
63,,tbf,1
64,,scammy,1
65,,villains,1
66,,kind,1
67,,Remember,1
68,,kids,1
69,,DYOR,1
70,,check,1
71,,early,1
72,,articles,1
73,,bit,1
74,,prehistoric,1
75,,lore,1
76,,KVMvSOFnBf,1
77,,First,1
78,,interview,1
79,,SmokeyTheBera,1
80,,itsdevbear,1
81,,launch,1
82,,Artio,1
83,,Guest,1
84,,appearance,1
85,,jee,1
86,,Pre,1
87,,UlXx2dZzrs,1
88,,2OBafFoxQQ,1
89,,Holy,1
90,,Sunday,1
91,,Beras,1
92,,vSBcMdKRi1,1
93,,still,1
94,,wet,1
95,,behind,1
96,,ears,1
97,,bought,1
98,,strictly,1
99,,vibes,1
100,,likely,1
101,,biggest,1
102,,fumble,1
103,,lol,1
104,,KpFP0AqQhJ,1
105,,barrier,1
106,,requirement,1
107,,read,1
108,,worked,1
109,,Degen,1
110,,frenly,1
111,,simpol,1
112,,points,1
113,,way,1
114,,Q1,1
115,,Q2,1
116,,warned,1
117,,March,1
118,,Bears,1
119,,getting,1
120,,started,1
121,,received,1
122,,Honeylist,1
123,,2pJ5l0IgKH,1
124,,M4cawdWn3T,1
125,,Go,1
126,,rjAr0Tzl0g,1
127,,select,1
128,,1xR5wFBb5A,1
129,,important,1
130,,consideration,1
131,,delegation,1
132,,credibility,1
133,,glue,1
134,,ecosystem,1
135,,brand,1
136,,recognized,1
137,,many,1
138,,well,1
139,,known,1
140,,great,1
141,,team,1
142,,led,1
143,,Jani,1
144,,best,1
145,,long,1
146,,term,1
147,,stable,1
148,,operation,1
149,,charge,1
150,,certain,1
151,,Delegators,1
152,,rewarded,1
153,,gas,1
154,,native,1
155,,dApps,1
156,,proportion,1
157,,krahE4Xd47,1
158,,propose,1
159,,blocks,1
160,,chain,1
161,,runs,1
162,,smoothly,1
163,,decide,1
164,,much,1
165,,qualified,1
166,,BEX,1
167,,pool,1
168,,receive,1
169,,future,1
170,,issued,1
171,,voting,1
172,,power,1
173,,participate,1
174,,governance,1
175,,vote,1
176,,proposals,1
177,,Govnoors,1
178,,Announcing,1
179,,glad,1
180,,chosen,1
181,,work,1
182,,part,1
183,,Thesis,1
184,,action,1
185,,KIzwzdnwq0,1
