,profiles,kw,count
0,0xleonidas__,co,9
1,,RT,3
2,,SolnicToken,3
3,,fast,2
4,,enough,2
5,,influencer,2
6,,us,2
7,,Sitting,2
8,,Launching,1
9,,soon,1
10,,catch,1
11,,ltNJSLlkHp,1
12,,Imagine,1
13,,OG,1
14,,project,1
15,,outperform,1
16,,paid,1
17,,one,1
18,,FrlGxaZ9vx,1
19,,Wednesday,1
20,,Drinkerino,1
21,,day,1
22,,NUEEEMjxkj,1
23,,ready,1
24,,rings,1
25,,check,1
26,,future,1
27,,past,1
28,,auXQlgXLDI,1
29,,NfsCNq1pEJ,1
30,,Looking,1
31,,forward,1
32,,version,1
33,,goes,1
34,,zero,1
35,,real,1
36,,Og,1
37,,rise,1
38,,Verifying,1
39,,Twitter,1
40,,account,1
41,,GalxeID,1
42,,gid,1
43,,RXpRvCAMerPC2nwgQpaXMP,1
44,,Galxe,1
45,,87B1bKLcOY,1
46,,Still,1
47,,Valid,1
48,,Let,1
49,,know,1
50,,comments,1
51,,Vb72hS5LFO,1
52,,Buy,1
53,,Wassie,1
54,,tweet,1
55,,Quant,1
56,,says,1
57,,S8YcW3jmhU,1
58,,Told,1
59,,people,1
60,,buy,1
61,,eburp_art,1
62,,feeling,1
63,,actually,1
64,,historical,1
65,,value,1
66,,gave,1
67,,WL,1
68,,ittybits_eth,1
69,,bad,1
70,,OynpkFVGWr,1
