,profiles,kw,count
0,143gojo,co,9
1,,one,5
2,,bro,3
3,,know,3
4,,little,2
5,,fuck,2
6,,want,2
7,,going,2
8,,ytd,2
9,,position,2
10,,life,2
11,,green,2
12,,candles,2
13,,RT,1
14,,myuberislate,1
15,,AmNU3NKEU3,1
16,,lev,1
17,,long,1
18,,make,1
19,,please,1
20,,margin,1
21,,perp,1
22,,trade,1
23,,lPpCPGJ5G8,1
24,,another,1
25,,airdrop,1
26,,qualified,1
27,,staked,1
28,,tokens,1
29,,plan,1
30,,selling,1
31,,soon,1
32,,anyway,1
33,,alchemy,1
34,,finance,1
35,,soros,1
36,,talking,1
37,,gfb6m3F9w5,1
38,,shorts,1
39,,Zvs9w5F1FP,1
40,,sleep,1
41,,schedule,1
42,,shambles,1
43,,never,1
44,,financially,1
45,,recover,1
46,,6GMtymjIIV,1
47,,ask,1
48,,landlord,1
49,,accepts,1
50,,points,1
51,,rent,1
52,,wen,1
53,,alt,1
54,,szn,1
55,,brother,1
56,,many,1
57,,coins,1
58,,already,1
59,,bottom,1
60,,wish,1
61,,see,1
62,,world,1
63,,9JHWUffzx7,1
64,,alright,1
65,,small,1
66,,became,1
67,,large,1
68,,done,1
69,,well,1
70,,ens,1
71,,token,1
72,,MPtvtVUPSd,1
73,,changed,1
74,,realized,1
75,,buy,1
76,,watch,1
77,,come,1
78,,expert,1
79,,traders,1
80,,simple,1
81,,trick,1
82,,stupid,1
83,,fooks,1
84,,nothin,1
85,,bout,1
86,,trading,1
87,,let,1
88,,pnl,1
89,,talk,1
90,,pub,1
91,,5eXFJkcI4g,1
92,,need,1
93,,start,1
94,,posting,1
95,,obscure,1
96,,philosophical,1
97,,quotes,1
98,,market,1
99,,pictures,1
100,,greek,1
101,,statues,1
102,,tens,1
103,,thousands,1
104,,followers,1
105,,seems,1
106,,easiest,1
107,,way,1
108,,business,1
109,,sold,1
110,,half,1
111,,mil,1
112,,product,1
113,,hours,1
114,,crazy,1
115,,man,1
116,,6TLUZ3BeII,1
