,profiles,kw,count
0,ASvanevik,co,9
1,,think,4
2,,digit,4
3,,want,3
4,,AI,3
5,,specific,3
6,,human,3
7,,used,2
8,,BTC,2
9,,based,2
10,,encouraging,2
11,,sense,2
12,,job,2
13,,customers,2
14,,people,2
15,,RT,2
16,,token,2
17,,one,2
18,,best,2
19,,great,2
20,,answer,2
21,,ask,2
22,,tbh,2
23,,Uniswap,2
24,,Lido,2
25,,bro,1
26,,Frankfurt,1
27,,Imagine,1
28,,knowing,1
29,,little,1
30,,history,1
31,,China,1
32,,achieve,1
33,,growth,1
34,,satashi,1
35,,UqHrJZh3Ow,1
36,,wake,1
37,,babe,1
38,,new,1
39,,single,1
40,,ETH,1
41,,SOL,1
42,,peng,1
43,,Singaporean,1
44,,values,1
45,,foreigner,1
46,,years,1
47,,comes,1
48,,Meritocracy,1
49,,Valuing,1
50,,achievement,1
51,,ability,1
52,,talent,1
53,,fair,1
54,,competition,1
55,,rewarding,1
56,,merit,1
57,,Kampong,1
58,,Spirit,1
59,,fun,1
60,,part,1
61,,speak,1
62,,yet,1
63,,DM,1
64,,give,1
65,,product,1
66,,feedback,1
67,,Nansen,1
68,,Dvai7KD3FK,1
69,,stand,1
70,,Coinbase,1
71,,nansen_ai,1
72,,example,1
73,,using,1
74,,two,1
75,,restaking,1
76,,governance,1
77,,set,1
78,,minimum,1
79,,balance,1
80,,boomers,1
81,,buying,1
82,,via,1
83,,ETFs,1
84,,1Az4EjewbF,1
85,,chains,1
86,,appear,1
87,,chart,1
88,,next,1
89,,months,1
90,,FWIW,1
91,,catch,1
92,,fast,1
93,,still,1
94,,tactics,1
95,,useful,1
96,,One,1
97,,advantages,1
98,,vs,1
99,,currently,1
100,,generic,1
101,,ChatGPT,1
102,,factoring,1
103,,experience,1
104,,context,1
105,,feelings,1
106,,world,1
107,,makes,1
108,,Top,1
109,,7KkupR1bu9,1
110,,listened,1
111,,anon,1
112,,Penguins,1
113,,flipped,1
114,,Otherside,1
115,,Mutants,1
116,,top,1
117,,o1kdhzqA3C,1
118,,duh,1
119,,vibes,1
120,,Larry,1
121,,gets,1
122,,XnoAAksPQw,1
123,,Updated,1
124,,FTX,1
125,,claims,1
126,,pricing,1
127,,2kbNswQU1h,1
128,,conversations,1
129,,theallinpod,1
130,,twistartups,1
131,,gonna,1
132,,say,1
133,,Despite,1
134,,horrendous,1
135,,takes,1
136,,Twitter,1
137,,jason,1
138,,actually,1
139,,excellent,1
140,,podcast,1
141,,moderator,1
142,,Nifty_Island,1
143,,Together,1
144,,partners,1
145,,HologramLabs,1
146,,bringing,1
147,,pudgypenguins,1
148,,Nifty,1
149,,Island,1
150,,Single,1
151,,Pudgy,1
152,,Playa,1
153,,interesting,1
154,,music,1
155,,villain,1
156,,bruh,1
157,,league,1
158,,onchain,1
159,,applications,1
160,,Metrics,1
161,,look,1
162,,gas,1
163,,spent,1
164,,TVL,1
165,,h2tg2weIXu,1
166,,Insightful,1
167,,conversation,1
168,,pmarca,1
169,,bhorowitz,1
170,,universities,1
171,,K8Zm4VafWz,1
