,profiles,kw,count
0,AVCrypto_,APT,4
1,,ago,4
2,,RT,3
3,,AVCrypto_,2
4,,ONDO,2
5,,co,2
6,,meta,2
7,,month,2
8,,even,2
9,,cryptoalle,1
10,,Waiting,1
11,,Upbit,1
12,,listing,1
13,,apartment,1
14,,condo,1
15,,Giga,1
16,,bullish,1
17,,Things,1
18,,gonna,1
19,,obvious,1
20,,hindsight,1
21,,new,1
22,,shiny,1
23,,coin,1
24,,CT,1
25,,cope,1
26,,goes,1
27,,higher,1
28,,Music,1
29,,stopped,1
30,,Asia,1
31,,FxKkdwGNHe,1
32,,Sometimes,1
33,,necessarily,1
34,,heroes,1
35,,tickers,1
36,,choose,1
37,,play,1
38,,game,1
39,,dictates,1
40,,win,1
41,,probability,1
42,,important,1
43,,identify,1
44,,weeks,1
45,,days,1
46,,average,1
47,,MeDeity,1
48,,Unbothered,1
49,,Moisturized,1
50,,Happy,1
51,,lane,1
52,,watching,1
53,,bags,1
54,,outperform,1
55,,entire,1
56,,market,1
57,,B09GtZMAtx,1
58,,Unsure,1
59,,TIA,1
60,,compared,1
61,,hit,1
62,,latter,1
63,,topped,1
64,,feels,1
65,,different,1
66,,sentiment,1
67,,attention,1
68,,wise,1
69,,timeline,1
70,,cautious,1
71,,shorting,1
72,,top,1
73,,big,1
74,,guys,1
75,,tunnel,1
76,,visioned,1
77,,think,1
78,,seen,1
79,,argument,1
80,,INJ,1
81,,touched,1
