,profiles,kw,count
0,AfricanArchives,co,9
1,,know,5
2,,page,4
3,,black,4
4,,Clark,4
5,,expedition,4
6,,support,3
7,,sanitary,3
8,,invention,3
9,,Lewis,3
10,,amp,3
11,,help,2
12,,Mississippi,2
13,,created,2
14,,THREAD,2
15,,pads,2
16,,Mary,2
17,,rejected,2
18,,world,2
19,,RT,2
20,,AfricanArchives,2
21,,Everyone,2
22,,man,2
23,,part,2
24,,Watch,2
25,,Night,2
26,,Service,2
27,,admin,1
28,,behind,1
29,,try,1
30,,research,1
31,,educate,1
32,,appreciate,1
33,,effort,1
34,,thrive,1
35,,BOP57vSwwg,1
36,,deeply,1
37,,appreciated,1
38,,follow,1
39,,articles,1
40,,v7bAQxKz6Q,1
41,,state,1
42,,commission,1
43,,refused,1
44,,air,1
45,,show,1
46,,integrated,1
47,,cast,1
48,,main,1
49,,characters,1
50,,Gordon,1
51,,Susan,1
52,,well,1
53,,adopted,1
54,,son,1
55,,refusal,1
56,,became,1
57,,national,1
58,,news,1
59,,reversed,1
60,,decision,1
61,,0wjbRqdOEq,1
62,,Sesame,1
63,,Street,1
64,,originally,1
65,,brown,1
66,,inner,1
67,,city,1
68,,kids,1
69,,zZIYX0DOwj,1
70,,women,1
71,,used,1
72,,kinds,1
73,,reusable,1
74,,fabrics,1
75,,absorb,1
76,,menstrual,1
77,,flows,1
78,,initially,1
79,,first,1
80,,company,1
81,,showed,1
82,,interest,1
83,,racial,1
84,,discrimination,1
85,,choice,1
86,,Beatrice,1
87,,Kenner,1
88,,apart,1
89,,changing,1
90,,feminine,1
91,,care,1
92,,belt,1
93,,forerunner,1
94,,invented,1
95,,Tissue,1
96,,Holder,1
97,,GabUSROwOh,1
98,,donations,1
99,,tips,1
100,,keep,1
101,,D0ZaB7YsCq,1
102,,hCAhd79zpJ,1
103,,statue,1
104,,York,1
105,,sculptor,1
106,,Ed,1
107,,Hamilton,1
108,,plaques,1
109,,commemorating,1
110,,Expedition,1
111,,participation,1
112,,stands,1
113,,Louisville,1
114,,Riverfront,1
115,,Plaza,1
116,,Belvedere,1
117,,next,1
118,,wharf,1
119,,Ohio,1
120,,River,1
121,,ySfBb6mEs4,1
122,,enslaved,1
123,,William,1
124,,participated,1
125,,full,1
126,,member,1
127,,present,1
128,,reached,1
129,,Pacific,1
130,,Ocean,1
131,,zFFpuEbl0U,1
132,,History,1
133,,New,1
134,,Year,1
135,,Black,1
136,,communities,1
137,,traced,1
138,,back,1
139,,g,1
