,profiles,kw,count
0,AftermathFi,co,7
1,,RT,6
2,,Sui,3
3,,AftermathFi,3
4,,Jan,3
5,,Best,2
6,,Nightly_app,2
7,,stay,2
8,,thrilled,2
9,,announce,2
10,,Suinami,2
11,,BuildOnSui,2
12,,Cetus,2
13,,DesigLabs,2
14,,SUI,2
15,,themoveguy,1
16,,talk,1
17,,lot,1
18,,still,1
19,,never,1
20,,used,1
21,,much,1
22,,done,1
23,,single,1
24,,transaction,1
25,,block,1
26,,Incre,1
27,,Routes,1
28,,Execution,1
29,,hJSXhBmVbh,1
30,,G3nmMcxBrA,1
31,,exciting,1
32,,news,1
33,,horizon,1
34,,tuned,1
35,,EGGcellent,1
36,,time,1
37,,join,1
38,,Discord,1
39,,date,1
40,,future,1
41,,announcements,1
42,,ubcM7F00nb,1
43,,Nightly,1
44,,new,1
45,,integration,1
46,,implemented,1
47,,Aftermath,1
48,,leading,1
49,,swa,1
50,,Join,1
51,,us,1
52,,minutes,1
53,,discussion,1
54,,various,1
55,,Perpetual,1
56,,protocols,1
57,,SuiNetwork,1
58,,18th,1
59,,11AM,1
60,,PDT,1
61,,PM,1
62,,UTC,1
63,,GemyMjmnNF,1
64,,CetusProtocol,1
65,,New,1
66,,Farms,1
67,,Live,1
68,,give,1
69,,attractive,1
70,,incentives,1
71,,LPs,1
72,,better,1
73,,way,1
74,,launched,1
75,,REVOLUTIONIZE,1
76,,DEFI,1
77,,LIQUID,1
78,,STAKING,1
79,,ALLIANCE,1
80,,amp,1
81,,DesigLabs',1
82,,grou,1
83,,AF_intern,1
84,,suggest,1
85,,joining,1
86,,discord,1
87,,relatively,1
88,,soon,1
89,,QTxJbyxrcc,1
90,,KevinAftermath,1
91,,start,1
92,,surpassed,1
93,,40M,1
94,,TVL,1
95,,across,1
96,,entire,1
97,,AF,1
98,,ecosystem,1
99,,AMM,1
100,,30M,1
101,,replenished,1
102,,rewards,1
103,,Afterburner,1
104,,Vaults,1
105,,weeks,1
106,,300k,1
107,,waiting,1
108,,Anon,1
109,,15th,1
110,,gt,1
111,,28th,1
112,,If9tHyH3Bc,1
113,,okG5pgxX16,1
