,profiles,kw,count
0,AlgodTrading,People,2
1,,crypto,2
2,,going,2
3,,bags,2
4,,holding,2
5,,saw,2
6,,month,2
7,,hard,2
8,,idea,1
9,,spoiled,1
10,,land,1
11,,coins,1
12,,10x,1
13,,left,1
14,,right,1
15,,decent,1
16,,amount,1
17,,liquidity,1
18,,Hard,1
19,,understand,1
20,,lazy,1
21,,lifetime,1
22,,market,1
23,,Yes,1
24,,sucks,1
25,,yet,1
26,,multiples,1
27,,bought,1
28,,proclaimed,1
29,,traders,1
30,,sold,1
31,,double,1
32,,digit,1
33,,return,1
34,,bearish,1
35,,div,1
36,,5min,1
37,,chart,1
38,,majority,1
39,,us,1
40,,better,1
41,,instead,1
42,,trying,1
43,,catch,1
44,,swing,1
45,,barely,1
46,,trader,1
47,,succeed,1
48,,multiple,1
49,,high,1
50,,conviction,1
51,,hodlers,1
52,,making,1
53,,millions,1
54,,Avoid,1
55,,leverage,1
56,,research,1
57,,gentle,1
58,,reminder,1
59,,decentralised,1
60,,AI,1
61,,narrative,1
62,,Biggest,1
63,,brainer,1
64,,seen,1
65,,need,1
66,,patience,1
67,,diamond,1
68,,hands,1
69,,drop,1
70,,alcohol,1
71,,several,1
72,,without,1
73,,fastfood,1
74,,gym,1
75,,times,1
76,,week,1
77,,funny,1
78,,part,1
79,,go,1
80,,back,1
81,,much,1
82,,energy,1
83,,mental,1
84,,clarity,1
85,,CEO,1
86,,Blackrock,1
87,,publicly,1
88,,one,1
89,,biggest,1
90,,bulltards,1
91,,Makes,1
92,,quite,1
93,,comfortable,1
94,,little,1
95,,longer,1
