,profiles,kw,count
0,AllsparkFinance,market,3
1,,assets,3
2,,Blast_L2,2
3,,Blast,2
4,,OFFICIALLY,2
5,,cryptocurrencies,2
6,,co,2
7,,DeFi,2
8,,speculative,2
9,,tokens,2
10,,interest,2
11,,rate,2
12,,RT,1
13,,Testnet,1
14,,LIVE,1
15,,BIG,1
16,,BANG,1
17,,competition,1
18,,begins,1
19,,Dapps,1
20,,compete,1
21,,Happily,1
22,,Allspark,1
23,,announcing,1
24,,building,1
25,,first,1
26,,perp,1
27,,exchange,1
28,,based,1
29,,native,1
30,,yield,1
31,,crypto,1
32,,classified,1
33,,two,1
34,,main,1
35,,categories,1
36,,terms,1
37,,economic,1
38,,models,1
39,,deflationary,1
40,,QlfkMh4lK7,1
41,,RWAs,1
42,,help,1
43,,shorten,1
44,,cycle,1
45,,token,1
46,,speculation,1
47,,introducing,1
48,,underlying,1
49,,liquidity,1
50,,debt,1
51,,collateral,1
52,,support,1
53,,essentially,1
54,,creating,1
55,,foundational,1
56,,layer,1
57,,supported,1
58,,traditional,1
59,,beneath,1
60,,realm,1
61,,created,1
62,,value,1
63,,primarily,1
64,,derived,1
65,,ability,1
66,,protocols,1
67,,generate,1
68,,income,1
69,,activities,1
70,,impact,1
71,,pandemic,1
72,,coupled,1
73,,successive,1
74,,cuts,1
75,,Federal,1
76,,Reserve,1
77,,following,1
78,,Powell,1
79,,takeover,1
80,,Yellen,1
81,,led,1
82,,reach,1
83,,largest,1
84,,bubble,1
85,,phase,1
86,,World,1
87,,War,1
88,,II,1
89,,despite,1
90,,high,1
91,,inflation,1
92,,low,1
93,,O2mKkHINOh,1
