,profiles,kw,count
0,Analyserxx,RT,4
1,,co,3
2,,METAL,2
3,,Burn,2
4,,Session,2
5,,HUB,2
6,,benbuiz,1
7,,adding,1
8,,new,1
9,,website,1
10,,coming,1
11,,beta,1
12,,game,1
13,,released,1
14,,Q2,1
15,,wait,1
16,,gaming,1
17,,narrati,1
18,,LongtermR,1
19,,waking,1
20,,Send,1
21,,mil,1
22,,little,1
23,,mc,1
24,,8Rdl7j5gt6,1
25,,DoginalsHub,1
26,,Today,1
27,,marks,1
28,,special,1
29,,day,1
30,,first,1
31,,token,1
32,,ordinalswallet,1
33,,need,1
34,,wallet,1
35,,extensions,1
36,,use,1
37,,el4AyXYqZt,1
38,,mobile,1
39,,device,1
40,,wMJMPDAHB6,1
