,profiles,kw,count
0,ArkhamIntel,BTC,9
1,,co,8
2,,Twitter,7
3,,RealMiguelMorel,6
4,,account,6
5,,ETH,5
6,,RT,4
7,,ArkhamIntel,4
8,,Grayscale,4
9,,deposited,4
10,,Coinbase,4
11,,Jan,4
12,,SIM,4
13,,swap,4
14,,post,4
15,,GBTC,3
16,,reported,3
17,,Prime,3
18,,CEO,3
19,,compromised,3
20,,scam,3
21,,taken,3
22,,access,3
23,,Miguel,3
24,,possible,2
25,,sent,2
26,,worth,2
27,,total,2
28,,past,2
29,,almost,2
30,,100M,2
31,,MakerDAO,2
32,,DAI,2
33,,Bitfinex,2
34,,morning,2
35,,20M,2
36,,hacker,2
37,,soon,2
38,,undone,2
39,,click,2
40,,links,2
41,,posted,2
42,,Week,2
43,,Andre_Dragosch,1
44,,Bitcoin,1
45,,analysts,1
46,,waiting,1
47,,latest,1
48,,data,1
49,,right,1
50,,market,1
51,,open,1
52,,a2lXlor6Ue,1
53,,slightly,1
54,,represents,1
55,,decrease,1
56,,NAV,1
57,,e,1
58,,g,1
59,,showed,1
60,,outflows,1
61,,period,1
62,,slight,1
63,,delays,1
64,,changes,1
65,,another,1
66,,87K,1
67,,wallets,1
68,,531M,1
69,,far,1
70,,9K,1
71,,97B,1
72,,current,1
73,,prices,1
74,,likely,1
75,,represent,1
76,,redemptions,1
77,,shares,1
78,,K7P3NmGZFH,1
79,,U9EggPJt3m,1
80,,including,1
81,,today,1
82,,5K,1
83,,deposits,1
84,,accounts,1
85,,days,1
86,,currently,1
87,,hold,1
88,,wstETH,1
89,,vaults,1
90,,borrowing,1
91,,50M,1
92,,see,1
93,,needed,1
94,,move,1
95,,accommodate,1
96,,withdrawal,1
97,,HqKZ0KnS31,1
98,,gm,1
99,,Abraxas,1
100,,Capital,1
101,,Management,1
102,,withdrew,1
103,,6M,1
104,,used,1
105,,mint,1
106,,swapped,1
107,,USDC,1
108,,Binance,1
109,,cHSRgmVM3Q,1
110,,uB0GL3nOxa,1
111,,Come,1
112,,hang,1
113,,us,1
114,,ninjatraderstr,1
115,,KyrrioOfficial,1
116,,Istanbul,1
117,,Feb,1
118,,7th,1
119,,Şubat'ta,1
120,,İstanbul'daki,1
121,,etkinliğim,1
122,,Yesterday,1
123,,briefly,1
124,,via,1
125,,created,1
126,,received,1
127,,1K,1
128,,views,1
129,,reversed,1
130,,longer,1
131,,pro,1
132,,process,1
133,,restoring,1
134,,full,1
135,,issu,1
136,,issue,1
137,,escalated,1
138,,working,1
139,,restore,1
140,,resolve,1
141,,situation,1
142,,Looks,1
143,,Celsius,1
144,,took,1
145,,opportunity,1
146,,unload,1
147,,gt,1
148,,125M,1
149,,ETF,1
150,,5M,1
151,,73M,1
152,,FalconX,1
153,,still,1
154,,billion,1
155,,540K,1
156,,remaining,1
157,,jp1PJbN46r,1
158,,xgfX6yU5Ye,1
