,profiles,kw,count
0,ArnoKiss,RT,13
1,,co,10
2,,exchgART,3
3,,link,2
4,,Art,2
5,,ArnoKiss,2
6,,Gm,2
7,,Scyphozoa,2
8,,SOL,2
9,,Edition,2
10,,inFzVBIIEz,2
11,,secret,2
12,,less,2
13,,tervoooo,2
14,,eth,2
15,,btc,2
16,,definitely,1
17,,selling,1
18,,little,1
19,,ridiculous,1
20,,sherlock_hodles,1
21,,Satoshi,1
22,,coming,1
23,,back,1
24,,change,1
25,,supply,1
26,,bit,1
27,,coins,1
28,,wreak,1
29,,havoc,1
30,,financial,1
31,,system,1
32,,sb8DMDY,1
33,,KenWattana,1
34,,exit,1
35,,Manta,1
36,,ecosystem,1
37,,anyone,1
38,,ref,1
39,,_cryptophobia,1
40,,GM,1
41,,Serious,1
42,,Dynamic,1
43,,Solana,1
44,,Collected,1
45,,meiQA9IiwJ,1
46,,see,1
47,,thing,1
48,,cited,1
49,,1X0hz60gyz,1
50,,lewis_osb,1
51,,Best,1
52,,Friends,1
53,,Forever,1
54,,OE,1
55,,TEZ,1
56,,HOURS,1
57,,YGh9xLRsMs,1
58,,FusionptCapital,1
59,,gaY1MNDCET,1
60,,Financial,1
61,,freedom,1
62,,secured,1
63,,lepuppeteerfou,1
64,,uJqCyFTWw0,1
65,,CozomoMedici,1
66,,except,1
67,,skip,1
68,,leg,1
69,,day,1
70,,Debating,1
71,,minting,1
72,,start,1
73,,talking,1
74,,wbtcgarden,1
75,,gm,1
76,,jackbutcher,1
77,,longer,1
78,,believe,1
79,,one,1
80,,work,1
81,,luck,1
82,,time,1
83,,green,1
84,,bay,1
85,,packers,1
86,,beat,1
87,,dallas,1
88,,cowboys,1
89,,first,1
90,,round,1
91,,playoffs,1
92,,bitcoin,1
93,,goes,1
94,,absolutely,1
95,,LOVING,1
96,,Packers,1
97,,Cowboys,1
98,,game,1
99,,itsaffirmed,1
100,,unpausing,1
101,,music,1
102,,another,1
103,,app,1
104,,paused,1
105,,listen,1
106,,cycle,1
107,,im,1
108,,gonna,1
109,,assume,1
110,,sol,1
111,,idk,1
112,,something,1
113,,boomers,1
114,,hold,1
115,,401k,1
116,,Finally,1
117,,managed,1
118,,grab,1
119,,Hyena,1
120,,send,1
121,,nodes,1
122,,1sbDoOlAlf,1
123,,evbuilds,1
124,,friday,1
125,,night,1
126,,doom,1
127,,jjOwNOx4Lg,1
