,profiles,kw,count
0,AutismCapital,co,11
1,,Apple,6
2,,Vision,5
3,,Pro,4
4,,app,3
5,,love,3
6,,Barry,3
7,,boys,2
8,,SPATIAL,2
9,,COMPUTING,2
10,,done,2
11,,care,2
12,,Netflix,2
13,,YouTube,2
14,,best,2
15,,getting,2
16,,girlfriend,2
17,,Lex,2
18,,help,2
19,,everyone,2
20,,guy,2
21,,Ozempic,2
22,,side,2
23,,lessons,2
24,,learn,2
25,,training,2
26,,shenanigans,2
27,,last,2
28,,safe,1
29,,Remember,1
30,,media,1
31,,tried,1
32,,tell,1
33,,sign,1
34,,white,1
35,,supremacy,1
36,,reconcile,1
37,,fact,1
38,,gesture,1
39,,primary,1
40,,interaction,1
41,,method,1
42,,OBEY,1
43,,zIupDb7hQH,1
44,,HR,1
45,,managers,1
46,,wet,1
47,,dream,1
48,,fire,1
49,,someone,1
50,,living,1
51,,room,1
52,,P8EobalaaO,1
53,,climbed,1
54,,peak,1
55,,many,1
56,,mountains,1
57,,retarded,1
58,,photo,1
59,,inspiration,1
60,,NpJLgTeh0a,1
61,,excited,1
62,,early,1
63,,adopter,1
64,,matter,1
65,,weighs,1
66,,lbs,1
67,,gives,1
68,,neck,1
69,,strain,1
70,,Spotify,1
71,,apps,1
72,,paid,1
73,,supporting,1
74,,u129NRMHml,1
75,,forget,1
76,,AppleCare,1
77,,Travel,1
78,,Case,1
79,,really,1
80,,sodomize,1
81,,retail,1
82,,new,1
83,,exciting,1
84,,ways,1
85,,year,1
86,,5jiQ8n2xVi,1
87,,spotify,1
88,,hey,1
89,,got,1
90,,TV,1
91,,Disney,1
92,,XN2o8lSPlP,1
93,,1TB,1
94,,4k,1
95,,used,1
96,,one,1
97,,time,1
98,,never,1
99,,touched,1
100,,comparison,1
101,,Trump,1
102,,Tell,1
103,,us,1
104,,kid,1
105,,going,1
106,,grow,1
107,,Zoomer,1
108,,Caesar,1
109,,bzVVIucLGJ,1
110,,forbid,1
111,,hanging,1
112,,Andrew,1
113,,Huberman,1
114,,depress,1
115,,even,1
116,,talking,1
117,,sleep,1
118,,solution,1
119,,proposed,1
120,,far,1
121,,amalgamation,1
122,,drunk,1
123,,dive,1
124,,bar,1
125,,big,1
126,,tiddy,1
127,,goth,1
128,,gf,1
129,,playing,1
130,,Diablo,1
131,,Elon,1
132,,LAN,1
133,,party,1
134,,heal,1
135,,lost,1
136,,cause,1
137,,might,1
138,,need,1
139,,cut,1
140,,autism,1
141,,Seriously,1
142,,though,1
143,,friend,1
144,,perennially,1
145,,depressed,1
146,,energy,1
147,,drain,1
148,,existential,1
149,,bummer,1
150,,around,1
151,,sudden,1
152,,outbursts,1
153,,claiming,1
154,,sad,1
155,,five,1
156,,minutes,1
157,,later,1
158,,actual,1
159,,DSM,1
160,,diagnosis,1
161,,Someone,1
162,,Zoloft,1
163,,obvious,1
164,,cry,1
165,,lRudIYnOwI,1
166,,give,1
167,,autistic,1
168,,excellence,1
169,,award,1
170,,month,1
171,,January,1
172,,fine,1
173,,young,1
174,,autists,1
175,,GwyCYxv6hk,1
176,,BAAAARRRRYYYYYYY,1
177,,GM,1
178,,except,1
179,,Silbert,1
180,,EYYnE6pPdh,1
181,,want,1
182,,point,1
183,,Dean,1
184,,Phillips,1
185,,pushing,1
186,,looks,1
187,,greg16676935420,1
188,,dad,1
189,,m6uYUBQwzO,1
190,,Regardless,1
191,,effects,1
192,,discipline,1
193,,life,1
194,,universally,1
195,,applicable,1
196,,patience,1
197,,goal,1
198,,setting,1
199,,tracking,1
200,,overcoming,1
201,,obstacles,1
202,,finding,1
203,,exceeding,1
204,,limitations,1
205,,recovering,1
206,,setbacks,1
207,,self,1
208,,esteem,1
209,,Seeing,1
210,,lot,1
211,,discussion,1
212,,timeline,1
213,,shoe,1
214,,dropped,1
215,,yet,1
216,,must,1
217,,affect,1
218,,One,1
219,,great,1
220,,joys,1
221,,lives,1
222,,fitness,1
223,,exercise,1
224,,hard,1
225,,believe,1
226,,people,1
227,,take,1
228,,pill,1
229,,consequences,1
230,,soon,1
231,,move,1
232,,Flush,1
233,,game,1
234,,already,1
235,,needs,1
236,,wiped,1
237,,lingering,1
238,,survivor,1
239,,cycle,1
240,,Nonstop,1
241,,Tiresome,1
242,,day,1
243,,long,1
244,,bear,1
245,,market,1
246,,ends,1
247,,MadMoneyOnCNBC,1
248,,tonight,1
