,profiles,kw,count
0,AviFelman,co,3
1,,history,2
2,,precious,2
3,,gems,2
4,,power,2
5,,jewelry,2
6,,useless,2
7,,items,2
8,,GBTC,1
9,,thing,1
10,,extremely,1
11,,unexpected,1
12,,ksOOAGuQdo,1
13,,Learn,1
14,,something,1
15,,today,1
16,,Throughout,1
17,,men,1
18,,adorned,1
19,,project,1
20,,reason,1
21,,society,1
22,,view,1
23,,feminine,1
24,,coded,1
25,,Truth,1
26,,wearing,1
27,,masculine,1
28,,gets,1
29,,AxSj7XL25K,1
30,,started,1
31,,make,1
32,,purchases,1
33,,next,1
34,,go,1
35,,visit,1
36,,mines,1
37,,figure,1
38,,mainly,1
39,,trade,1
40,,around,1
41,,digital,1
42,,funnel,1
43,,PnL,1
44,,begin,1
45,,trading,1
46,,physical,1
47,,oldest,1
48,,house,1
49,,Paris,1
50,,family,1
51,,owned,1
52,,much,1
53,,recently,1
54,,come,1
55,,appreciation,1
56,,similar,1
57,,little,1
58,,industry,1
59,,greatest,1
60,,example,1
61,,tremendous,1
62,,value,1
63,,collective,1
64,,illusions,1
65,,hIbwllMTUR,1
