,profiles,kw,count
0,BarryBluee,co,3
1,,RT,3
2,,crypto,2
3,,time,2
4,,follow,2
5,,thread,2
6,,betting,2
7,,gonna,1
8,,big,1
9,,one,1
10,,Great,1
11,,read,1
12,,potential,1
13,,AI,1
14,,Agents,1
15,,CROWN,1
16,,uXZi1GCCoF,1
17,,crypto_popseye,1
18,,high,1
19,,conviction,1
20,,play,1
21,,popseye,1
22,,WNT,1
23,,wicrypt,1
24,,waiting,1
25,,post,1
26,,wai,1
27,,Chads,1
28,,CryptoGideon,1
29,,Defi0xJeff,1
30,,belizardd,1
31,,the_smart_ape,1
32,,ViktorDefi,1
33,,ardizor,1
34,,Crypt0_Andrew,1
35,,splinter0n,1
36,,resdegen,1
37,,poopmandefi,1
38,,DeFiMinty,1
39,,arndxt_xo,1
40,,0xMughal,1
41,,0xShual,1
42,,casperdefi,1
43,,thedefiedge,1
44,,Hercules_Defi,1
45,,crypthoem,1
46,,QuantMeta,1
47,,defi_mochi,1
48,,Defi_Maestro,1
49,,Writing,1
50,,took,1
51,,lot,1
52,,quick,1
53,,retweet,1
54,,first,1
55,,tweet,1
56,,make,1
57,,day,1
58,,enjoyed,1
59,,content,1
60,,please,1
61,,Barrybluee,1
62,,alpha,1
63,,online,1
64,,space,1
65,,plagued,1
66,,transparency,1
67,,issues,1
68,,users,1
69,,unable,1
70,,withdraw,1
71,,winnings,1
72,,assets,1
73,,BetBitX,1
74,,trying,1
75,,change,1
76,,chain,1
77,,verifiable,1
78,,randomness,1
79,,non,1
80,,custodial,1
81,,0xMantle,1
82,,Everything,1
83,,need,1
84,,know,1
85,,fdhwJ68Cha,1
86,,TheCryptoData,1
87,,IX,1
88,,Swap,1
89,,Uniswap,1
90,,RWAs,1
91,,Working,1
92,,closely,1
93,,world,1
94,,biggest,1
95,,financial,1
96,,institutions,1
97,,HSBC,1
98,,UBS,1
99,,State,1
100,,Street,1
101,,TYRANT,1
102,,memelines,1
103,,holding,1
104,,nicely,1
105,,Best,1
106,,Year,1
107,,Dragon,1
108,,meme,1
109,,IMO,1
110,,DNN7gy9W3H,1
111,,EricBalchunas,1
112,,LATEST,1
113,,two,1
114,,days,1
115,,books,1
116,,Nine,1
117,,Newborns,1
118,,taken,1
119,,4b,1
120,,new,1
121,,cash,1
122,,overwhelming,1
123,,GBTC,1
124,,579m,1
