,profiles,kw,count
0,BigDickBull69,RT,14
1,,co,8
2,,turn,4
3,,traders,3
4,,market,3
5,,take,3
6,,see,3
7,,everything,3
8,,Oh,3
9,,time,3
10,,BigDickBull69,3
11,,lose,2
12,,way,2
13,,Twitter,2
14,,far,2
15,,European,2
16,,Swiss,2
17,,Luxury,2
18,,genuinely,2
19,,run,2
20,,ETH,2
21,,price,2
22,,targets,2
23,,go,2
24,,anon,2
25,,going,2
26,,Thanks,2
27,,Playing,2
28,,past,2
29,,weeks,2
30,,crypto,2
31,,bullish,2
32,,shit,2
33,,quick,2
34,,goal,2
35,,10k,2
36,,1m,2
37,,GCR,2
38,,YGhseQauyS,1
39,,used,1
40,,confused,1
41,,saw,1
42,,statistics,1
43,,money,1
44,,true,1
45,,released,1
46,,page,1
47,,look,1
48,,Stone,1
49,,Retards,1
50,,eye,1
51,,SHOUTING,1
52,,financial,1
53,,advice,1
54,,mean,1
55,,tell,1
56,,opened,1
57,,shorts,1
58,,hours,1
59,,ended,1
60,,B6DDX3TMY5,1
61,,amanjagtapp,1
62,,Woke,1
63,,Still,1
64,,TOP,1
65,,JEET,1
66,,Thanked,1
67,,GOD,1
68,,love,1
69,,without,1
70,,Hate,1
71,,sweet,1
72,,enjoyed,1
73,,enough,1
74,,profitable,1
75,,need,1
76,,Watch,1
77,,Market,1
78,,implode,1
79,,entirely,1
80,,god,1
81,,still,1
82,,Avalanche,1
83,,Finance,1
84,,Long,1
85,,put,1
86,,gender,1
87,,pronouns,1
88,,email,1
89,,signature,1
90,,hope,1
91,,fiber,1
92,,wiped,1
93,,face,1
94,,earth,1
95,,natural,1
96,,unnatural,1
97,,causes,1
98,,Lots,1
99,,BLUR,1
100,,speculation,1
101,,Blast,1
102,,beta,1
103,,REAL,1
104,,NFT,1
105,,Add,1
106,,Zero,1
107,,fact,1
108,,behind,1
109,,shed,1
110,,pull,1
111,,trigger,1
112,,Double,1
113,,Barreled,1
114,,Shotgun,1
115,,goes,1
116,,Vertical,1
117,,GTMsqdejIE,1
118,,guys,1
119,,expect,1
120,,SOL,1
121,,vs,1
122,,straight,1
123,,line,1
124,,forever,1
125,,Look,1
126,,bright,1
127,,side,1
128,,BTC,1
129,,NEVER,1
130,,purchase,1
131,,many,1
132,,Watches,1
133,,qJ2j9oAIUF,1
134,,High,1
135,,Leverage,1
136,,Trader,1
137,,Pro,1
138,,Tip,1
139,,CONSTANTLY,1
140,,stare,1
141,,low,1
142,,frame,1
143,,chart,1
144,,statistically,1
145,,improves,1
146,,odds,1
147,,position,1
148,,begin,1
149,,ExitLiqCapital,1
150,,Year,1
151,,Gigachad,1
152,,overvalued,1
153,,dogshit,1
154,,value,1
155,,versus,1
156,,Ethereum,1
157,,cope,1
158,,ass,1
159,,timeline,1
160,,elonmusk,1
161,,Wow,1
162,,know,1
163,,Elizabeth,1
164,,Warren,1
165,,Davos,1
166,,q9FwDDx3Z8,1
167,,received,1
168,,DOZENS,1
169,,messages,1
170,,novice,1
171,,asking,1
172,,opinion,1
173,,called,1
174,,Points,1
175,,programs,1
176,,new,1
177,,platforms,1
178,,using,1
179,,response,1
180,,Study,1
181,,Stars,1
182,,Arena,1
183,,gotta,1
184,,braindead,1
185,,long,1
186,,timeframe,1
187,,happening,1
188,,Mute,1
189,,single,1
190,,notifications,1
191,,Je9cNraOCq,1
192,,rich,1
193,,poor,1
194,,LIGHTNING,1
195,,SPEED,1
196,,Solana,1
197,,memecoins,1
198,,multiple,1
199,,cycles,1
200,,within,1
201,,span,1
202,,takes,1
203,,decades,1
204,,play,1
205,,tradfi,1
206,,Absolutely,1
207,,mental,1
208,,spacepixel,1
209,,cycle,1
210,,100k,1
211,,10m,1
212,,blknoiz06,1
213,,cool,1
214,,thing,1
215,,twitter,1
216,,outsource,1
217,,alpha,1
218,,find,1
219,,best,1
220,,researchers,1
221,,bulltrapper0,1
222,,make,1
223,,Follower,1
224,,zoomer,1
225,,bdb,1
226,,Block,1
227,,henti,1
228,,alts,1
229,,regular,1
230,,smoker,1
231,,weed,1
232,,Good,1
233,,luck,1
234,,hvA2UK15tD,1
235,,gave,1
236,,Weed,1
237,,took,1
238,,Stimulants,1
239,,began,1
240,,fall,1
241,,place,1
242,,L9Dn2dkIr8,1
243,,0xWittgenstein,1
244,,ones,1
245,,listen,1
246,,really,1
247,,care,1
248,,word,1
249,,leverage,1
250,,amplifying,1
251,,force,1
252,,bh359,1
253,,question,1
254,,confounded,1
255,,CT,1
256,,years,1
257,,Rumors,1
258,,floated,1
259,,around,1
260,,Vivek,1
261,,Gary,1
262,,Genslers,1
263,,legacy,1
264,,incompetent,1
265,,cockroach,1
266,,got,1
267,,steamrolled,1
268,,asset,1
269,,class,1
270,,hum,1
271,,iamDCinvestor,1
272,,never,1
273,,seen,1
274,,gary,1
275,,muted,1
276,,sullen,1
277,,looked,1
278,,CNBC,1
279,,morning,1
280,,utterly,1
281,,broken,1
282,,man,1
283,,trading_axe,1
284,,prices,1
285,,Inside,1
286,,brain,1
287,,strong,1
288,,British,1
289,,accent,1
290,,yelling,1
291,,YA,1
292,,FOOKIN',1
293,,ALT,1
294,,SEASON,1
295,,Prices,1
296,,drop,1
297,,euros,1
298,,post,1
299,,first,1
300,,months,1
301,,boy,1
302,,LomahCrypto,1
303,,us,1
304,,another,1
305,,day,1
306,,Barely,1
307,,pullback,1
308,,institutional,1
309,,TradFi,1
310,,boomers,1
311,,apocalyptic,1
