,profiles,kw,count
0,BotanixLabs,BTC,4
1,,Botanix,3
2,,Bitcoin,3
3,,co,3
4,,build,2
5,,EVM,2
6,,RT,2
7,,BotanixLabs,2
8,,deposit,2
9,,increase,2
10,,holdings,2
11,,counterparty,2
12,,risk,2
13,,Bitzy_App,2
14,,Want,1
15,,first,1
16,,biggest,1
17,,capital,1
18,,pool,1
19,,crypto,1
20,,organising,1
21,,hackathon,1
22,,devs,1
23,,looking,1
24,,applications,1
25,,info,1
26,,soon,1
27,,TheCryptoDog,1
28,,hmalviya9,1
29,,SatoshiVM,1
30,,BTClayer2,1
31,,BsquaredNetwork,1
32,,flashprotocol,1
33,,wyzthofficial,1
34,,bitfinitynet,1
35,,bet,1
36,,one,1
37,,Layer,1
38,,Users,1
39,,typically,1
40,,CEX,1
41,,trade,1
42,,take,1
43,,high,1
44,,without,1
45,,integrating,1
46,,BRC,1
47,,tokens,1
48,,sound,1
49,,Clip,1
50,,Nugget,1
51,,News,1
52,,AlexSaundersAU,1
53,,7CRqBovC8l,1
54,,Spiderchain,1
55,,explained,1
56,,seconds,1
57,,RUvHpCnObR,1
58,,Truly,1
59,,decentralized,1
60,,user,1
61,,experience,1
62,,already,1
63,,know,1
64,,love,1
65,,HwcOR54X9m,1
66,,wonderful,1
67,,AMM,1
68,,L2,1
69,,opens,1
70,,testnet,1
71,,doors,1
72,,public,1
73,,Learn,1
74,,easily,1
75,,access,1
76,,code,1
77,,htt,1
78,,LFG,1
