,profiles,kw,count
0,Buffer_Finance,co,10
1,,arbitrum,6
2,,RT,5
3,,Buffer_Finance,5
4,,Buffer,3
5,,payouts,3
6,,Enjoy,3
7,,space,3
8,,SKalaydzhiev,2
9,,crazy,2
10,,APR,2
11,,BFR,2
12,,Vault,2
13,,ARB,2
14,,amp,2
15,,Airdrop,2
16,,rlDIfHPMOL,2
17,,Set,2
18,,reminder,2
19,,GM,2
20,,Bufferinos,2
21,,first,2
22,,happening,2
23,,TODAY,2
24,,Join,2
25,,us,2
26,,𝗽𝗺,2
27,,𝗨𝗧𝗖,2
28,,chat,2
29,,𝗗𝗶𝗱,1
30,,𝘆𝗼𝘂,1
31,,𝗸𝗻𝗼𝘄,1
32,,offers,1
33,,products,1
34,,platform,1
35,,Explore,1
36,,nPMmcJcCLn,1
37,,rpirTNn5Vf,1
38,,Perps,1
39,,FU89ffXdbr,1
40,,one,1
41,,favourite,1
42,,available,1
43,,new,1
44,,product,1
45,,Trading,1
46,,easy,1
47,,shown,1
48,,pictu,1
49,,Weekly,1
50,,Adjustments,1
51,,Updated,1
52,,USDC,1
53,,uBLP,1
54,,aBLP,1
55,,Details,1
56,,Staking,1
57,,kj9yUnOlR2,1
58,,reserved,1
59,,stakers,1
60,,Platform,1
61,,Stats,1
62,,7Cphp2JxvN,1
63,,LIVE,1
64,,minutes,1
65,,p58u4E1E8y,1
66,,j,1
67,,journey,1
68,,building,1
69,,gamification,1
70,,look,1
71,,future,1
72,,AethirCloud,1
73,,Monday,1
74,,00pm,1
75,,IWfOA8T0tZ,1
76,,payout,1
77,,Week,1
78,,Options,1
79,,market,1
80,,last,1
81,,couple,1
82,,days,1
83,,think,1
84,,50k,1
85,,B,1
86,,trading,1
87,,daily,1
88,,weekly,1
89,,options,1
90,,wonderful,1
91,,myv7kgPN1q,1
