,profiles,kw,count
0,BumbiBera,RT,5
1,,Bera_Land,2
2,,BeraLand,2
3,,berachain,2
4,,HELLLOOO,1
5,,WEN,1
6,,ROLE,1
7,,Henlo,1
8,,Ooga,1
9,,Boogs,1
10,,Beras,1
11,,excited,1
12,,announce,1
13,,third,1
14,,episode,1
15,,TV,1
16,,featuring,1
17,,incre,1
18,,KodiakFi,1
19,,Everyone,1
20,,asking,1
21,,us,1
22,,Berachain,1
23,,Native,1
24,,Liquidity,1
25,,Hub,1
26,,mean,1
27,,Well,1
28,,go,1
29,,Introducing,1
30,,Kodiak,1
31,,Modular,1
32,,expansion,1
33,,flux0x,1
34,,Anything,1
35,,related,1
36,,best,1
37,,source,1
38,,atm,1
39,,BeratoneGame,1
40,,JAN,1
41,,co,1
42,,4R4OAPAoQw,1
