,profiles,kw,count
0,C4dotgg,live,12
1,,thread,12
2,,TGE,9
3,,new,9
4,,New,7
5,,Projects,7
6,,today,6
7,,Launches,5
8,,launches,5
9,,UTC,5
10,,info,4
11,,check,4
12,,TG,4
13,,co,4
14,,January,4
15,,crypto,4
16,,project,4
17,,findings,4
18,,digging,4
19,,summarized,4
20,,daily,4
21,,happening,4
22,,Eth,3
23,,IDO,3
24,,Reads,3
25,,airdrop,3
26,,Project,3
27,,Updates,3
28,,announces,3
29,,SatoshiVM,2
30,,6pm,2
31,,ETF,2
32,,Saros_Finance,2
33,,Arbitrum,2
34,,v2,2
35,,Layer,2
36,,chest_bot,2
37,,blast_futures,1
38,,zkCandyHQ,1
39,,Glypherio,1
40,,naka_chain,1
41,,Satodrome,1
42,,Corcel_AI,1
43,,VGeCei2PVh,1
44,,inscribe_app,1
45,,season,1
46,,Eclipsefi,1
47,,alpha,1
48,,NolusProtocol,1
49,,Neutron,1
50,,LyveFinance,1
51,,buildabera,1
52,,AkitaKenSwap_Fi,1
53,,ArtangleNFT,1
54,,beanb_ag,1
55,,Mef_Coin,1
56,,Linkko_io,1
57,,librecap,1
58,,taobnk,1
59,,veblenxyz,1
60,,19th,1
61,,savmswapio,1
62,,SupswapXyz,1
63,,LobsterProtocol,1
64,,EdmdpzlHv3,1
65,,OndoFoundation,1
66,,CEXs,1
67,,subsquid,1
68,,Coinlist,1
69,,sujiko_perps,1
70,,Mint,1
71,,9pm,1
72,,tensor_hq,1
73,,coven_land,1
74,,BlastDisperse,1
75,,AllsparkFinance,1
76,,Ambush,1
77,,KIPprotocol,1
78,,beraplug,1
79,,soladfi,1
80,,WandProtocol,1
81,,BlastSwapxyz,1
82,,blageonblast,1
83,,Threads,1
84,,CryptoHayes,1
85,,article,1
86,,Wif,1
87,,Hat,1
88,,Silo_Stake,1
89,,Sei,1
90,,open_dollar,1
91,,MantaNetwork,1
92,,Manta,1
93,,UnibotOnSolana,1
94,,copy,1
95,,trading,1
96,,bounce_finance,1
97,,ScopeProtocol,1
98,,web3,1
99,,AI,1
100,,Data,1
101,,Introducing,1
102,,EthosStake,1
103,,Binance,1
104,,listing,1
105,,WIF,1
106,,perps,1
107,,Conflux_Network,1
108,,EVM,1
109,,Compatible,1
110,,Bitcoin,1
111,,L2,1
112,,Defi_Made_here,1
113,,liquidity,1
114,,provisioning,1
115,,pools,1
116,,pricing,1
117,,Thales_io,1
118,,tokenomics,1
119,,Traderjoe_xyz,1
120,,hints,1
121,,launching,1
122,,mobile,1
123,,phone,1
124,,FraxFinance,1
125,,Fraxtal,1
126,,Debut,1
127,,February,1
128,,snapshot,1
129,,taken,1
130,,Public,1
131,,Goods,1
132,,Network,1
133,,pgn_eth,1
134,,Gitcoin,1
135,,winding,1
136,,News,1
137,,Gemini,1
138,,gets,1
139,,nod,1
140,,launch,1
141,,France,1
142,,Coinbase,1
143,,argument,1
144,,summary,1
145,,SEC,1
146,,MAS,1
147,,BTC,1
148,,listed,1
149,,Singapore,1
150,,Rosa_Finance,1
151,,exploited,1
152,,45k,1
153,,CantoPublic,1
154,,proposal,1
155,,reduce,1
156,,LM,1
157,,security,1
158,,incentives,1
159,,18th,1
160,,CyberFinance__,1
161,,RiskOnBlast,1
162,,kangiten_co,1
163,,PrismOnBlast,1
164,,0xDuoNetwork,1
165,,Blastwayio,1
166,,LadaProtocol,1
167,,LayerX_L2,1
168,,ZetaEarn,1
169,,bagel_network,1
170,,soybot_xyz,1
171,,oooo_money,1
172,,FipeFinance,1
173,,Blast_Together,1
174,,JDXk1RK49r,1
175,,Blast_L2,1
176,,testnet,1
177,,degen,1
178,,Solana,1
179,,rosa_finance,1
180,,7pm,1
181,,Balance_AI,1
182,,LBP,1
183,,3pm,1
184,,asteroidxyz,1
185,,ManXSwap,1
186,,pry_finance,1
187,,venium_io,1
188,,blasterfi,1
189,,allo_xyz,1
190,,tntswap_io,1
191,,17th,1
192,,None,1
193,,POAT__,1
194,,GLHFers,1
195,,bognetwork,1
196,,InuraNetwork,1
197,,azurance_fi,1
198,,TheNimbusApp,1
199,,taboprotocol,1
200,,HyperBlastDex,1
201,,OsKOaCuBvX,1
202,,TaikiMaeda2,1
203,,TIA,1
204,,0xZergs,1
205,,Widowmaker,1
206,,Trade,1
207,,jinglingcookies,1
208,,StakeNet,1
209,,Jito_Labs,1
210,,DylanXVFETH,1
211,,Berachain,1
212,,PoL,1
213,,zeeprimecapital,1
214,,Subsquid,1
215,,14th,1
