,profiles,kw,count
0,CCPGames,EVE,3
1,,co,3
2,,first,2
3,,RT,2
4,,EveOnline,2
5,,Unveiling,1
6,,roadmap,1
7,,Online,1
8,,two,1
9,,content,1
10,,expansions,1
11,,Founders,1
12,,Access,1
13,,users,1
14,,explore,1
15,,uncharted,1
16,,territory,1
17,,Vanguard,1
18,,integrated,1
19,,person,1
20,,shooter,1
21,,module,1
22,,currently,1
23,,early,1
24,,development,1
25,,1EDYmjmC3V,1
26,,Nb9UDkGXBx,1
27,,Set,1
28,,course,1
29,,space,1
30,,adventure,1
31,,08cDc7oMe3,1
32,,Starter,1
33,,Bundles,1
34,,great,1
35,,way,1
36,,add,1
37,,game,1
38,,time,1
39,,SP,1
40,,PLEX,1
41,,account,1
42,,looking,1
43,,top,1
44,,sub,1
45,,Astero,1
46,,staple,1
47,,ship,1
48,,explorers,1
49,,across,1
50,,New,1
51,,Eden,1
52,,remember,1
53,,Sisters,1
54,,introduced,1
