,profiles,kw,count
0,CJCJCJCJ_,RT,4
1,,shilling,2
2,,MantaNetwork,2
3,,aevoxyz,2
4,,penguins,2
5,,zachxbt,1
6,,Remember,1
7,,influencers,1
8,,lot,1
9,,followers,1
10,,start,1
11,,project,1
12,,launch,1
13,,time,1
14,,likely,1
15,,bc,1
16,,WazzCrypto,1
17,,Missed,1
18,,SAVM,1
19,,scammers,1
20,,paid,1
21,,threads,1
22,,hard,1
23,,pass,1
24,,definalist,1
25,,suspected,1
26,,money,1
27,,laundering,1
28,,Bithumb,1
29,,day,1
30,,listing,1
31,,2M,1
32,,MANTA,1
33,,transferred,1
34,,persona,1
35,,fucking,1
36,,missed,1
37,,ondo,1
38,,thanks,1
39,,stupid,1
40,,rpcs,1
41,,shit,1
42,,chain,1
43,,mid,1
44,,fig,1
45,,airdrop,1
46,,Manta,1
47,,hedged,1
48,,gud,1
49,,product,1
50,,Cbb0fe,1
51,,Exclusive,1
52,,Behind,1
53,,scenes,1
54,,marketing,1
55,,team,1
56,,co,1
57,,5W266ulLat,1
