,profiles,kw,count
0,Calderaxyz,RT,7
1,,Ethereum,5
2,,co,5
3,,chains,5
4,,launch,4
5,,deployments,3
6,,developers,3
7,,new,3
8,,RaaS,3
9,,blockchains,3
10,,Calderaxyz,3
11,,Box,2
12,,functionality,2
13,,seamless,2
14,,allow,2
15,,one,2
16,,click,2
17,,chain,2
18,,without,2
19,,hiring,2
20,,explosion,2
21,,beautiful,2
22,,today,2
23,,community,2
24,,rollups,2
25,,alt_layer,2
26,,L2,2
27,,path,1
28,,permissionless,1
29,,Arbitrum,1
30,,Orbit,1
31,,Chain,1
32,,Collect,1
33,,Calderascope,1
34,,3D,1
35,,journey,1
36,,commemorating,1
37,,integration,1
38,,Click,1
39,,kZWRVDCoIB,1
40,,qPoqwuzofc,1
41,,abstracts,1
42,,away,1
43,,bridging,1
44,,swapping,1
45,,create,1
46,,transaction,1
47,,experience,1
48,,dApps,1
49,,meet,1
50,,users,1
51,,point,1
52,,liquidity,1
53,,solve,1
54,,cold,1
55,,start,1
56,,growth,1
57,,problems,1
58,,Leveraging,1
59,,set,1
60,,hooks,1
61,,embeddable,1
62,,React,1
63,,components,1
64,,select,1
65,,action,1
66,,type,1
67,,perform,1
68,,takes,1
69,,care,1
70,,rest,1
71,,partnering,1
72,,decentxyz,1
73,,collaboration,1
74,,enables,1
75,,transactions,1
76,,using,1
77,,token,1
78,,reducing,1
79,,churn,1
80,,supporting,1
81,,crosschain,1
82,,day,1
83,,Let,1
84,,dive,1
85,,details,1
86,,mr9gVpopPs,1
87,,Cloud,1
88,,enabled,1
89,,apps,1
90,,managing,1
91,,hardware,1
92,,sysadmins,1
93,,powering,1
94,,startups,1
95,,Caldera,1
96,,allows,1
97,,wrangling,1
98,,SDKs,1
99,,protocol,1
100,,engs,1
101,,coming,1
102,,0xDinoEggs,1
103,,modularity,1
104,,made,1
105,,feel,1
106,,app,1
107,,many,1
108,,cas,1
109,,evolving,1
110,,days,1
111,,execution,1
112,,layer,1
113,,may,1
114,,numbered,1
115,,millions,1
116,,lightning,1
117,,fast,1
118,,modular,1
119,,settle,1
120,,onto,1
121,,Build,1
122,,NYrU5tslM1,1
123,,chainyoda,1
124,,Modular,1
125,,RAAS,1
126,,frameworks,1
127,,devs,1
128,,minutes,1
129,,focus,1
130,,almost,1
131,,enti,1
132,,tech,1
133,,becomes,1
134,,table,1
135,,stakes,1
136,,next,1
137,,big,1
138,,differentiated,1
139,,case,1
140,,xJK67tpmP9,1
141,,jimmyboolish,1
142,,never,1
143,,founders,1
144,,crypto,1
145,,think,1
146,,scale,1
147,,thanks,1
148,,Millions,1
149,,interconnected,1
150,,inheriting,1
151,,security,1
152,,Abstracted,1
153,,UI,1
154,,UX,1
155,,future,1
156,,making,1
157,,happen,1
158,,0xJord4n,1
159,,Spent,1
160,,morning,1
161,,deploying,1
162,,test,1
163,,net,1
164,,Impressive,1
165,,abstraction,1
166,,providers,1
167,,amp,1
168,,MaxLongCEO,1
169,,DA,1
170,,CelestiaOrg,1
171,,eigenlayer,1
172,,AvailProject,1
173,,dymension,1
174,,initiaFDN,1
175,,Sagax,1
176,,adamscochran,1
177,,chadb0t,1
178,,mean,1
179,,use,1
180,,Espresso,1
181,,right,1
182,,rollup,1
183,,via,1
184,,decentralized,1
185,,sequ,1
186,,niraj,1
187,,Prediction,1
188,,going,1
189,,see,1
190,,major,1
191,,financial,1
192,,institution,1
193,,cycle,1
