,profiles,kw,count
0,Candlestick_io,co,47
1,,Smart,23
2,,TROLL,19
3,,profit,19
4,,Money,15
5,,ROI,12
6,,last,9
7,,top,8
8,,tokens,8
9,,trading,7
10,,trader,7
11,,latest,7
12,,stealth,7
13,,addresses,6
14,,dip,6
15,,month,6
16,,wallet,6
17,,money,6
18,,real,6
19,,Alpha,6
20,,Win,6
21,,new,5
22,,RT,5
23,,Candlestick_io,5
24,,high,5
25,,Rate,5
26,,Top,5
27,,traded,5
28,,value,4
29,,buy,4
30,,price,4
31,,BANANA,4
32,,meme,4
33,,signals,4
34,,days,4
35,,KIZUNA,4
36,,Meme,4
37,,return,4
38,,gt,4
39,,rise,4
40,,risk,4
41,,smart,4
42,,trade,4
43,,size,4
44,,New,3
45,,TraderScan,3
46,,Track,3
47,,one,3
48,,6x,3
49,,ago,3
50,,bought,3
51,,eth,3
52,,SMILEY,3
53,,sold,3
54,,Though,3
55,,still,3
56,,made,3
57,,Follow,3
58,,watchlist,3
59,,QT,3
60,,RBN,3
61,,loaded,3
62,,token,3
63,,hunting,3
64,,0x664b,3
65,,Degen,3
66,,Holders,3
67,,holding,3
68,,ATH,3
69,,movements,2
70,,0xa549,2
71,,244a,2
72,,sell,2
73,,former,2
74,,WHj9ntJEBV,2
75,,entered,2
76,,hour,2
77,,Unveil,2
78,,selling,2
79,,among,2
80,,performance,2
81,,impressive,2
82,,0x,2
83,,RFZzcpYwka,2
84,,hottest,2
85,,2x,2
86,,Discover,2
87,,trades,2
88,,dropped,2
89,,24h,2
90,,0x00b1,2
91,,Avg,2
92,,time,2
93,,53K,2
94,,PAW,2
95,,newly,2
96,,Candlestick,2
97,,crypto,2
98,,update,2
99,,10K,2
100,,SHIDO,2
101,,really,2
102,,added,2
103,,performer,2
104,,date,2
105,,moves,2
106,,holder,2
107,,Pro,2
108,,0x23fc,2
109,,address,2
110,,Buy,2
111,,1M,2
112,,10x,2
113,,Suitable,2
114,,degen,2
115,,0x9042,2
116,,Almost,2
117,,remains,2
118,,jv0gGfEihY,2
119,,frequency,2
120,,8x,2
121,,Explorer,2
122,,Activated,2
123,,0x3fa6,2
124,,bc1a,2
125,,Jan,2
126,,killed,2
127,,zeros,2
128,,hodl,2
129,,another,2
130,,definition,2
131,,criteria,2
132,,average,2
133,,196x,2
134,,range,2
135,,Update,1
136,,Version,1
137,,Brings,1
138,,major,1
139,,enhancements,1
140,,Enhanced,1
141,,includes,1
142,,Trade,1
143,,Transfer',1
144,,transactions,1
145,,Trading,1
146,,Performance,1
147,,calculations,1
148,,Benefit,1
149,,related,1
150,,follow,1
151,,Dynamic,1
152,,Tracking,1
153,,CEX,1
154,,Deposit,1
155,,m1YXTXZFLJ,1
156,,PrafulGautam82,1
157,,cryptotrollface,1
158,,edwardrussel9,1
159,,memecoinmuscle,1
160,,TheGamerJourn,1
161,,NFKreemed,1
162,,ventityETH,1
163,,geezyeth,1
164,,Jeezer26,1
165,,second,1
166,,full,1
167,,rebuilt,1
168,,position,1
169,,3K,1
170,,C6nxERljF2,1
171,,Two,1
172,,gainers,1
173,,previously,1
174,,entirely,1
175,,rank,1
176,,best,1
177,,bspxzuLrkA,1
178,,0xaa3d,1
179,,1ecc,1
180,,2HdVhBkk4Z,1
181,,strikes,1
182,,moonshot,1
183,,MILEI,1
184,,Memes,1
185,,17x,1
186,,NOBODY,1
187,,first,1
188,,aCny7ir2Yw,1
189,,Alert,1
190,,remaining,1
191,,Live,1
192,,Trades,1
193,,ZpBUqRk76t,1
194,,bvK03jiHw8,1
195,,Old,1
196,,coins,1
197,,heating,1
198,,SATOSHI,1
199,,0x1b9f,1
200,,584c,1
201,,grab,1
202,,Add,1
203,,MnwBs8xn09,1
204,,see,1
