,profiles,kw,count
0,CeloOrg,amp,8
1,,co,5
2,,RT,4
3,,Bridges,4
4,,blockchain,4
5,,many,3
6,,Celo,3
7,,marek_,3
8,,modular,3
9,,DA,3
10,,PT,2
11,,centralized,2
12,,bridge,2
13,,designs,2
14,,bridging,2
15,,built,2
16,,decentralized,2
17,,different,2
18,,Liquidity,2
19,,Users,2
20,,ecosystems,2
21,,Bridge,2
22,,networks,2
23,,Ethereum,2
24,,transfer,2
25,,data,2
26,,karl_dot_tech,2
27,,ben_chain,2
28,,ElectricCapital,2
29,,solutions,2
30,,eigenlayer,2
31,,CEL2,2
32,,Modular,2
33,,Series,2
34,,CeloDevs,1
35,,CGC,1
36,,kicks,1
37,,today,1
38,,ET,1
39,,PM,1
40,,UTC,1
41,,Agenda,1
42,,Governance,1
43,,Guidelines,1
44,,LuukDAO,1
45,,CELO,1
46,,Guild,1
47,,often,1
48,,introduce,1
49,,significant,1
50,,risks,1
51,,need,1
52,,secure,1
53,,unified,1
54,,liquidity,1
55,,key,1
56,,area,1
57,,innovation,1
58,,especially,1
59,,head,1
60,,multi,1
61,,chain,1
62,,future,1
63,,Tech,1
64,,behind,1
65,,forms,1
66,,relying,1
67,,trusted,1
68,,third,1
69,,party,1
70,,using,1
71,,smart,1
72,,contracts,1
73,,trustless,1
74,,operations,1
75,,matter,1
76,,Interoperability,1
77,,Facilitates,1
78,,interaction,1
79,,move,1
80,,asset,1
81,,across,1
82,,various,1
83,,Flexibility,1
84,,confined,1
85,,limitations,1
86,,single,1
87,,context,1
88,,links,1
89,,e,1
90,,g,1
91,,enables,1
92,,digital,1
93,,assets,1
94,,tokens,1
95,,NFTs,1
96,,normally,1
97,,operate,1
98,,independently,1
99,,communicate,1
100,,directly,1
101,,Rollup,1
102,,Z,1
103,,Glossary,1
104,,B,1
105,,Think,1
106,,blockchains,1
107,,city,1
108,,states,1
109,,Separated,1
110,,value,1
111,,information,1
112,,cities,1
113,,possible,1
114,,via,1
115,,connecting,1
116,,isolated,1
117,,communities,1
118,,M04cY0nTHq,1
119,,CDaAOxFntl,1
120,,hours,1
121,,Epi,1
122,,L2Unplugged,1
123,,miss,1
124,,conversation,1
125,,w,1
126,,Optimism,1
127,,8am,1
128,,learn,1
129,,alternative,1
130,,availability,1
131,,zero,1
132,,knowledge,1
133,,proofs,1
134,,Tune,1
135,,zHxQwQfDGd,1
136,,GgakklmOTC,1
137,,ask,1
138,,tomorrow,1
139,,L2,1
140,,Unplugged,1
141,,annual,1
142,,Developer,1
143,,Report,1
144,,excited,1
145,,say,1
146,,ecosyste,1
147,,ericnakagawa,1
148,,Going,1
149,,developer,1
150,,report,1
151,,learned,1
152,,Build,1
153,,_,1
154,,minipay,1
155,,hackathon,1
156,,brought,1
157,,develo,1
158,,Stay,1
159,,tuned,1
160,,introduction,1
161,,part,1
162,,series,1
163,,next,1
164,,week,1
165,,check,1
166,,thread,1
167,,thesis,1
168,,well,1
169,,optimize,1
170,,cost,1
171,,maintaining,1
172,,decentralization,1
173,,emerged,1
174,,enabling,1
175,,scalable,1
176,,includes,1
177,,L1s,1
178,,CelestiaOrg,1
179,,AvailProject,1
180,,eigen_da,1
181,,restaking,1
182,,mechanism,1
183,,Part,1
184,,Data,1
185,,Availability,1
186,,Problem,1
187,,main,1
188,,bottleneck,1
189,,rollups,1
190,,facing,1
191,,Learn,1
192,,one,1
193,,core,1
194,,challenges,1
195,,designing,1
196,,second,1
197,,5lawiuZfwW,1
