,profiles,kw,count
0,ChrisJBakke,co,7
1,,latte,2
2,,tech,2
3,,wearing,2
4,,Community,2
5,,sorry,1
6,,insane,1
7,,costs,1
8,,simple,1
9,,delivered,1
10,,pohP2hf0fz,1
11,,Brought,1
12,,laundry,1
13,,robot,1
14,,fold,1
15,,today,1
16,,82YphVVN1g,1
17,,guy,1
18,,Thiel,1
19,,Fellowship,1
20,,hoodie,1
21,,a16z,1
22,,hat,1
23,,framed,1
24,,Steve,1
25,,Jobs,1
26,,poster,1
27,,office,1
28,,Man,1
29,,sad,1
30,,Americans,1
31,,idolize,1
32,,athletes,1
33,,totally,1
34,,understand,1
35,,guide,1
36,,American,1
37,,fashion,1
38,,Left,1
39,,assistant,1
40,,manager,1
41,,snowboard,1
42,,rental,1
43,,shop,1
44,,Vail,1
45,,First,1
46,,years,1
47,,call,1
48,,legend,1
49,,swap,1
50,,bindings,1
51,,seconds,1
52,,Right,1
53,,sold,1
54,,artisan,1
55,,oat,1
56,,milk,1
57,,Park,1
58,,Slope,1
59,,Judged,1
60,,tipped,1
61,,hfy7pHS9uT,1
62,,Major,1
63,,vibe,1
64,,shift,1
65,,EqQ0lZRfw1,1
66,,Tech,1
67,,happy,1
68,,hours,1
69,,7LFQg82q17,1
70,,Live,1
71,,view,1
72,,Notes,1
73,,team,1
74,,monitoring,1
75,,situation,1
76,,growing_daniel,1
77,,account,1
78,,tonight,1
79,,MFIQ49OJH0,1
80,,Ladies,1
81,,gentlemen,1
82,,achieved,1
83,,Triple,1
84,,Crown,1
85,,getting,1
86,,Noted,1
87,,times,1
88,,one,1
89,,thread,1
90,,TO9eXLMGyN,1
91,,Patagonia,1
92,,vest,1
93,,Uber,1
94,,driver,1
95,,work,1
96,,big,1
97,,fan,1
98,,Argentina,1
