,profiles,kw,count
0,Clipper_DEX,co,8
1,,Ahoy,6
2,,sail,4
3,,Clipper,4
4,,mateys,3
5,,treasure,3
6,,treasures,3
7,,seas,3
8,,content,3
9,,TEAM,2
10,,open,2
11,,Discord,2
12,,pirates,2
13,,know,2
14,,sophisticated,2
15,,decentralized,2
16,,price,2
17,,arbitrage,2
18,,LP,2
19,,hearties,2
20,,Good,2
21,,mornin',2
22,,ye,2
23,,May,2
24,,yer,2
25,,day,2
26,,filled,2
27,,Sail,2
28,,Set,2
29,,community,2
30,,Navigate,2
31,,crypto,2
32,,discover,2
33,,forget,1
34,,opportunity,1
35,,join,1
36,,OPERA,1
37,,ROYAL,1
38,,still,1
39,,Take,1
40,,action,1
41,,apply,1
42,,battle,1
43,,upon,1
44,,us,1
45,,ALPHA,1
46,,team,1
47,,sets,1
48,,100k,1
49,,lie,1
50,,Safe,1
51,,unite,1
52,,claim,1
53,,booty,1
54,,forge,1
55,,alliances,1
56,,plunder,1
57,,leaving,1
58,,others,1
59,,wake,1
60,,Let,1
61,,grand,1
62,,contest,1
63,,begin,1
64,,zAwV9wok2u,1
65,,uses,1
66,,market,1
67,,maker,1
68,,enhanced,1
69,,pricing,1
70,,information,1
71,,address,1
72,,Impermanent,1
73,,Loss,1
74,,utilizing,1
75,,token,1
76,,ratios,1
77,,oracles,1
78,,balance,1
79,,assets,1
80,,adapt,1
81,,without,1
82,,trades,1
83,,result,1
84,,Superior,1
85,,yields,1
86,,XdpOy2KSRo,1
87,,swashbucklers,1
88,,fair,1
89,,winds,1
90,,abundant,1
91,,hearty,1
92,,dose,1
93,,pirate,1
94,,mischief,1
95,,tELFllnDlr,1
96,,Read,1
97,,NouSK2lP0y,1
98,,boosts,1
99,,profits,1
100,,using,1
101,,innovative,1
102,,FMM,1
103,,architecture,1
104,,Unlike,1
105,,traditional,1
106,,DEXs,1
107,,sidesteps,1
108,,chain,1
109,,limitations,1
110,,ensuring,1
111,,formulas,1
112,,lower,1
113,,gas,1
114,,fees,1
115,,quicker,1
116,,transactions,1
117,,Unique,1
118,,solutions,1
119,,maximizing,1
120,,gains,1
121,,scallywags,1
122,,smooth,1
123,,cCMt0CeIyM,1
124,,Join,1
125,,Crew,1
126,,details,1
127,,please,1
128,,visit,1
129,,announcements,1
130,,channel,1
131,,See,1
132,,ya,1
133,,Comrades,1
134,,Exciting,1
135,,times,1
136,,ahead,1
137,,empower,1
138,,creation,1
139,,driven,1
140,,submissions,1
141,,fostering,1
142,,sea,1
143,,valuable,1
144,,insights,1
145,,Monthly,1
146,,PPC,1
147,,points,1
148,,USDT,1
149,,SAIL,1
150,,contributing,1
151,,useful,1
152,,qRvWSz5CRP,1
153,,spyglass,1
154,,hidden,1
155,,emerges,1
156,,Behold,1
157,,island,1
158,,OP,1
159,,tokens,1
160,,Clippertopia,1
161,,bounty,1
162,,make,1
163,,mark,1
164,,ClippersDex,1
165,,Seize,1
166,,share,1
167,,loot,1
168,,jeKJeXJ03Z,1
169,,Ready,1
170,,set,1
171,,waves,1
172,,trading,1
173,,smart,1
174,,swaps,1
175,,ymjDDQzN8P,1
