,profiles,kw,count
0,CogitoProtocol,co,9
1,,RWA,7
2,,SingularityNET,4
3,,fund,4
4,,tokenized,3
5,,insightful,3
6,,AI,3
7,,Manager,3
8,,RT,2
9,,CogitoProtocol,2
10,,management,2
11,,Artificial,2
12,,Intelligence,2
13,,sector,2
14,,Davos2024,2
15,,potential,2
16,,Inside,2
17,,CEO,2
18,,assets,2
19,,TFUND,2
20,,Investment,2
21,,working,1
22,,redefine,1
23,,intelligent,1
24,,deliver,1
25,,industry,1
26,,leading,1
27,,solutions,1
28,,key,1
29,,component,1
30,,part,1
31,,ecosystem,1
32,,committed,1
33,,pioneering,1
34,,optimizing,1
35,,returns,1
36,,user,1
37,,experience,1
38,,maintaining,1
39,,full,1
40,,compliance,1
41,,latest,1
42,,article,1
43,,cKBROFQcJH,1
44,,boasts,1
45,,lineup,1
46,,events,1
47,,stealing,1
48,,spotlight,1
49,,real,1
50,,time,1
51,,data,1
52,,analysis,1
53,,risk,1
54,,KYC,1
55,,enhancement,1
56,,promises,1
57,,array,1
58,,possible,1
59,,optimizations,1
60,,Neither,1
61,,QfyerLdtw7,1
62,,chance,1
63,,watch,1
64,,recent,1
65,,SingularityNET',1
66,,update,1
67,,listen,1
68,,clorisxchen,1
69,,shares,1
70,,insights,1
71,,progress,1
72,,upcoming,1
73,,developments,1
74,,team,1
75,,expansion,1
76,,Tokenization,1
77,,9IDF2QlOTH,1
78,,MoodysInvSvc,1
79,,underscores,1
80,,efficiency,1
81,,gains,1
82,,investing,1
83,,government,1
84,,bonds,1
85,,funds,1
86,,noting,1
87,,untapped,1
88,,market,1
89,,JWPLAD83FN,1
90,,attending,1
91,,invite,1
92,,join,1
93,,founder,1
94,,ZnidarNejc,1
95,,panel,1
96,,discussion,1
97,,Finance,1
98,,tokenization,1
99,,Promenade,1
100,,Davos,1
101,,Platz,1
102,,Switzerland,1
103,,Thursday,1
104,,CET,1
105,,Secure,1
106,,spot,1
107,,318HsOC2jJ,1
108,,OVWRl4vWoV,1
109,,January,1
110,,edition,1
111,,available,1
112,,featuring,1
113,,updates,1
114,,AGI,1
115,,amp,1
116,,decentralize,1
117,,Celebrating,1
118,,yet,1
119,,another,1
120,,significant,1
121,,milestone,1
122,,securing,1
123,,approval,1
124,,licensed,1
125,,Approved,1
126,,BVI,1
127,,Financial,1
128,,Services,1
129,,Commission,1
130,,overlooks,1
131,,trading,1
132,,activities,1
133,,0s69DxV9IP,1
134,,stock,1
135,,bond,1
136,,CUSIP,1
137,,one,1
138,,general,1
139,,ledger,1
140,,Larry,1
141,,Fink,1
142,,BlackRock,1
143,,take,1
144,,step,1
145,,Tokenizing,1
146,,fixed,1
147,,income,1
148,,provides,1
149,,safer,1
150,,investment,1
151,,option,1
152,,onchain,1
153,,capital,1
154,,much,1
155,,offers,1
156,,exposure,1
157,,rq1vq0MAij,1
