,profiles,kw,count
0,CoinSumption,Bitcoin,3
1,,ETF,3
2,,become,1
3,,second,1
4,,largest,1
5,,commodity,1
6,,United,1
7,,States,1
8,,surpassing,1
9,,silver,1
10,,position,1
11,,VanEck,1
12,,delisting,1
13,,Strategy,1
14,,due,1
15,,poor,1
16,,performance,1
17,,low,1
18,,investor,1
19,,interest,1
20,,following,1
21,,SEC,1
22,,approval,1
23,,spot,1
24,,week,1
25,,ago,1
26,,BREAKING,1
27,,Vivek,1
28,,Ramaswamy,1
29,,known,1
30,,support,1
31,,cryptocurrency,1
32,,withdrawn,1
33,,U,1
34,,presidential,1
35,,race,1
