,profiles,kw,count
0,CompleteDegen,prices,2
1,,see,2
2,,money,2
3,,looks,2
4,,bribes,2
5,,people,2
6,,votes,2
7,,cry,1
8,,opportunity,1
9,,accumulate,1
10,,farming,1
11,,anon,1
12,,understand,1
13,,stuff,1
14,,means,1
15,,let,1
16,,help,1
17,,Alex,1
18,,Mashinsky,1
19,,wife,1
20,,still,1
21,,spending,1
22,,left,1
23,,siphoned,1
24,,lawyers,1
25,,Sorry,1
26,,sure,1
27,,Franklin,1
28,,Templeton,1
29,,tweets,1
30,,make,1
31,,bullish,1
32,,bearish,1
33,,top,1
34,,signal,1
35,,mentioned,1
36,,wif,1
37,,seems,1
38,,Vitalik,1
39,,started,1
40,,selling,1
41,,shit,1
42,,coins,1
43,,projects,1
44,,sent,1
45,,wallet,1
46,,market,1
47,,nuked,1
48,,shortly,1
49,,Everyone,1
50,,talking,1
51,,LaDuc,1
52,,engagement,1
53,,farmer,1
54,,Sats,1
55,,theory,1
56,,Yet,1
57,,forgot,1
58,,actually,1
59,,paid,1
60,,course,1
61,,seller,1
62,,Automatically,1
63,,dismisses,1
64,,arguments,1
65,,Nothing,1
66,,go,1
67,,baited,1
68,,observing,1
69,,HERMES,1
70,,DEX,1
71,,METIS,1
72,,weeks,1
73,,really,1
74,,change,1
75,,even,1
76,,specific,1
77,,LP,1
78,,much,1
79,,better,1
80,,come,1
81,,point,1
82,,bribing,1
83,,impact,1
84,,willing,1
85,,lock,1
86,,co,1
87,,WAClPT5JEr,1
88,,lot,1
89,,CT,1
90,,need,1
91,,zoom,1
92,,relax,1
