,profiles,kw,count
0,ConcordiumNet,RT,16
1,,Concordium,12
2,,co,9
3,,ConcordiumNet,7
4,,AMA,7
5,,larsseier,5
6,,trading,5
7,,mpost_io,4
8,,amp,4
9,,Join,4
10,,insights,4
11,,aesirxio,4
12,,oracle,4
13,,XSpace,3
14,,Crypto,3
15,,BTCETF,3
16,,blockchain,3
17,,CET,3
18,,AesirX,3
19,,ETF,3
20,,Explore,3
21,,Web3,3
22,,miss,2
23,,3taOLnpaXS,2
24,,davidmygind,2
25,,founder,2
26,,January,2
27,,data,2
28,,Privacy,2
29,,PM,2
30,,Jan,2
31,,post,2
32,,BTC,2
33,,us,2
34,,Host,2
35,,Dive,2
36,,Discover,2
37,,finance,2
38,,peer,2
39,,innovation,2
40,,UmbNetwork,2
41,,first,2
42,,Integration,2
43,,world,2
44,,Edubuk,2
45,,VikingTechGuy,2
46,,Innovation,2
47,,Product,2
48,,digitalsocialid,1
49,,wants,1
50,,start,1
51,,new,1
52,,year,1
53,,Together,1
54,,launching,1
55,,second,1
56,,ZealySprint,1
57,,yesterday,1
58,,Catch,1
59,,valuable,1
60,,insight,1
61,,right,1
62,,Trading,1
63,,ex,1
64,,CEO,1
65,,Saxo,1
66,,Bank,1
67,,shares,1
68,,decades,1
69,,wisdom,1
70,,bullish,1
71,,view,1
72,,Spotlight,1
73,,Airdrop,1
74,,Reminder,1
75,,x,1
76,,Bit2Me_Global,1
77,,Exclusive,1
78,,RobinGonzalezK3,1
79,,Bit2Me,1
80,,Uncover,1
81,,questions,1
82,,answered,1
83,,22nd,1
84,,4PM,1
85,,Attend,1
86,,Expert,1
87,,Engage,1
88,,Protect,1
89,,user,1
90,,Scanner,1
91,,Scans,1
92,,cookie,1
93,,compliance,1
94,,retention,1
95,,marketing,1
96,,practices,1
97,,Pr,1
98,,NibrasStiebar,1
99,,Read,1
100,,thought,1
101,,EU,1
102,,digital,1
103,,IDs,1
104,,SSID,1
105,,digitalidentity,1
106,,web3,1
107,,CosjgXD331,1
108,,teW2iiT6cq,1
109,,hchfischer,1
110,,surrounding,1
111,,ecosystem,1
112,,becoming,1
113,,competitive,1
114,,builder,1
115,,friendly,1
116,,facilitating,1
117,,much,1
118,,faster,1
119,,proj,1
120,,Happening,1
121,,TODAY,1
122,,exclusive,1
123,,expert,1
124,,approval,1
125,,LiveAMA,1
126,,CryptoMasterCom,1
127,,next,1
128,,𝕏,1
129,,Space,1
130,,Enables,1
131,,creation,1
132,,regulation,1
133,,ready,1
134,,dApps,1
135,,CryptoClash1,1
136,,opportunity,1
137,,join,1
138,,2nd,1
139,,TwitterSpaceAMA,1
140,,Beyond,1
141,,Hype,1
142,,Investi,1
143,,New,1
144,,Post,1
145,,Market,1
146,,iamVictorDey,1
147,,Co,1
148,,CGVFOF,1
149,,followin_io,1
150,,Speakers,1
151,,sunshinelu24,1
152,,vechain,1
153,,strategies,1
154,,market,1
155,,J2BK2ccCYq,1
156,,DeFi,1
157,,latest,1
158,,infographic,1
159,,decentralized,1
160,,changing,1
161,,game,1
162,,financial,1
163,,transactions,1
164,,middlemen,1
165,,Blockchain,1
166,,ePaHPczeBs,1
167,,Umbrella,1
168,,delighted,1
169,,announce,1
170,,today,1
171,,provider,1
172,,deploy,1
173,,ConcordiumNe,1
174,,future,1
175,,connectivity,1
176,,vital,1
177,,link,1
178,,real,1
179,,walk,1
180,,mean,1
181,,yPQlPR5dub,1
182,,Want,1
183,,learn,1
184,,partnership,1
185,,details,1
186,,qFDIvZlcsd,1
187,,Businesses,1
188,,professional,1
189,,relationships,1
190,,built,1
191,,trust,1
192,,choosing,1
193,,integrate,1
194,,empowering,1
195,,community,1
196,,graduates,1
197,,bcfounders,1
198,,Applications,1
199,,open,1
200,,Accelerator,1
201,,Programs,1
202,,put,1
203,,together,1
204,,overview,1
205,,contains,1
206,,everything,1
207,,yo,1
208,,Transactions,1
209,,Milestone,1
210,,Next,1
211,,1M,1
212,,PrivacyMatters,1
213,,Tra,1
214,,Remember,1
215,,Long,1
216,,term,1
217,,play,1
218,,ETFs,1
219,,Pensions,1
220,,money,1
221,,managers,1
222,,access,1
223,,slowly,1
224,,build,1
225,,important,1
226,,kJWLt2EqOn,1
227,,Staking,1
228,,Percentage,1
229,,less,1
230,,AESIRX,1
231,,left,1
232,,circulation,1
233,,guess,1
234,,Daily,1
235,,Reward,1
236,,Program,1
237,,AES,1
238,,Exciting,1
239,,News,1
240,,Alert,1
241,,giving,1
242,,away,1
243,,FREE,1
244,,NFTs,1
245,,Tokens,1
246,,among,1
247,,FIRST,1
248,,experience,1
249,,th,1
250,,Provenancetags,1
251,,Advancing,1
252,,Chip,1
253,,Technology,1
254,,Superior,1
255,,Security,1
256,,Provenance,1
257,,Tags,1
258,,forefront,1
259,,secur,1
