,profiles,kw,count
0,ConsortiumKey,Phoebe,9
1,,win,7
2,,RT,6
3,,ConsortiumKey,4
4,,bot,4
5,,Discord,4
6,,Face,3
7,,days,3
8,,volume,3
9,,Elite,3
10,,free,3
11,,Vested,3
12,,Key,3
13,,Thrilled,2
14,,announce,2
15,,collaboration,2
16,,discord,2
17,,amp,2
18,,co,2
19,,stuff,2
20,,Join,2
21,,users,2
22,,trade,2
23,,next,2
24,,Month,2
25,,swap,2
26,,ApexAces_,1
27,,bring,1
28,,amazing,1
29,,server,1
30,,LINK,1
31,,TerrapinGenesis,1
32,,GM,1
33,,unveil,1
34,,members,1
35,,wi,1
36,,Want,1
37,,Well,1
38,,guys,1
39,,track,1
40,,current,1
41,,standings,1
42,,opt,1
43,,start,1
44,,using,1
45,,left,1
46,,Top,1
47,,highest,1
48,,traded,1
49,,PHStZ8vrLb,1
50,,KeyedIn_,1
51,,Wanna,1
52,,see,1
53,,way,1
54,,consortium,1
55,,membership,1
56,,competition,1
57,,heating,1
58,,go,1
59,,AlphaWolvesDAO,1
60,,Really,1
61,,excited,1
62,,partnered,1
63,,consortiumkey,1
64,,alerts,1
65,,swapper,1
66,,Head,1
67,,announcements,1
68,,learn,1
69,,started,1
70,,9mHozUSY05,1
71,,Freeoebe,1
72,,anyone,1
73,,use,1
74,,advanced,1
75,,world,1
76,,Bo,1
