,profiles,kw,count
0,CrossChainAlex,RT,7
1,,XALPHA,5
2,,run,4
3,,new,3
4,,amp,3
5,,ETH,3
6,,add,3
7,,good,3
8,,lot,3
9,,VC,3
10,,market,2
11,,projects,2
12,,EricCryptoman,2
13,,bag,2
14,,BTC,2
15,,full,2
16,,TheHerculesDEX,2
17,,protocol,2
18,,Dev,2
19,,better,2
20,,time,2
21,,working,2
22,,hard,2
23,,First,2
24,,came,2
25,,INSP,2
26,,MC,2
27,,undervalued,2
28,,launch,2
29,,METIS,2
30,,GM,2
31,,term,2
32,,well,2
33,,Gonna,2
34,,resdegen,1
35,,saturation,1
36,,ongoing,1
37,,flooded,1
38,,emissions,1
39,,copycats,1
40,,chains,1
41,,old,1
42,,Dropped,1
43,,BlackRockFi,1
44,,staked,1
45,,Solid,1
46,,ponzinomics,1
47,,ponzis,1
48,,flying,1
49,,atm,1
50,,Liquidit,1
51,,maximize,1
52,,experience,1
53,,learn,1
54,,Welcome,1
55,,Chiron,1
56,,legendary,1
57,,tutor,1
58,,cooking,1
59,,Larry,1
60,,Fink,1
61,,watch,1
62,,BlackRock,1
63,,town,1
64,,Got,1
65,,Smart,1
66,,Interesting,1
67,,mechanics,1
68,,Definitely,1
69,,worth,1
70,,checking,1
71,,deeper,1
72,,dive,1
73,,vectorreserve,1
74,,LSTs,1
75,,LRTs,1
76,,ready,1
77,,LPDs,1
78,,Vector,1
79,,Reserve,1
80,,introducing,1
81,,vETH,1
82,,DeFi,1
83,,Liquidi,1
84,,eigenlayer,1
85,,Probably,1
86,,something,1
87,,250m,1
88,,7m,1
89,,imo,1
90,,XAlphaAI,1
91,,already,1
92,,comparable,1
93,,even,1
94,,product,1
95,,shipping,1
96,,features,1
97,,faster,1
98,,Whether,1
99,,sure,1
100,,definitely,1
101,,Expecting,1
102,,PAAL,1
103,,great,1
104,,start,1
105,,week,1
106,,post,1
107,,big,1
108,,holding,1
109,,higher,1
110,,New,1
111,,ATHs,1
112,,MAIA,1
113,,TETHYS,1
114,,Q1,1
115,,grants,1
116,,sequencer,1
117,,terms,1
118,,memes,1
119,,VMUM,1
120,,Metis,1
121,,moment,1
122,,looks,1
123,,wants,1
124,,teleport,1
125,,zone,1
126,,networking,1
127,,manifesting,1
128,,alpha,1
129,,bags,1
130,,making,1
131,,gains,1
132,,LFG,1
133,,Bounced,1
134,,nicely,1
135,,jeet,1
136,,whale,1
137,,capitulation,1
138,,Highly,1
139,,suggest,1
140,,actually,1
141,,playing,1
142,,around,1
143,,platform,1
144,,dora_shitcoins,1
145,,day,1
146,,alive,1
147,,announced,1
148,,aka,1
149,,main,1
150,,utility,1
151,,available,1
152,,Swaps,1
153,,Exchanges,1
154,,Stop,1
155,,crying,1
156,,chop,1
157,,alts,1
158,,chain,1
159,,follow,1
160,,Short,1
161,,turn,1
162,,printers,1
163,,back,1
164,,favourite,1
165,,Mid,1
166,,long,1
167,,dips,1
168,,heading,1
169,,bull,1
170,,Currently,1
171,,pitching,1
172,,Going,1
173,,ones,1
174,,value,1
175,,nothing,1
176,,much,1
177,,offer,1
178,,bar,1
179,,little,1
180,,money,1
181,,Tbh,1
182,,write,1
183,,bigger,1
184,,angel,1
185,,cheques,1
186,,many,1
187,,connect,1
188,,builders,1
189,,nearly,1
190,,CEX,1
191,,maker,1
192,,Hit,1
193,,DMs,1
194,,Dry,1
195,,Jan,1
196,,going,1
197,,early,1
198,,morning,1
199,,gym,1
200,,sesh,1
201,,kick,1
202,,weekend,1
203,,Lean,1
204,,hungry,1
205,,focused,1
206,,print,1
207,,year,1
208,,importantly,1
209,,fun,1
210,,along,1
211,,way,1
