,profiles,kw,count
0,CryptoDesh01,co,15
1,,RT,8
2,,Bitcoin,8
3,,BVMnetwork,5
4,,going,4
5,,money,4
6,,VanJl968NZ,3
7,,L2,3
8,,BVM,3
9,,modular,3
10,,TIA,2
11,,kick,2
12,,making,2
13,,BITCOIN,2
14,,chain,2
15,,allowlist,2
16,,clicks,2
17,,BTC,2
18,,launch,2
19,,future,2
20,,blockchain,2
21,,starting,2
22,,soon,2
23,,babytoly,2
24,,SUI,2
25,,Ok,1
26,,know,1
27,,im,1
28,,staker,1
29,,far,1
30,,moonbirdstillat,1
31,,dR1uFGAIJg,1
32,,LilSketchy2,1
33,,ladies,1
34,,MY2WLBk8FK,1
35,,joined,1
36,,AlphaOnBitcoin,1
37,,getting,1
38,,Chat,1
39,,Trade,1
40,,Play,1
41,,prompts,1
42,,app,1
43,,easy,1
44,,exciting,1
45,,use,1
46,,happy,1
47,,hook,1
48,,alpha69PFWV,1
49,,yn2vUNQoqy,1
50,,made,1
51,,G8Rg3ElWPv,1
52,,GamingOnBitcoin,1
53,,ARCADE,1
54,,TESTNET,1
55,,LIVE,1
56,,Enjoy,1
57,,fully,1
58,,gaming,1
59,,experience,1
60,,powered,1
61,,GIVEAWAY,1
62,,INSCRIPTION,1
63,,crossed,1
64,,people,1
65,,Thank,1
66,,celebrate,1
67,,BUILD,1
68,,WHATEVER,1
69,,maxi,1
70,,holding,1
71,,excited,1
72,,see,1
73,,Blockchains,1
74,,arrive,1
75,,Powered,1
76,,deploy,1
77,,CelestiaOrg,1
78,,Optimism,1
79,,spent,1
80,,transaction,1
81,,fees,1
82,,Right,1
83,,wait,1
84,,much,1
85,,Welcome,1
86,,Virtual,1
87,,Machine,1
88,,first,1
89,,metaprotocol,1
90,,lets,1
91,,protocol,1
92,,public,1
93,,sale,1
94,,s7ydxg,1
95,,Join,1
96,,5THIF3whmg,1
97,,make,1
98,,ETH,1
99,,ibUw1Hf3EG,1
100,,hard,1
101,,gRBhdVNpEP,1
102,,bNbvEJXOYq,1
103,,cookn,1
104,,SAVM,1
105,,02radO7xme,1
106,,magnet,1
107,,prosperity,1
108,,drawn,1
109,,comes,1
110,,expected,1
111,,unexpected,1
112,,ways,1
113,,worthy,1
114,,kcZySZlT36,1
115,,memesonbitcoin,1
116,,First,1
117,,TOKEN2022,1
118,,SPL,1
119,,coming,1
120,,hTkTNcWGgm,1
121,,VaporProtocol,1
122,,cute,1
123,,water,1
124,,type,1
125,,pokemon,1
126,,top,1
127,,onchain,1
128,,trading,1
129,,pair,1
130,,today,1
131,,Sui,1
132,,JlsG5ir9jH,1
133,,sonatanetwork,1
134,,Sonata,1
135,,Network,1
136,,one,1
137,,unique,1
138,,niche,1
139,,specific,1
140,,platforms,1
141,,DeFi,1
142,,aim,1
143,,redefine,1
144,,means,1
145,,partici,1
146,,HoneyBadgersBtc,1
147,,received,1
148,,message,1
149,,leocoinstx,1
150,,Badger,1
151,,Holders,1
152,,receive,1
153,,surprise,1
154,,info,1
155,,comming,1
156,,ht,1
157,,meekdonald_,1
158,,FOMO,1
159,,compiled,1
160,,list,1
161,,projects,1
162,,need,1
163,,keep,1
164,,eye,1
165,,don',1
