,profiles,kw,count
0,CryptoSnooper_,Airdrop,14
1,,co,7
2,,Airdrops,5
3,,CryptoSnooper_,4
4,,one,4
5,,RT,4
6,,hunting,3
7,,Follow,3
8,,Please,3
9,,support,3
10,,retweeting,3
11,,liking,3
12,,first,3
13,,tweet,3
14,,campaign,3
15,,swap,3
16,,Snooping,3
17,,way,3
18,,time,3
19,,validator,3
20,,Keplr,3
21,,click,3
22,,high,3
23,,Linea,2
24,,transaction,2
25,,Rango,2
26,,Exchange,2
27,,Loyalty,2
28,,Three,2
29,,single,2
30,,People,2
31,,much,2
32,,opportunity,2
33,,Stake,2
34,,Dashboard,2
35,,Claim,2
36,,reward,2
37,,loyalty,2
38,,staking,2
39,,Check,2
40,,list,2
41,,potential,2
42,,Remember,2
43,,success,2
44,,hinges,2
45,,thing,2
46,,platform,2
47,,HUNGRY,1
48,,coming,1
49,,bull,1
50,,excuses,1
51,,Put,1
52,,work,1
53,,ToeWJ6m8WD,1
54,,Hunt,1
55,,Things,1
56,,Even,1
57,,doubting,1
58,,whether,1
59,,protocol,1
60,,Base,1
61,,etc,1
62,,major,1
63,,cover,1
64,,costs,1
65,,activities,1
66,,still,1
67,,yield,1
68,,substantial,1
69,,profit,1
70,,pay,1
71,,attention,1
72,,asset,1
73,,management,1
74,,firm,1
75,,managing,1
76,,trillion,1
77,,something,1
78,,say,1
79,,crypto,1
80,,JIE5kIlj7g,1
81,,running,1
82,,found,1
83,,bottom,1
84,,right,1
85,,page,1
86,,offers,1
87,,cash,1
88,,prize,1
89,,includes,1
90,,zkSync,1
91,,Arbitrum,1
92,,zkEVM,1
93,,Participating,1
94,,contribute,1
95,,towards,1
96,,gpcwuANkGU,1
97,,One,1
98,,performing,1
99,,crosschain,1
100,,farm,1
101,,different,1
102,,recently,1
103,,launched,1
104,,Campaign,1
105,,Cost,1
106,,Per,1
107,,approximately,1
108,,getting,1
109,,really,1
110,,nervous,1
111,,DMs,1
112,,legit,1
113,,airdrop,1
114,,farming,1
115,,bots,1
116,,worried,1
117,,another,1
118,,spending,1
119,,wayyyyy,1
120,,Snooper,1
121,,leak,1
122,,Alpha,1
123,,automate,1
124,,free,1
125,,ylpRoBwPzx,1
126,,spend,1
127,,week,1
128,,Advice,1
129,,Stop,1
130,,planning,1
131,,many,1
132,,good,1
133,,opportunities,1
134,,plan,1
135,,explore,1
136,,miss,1
137,,everything,1
138,,Seize,1
139,,moment,1
140,,execute,1
141,,reap,1
142,,rewards,1
143,,Search,1
144,,dashboard,1
145,,name,1
146,,next,1
147,,dialog,1
148,,Enter,1
149,,desired,1
150,,amount,1
151,,ilefpNkiYy,1
152,,Go,1
153,,Click,1
154,,Claimable,1
155,,Staking,1
156,,Rewards,1
157,,popup,1
158,,select,1
159,,og5dhBUpyw,1
160,,Find,1
161,,less,1
162,,popular,1
163,,proven,1
164,,track,1
165,,record,1
166,,performance,1
167,,unsure,1
168,,choose,1
169,,refer,1
170,,resource,1
171,,great,1
172,,better,1
173,,demonstrate,1
174,,claiming,1
175,,restaking,1
176,,Celestia,1
177,,Injective,1
178,,Cosmos,1
179,,tokens,1
180,,guide,1
181,,claim,1
182,,restake,1
183,,using,1
184,,consist,1
185,,theapeterminal,1
186,,open,1
187,,access,1
188,,Ape,1
189,,Terminal,1
190,,taken,1
191,,test,1
192,,new,1
193,,allocation,1
194,,sizes,1
195,,WawKasem,1
196,,Gm,1
197,,First,1
198,,huge,1
199,,thanks,1
200,,0xSherv,1
201,,making,1
202,,possible,1
203,,Offering,1
204,,2x,1
205,,genuinely,1
206,,need,1
207,,10n8BRC20,1
208,,10n8,1
209,,LONG,1
210,,PhoenixTrade,1
211,,onchain,1
212,,orderbook,1
213,,Solana,1
214,,Actions,1
215,,Place,1
216,,limit,1
217,,orders,1
218,,Execute,1
219,,market,1
220,,buys,1
221,,consistency,1
222,,volume,1
223,,Explore,1
224,,gE3CL5S68i,1
