,profiles,kw,count
0,DKReignmakers,co,18
1,,Reignmakers,8
2,,RT,8
3,,UFC,7
4,,Break,5
5,,DKReignmakers,5
6,,amp,5
7,,miss,4
8,,𝗙𝗥𝗘𝗘,4
9,,DraftKings,3
10,,Portfolio,3
11,,Cards,3
12,,updates,3
13,,𝗟𝗶𝘀𝘁𝗶𝗻𝗴𝘀,3
14,,𝗠𝗮𝗻𝗮𝗴𝗲𝗿,3
15,,playoff,3
16,,Pack,3
17,,Football,3
18,,Round,3
19,,prizes,3
20,,Playoff,3
21,,𝗕𝗜𝗚,3
22,,chance,3
23,,Single,2
24,,Fighter,2
25,,tomorrow,2
26,,hours,2
27,,weekend,2
28,,Contests,2
29,,𝗡𝗘𝗪,2
30,,𝗙𝗘𝗔𝗧𝗨𝗥𝗘𝗦,2
31,,𝗔𝗟𝗘𝗥𝗧,2
32,,Introducing,2
33,,latest,2
34,,𝗟𝗶𝘀𝘁,2
35,,𝗩𝗶𝗲𝘄,2
36,,Snag,2
37,,Booster,2
38,,ready,2
39,,ends,2
40,,View,2
41,,pack,2
42,,spot,2
43,,enzYYjLAN2,2
44,,enter,2
45,,𝗧𝗢𝗠𝗢𝗥𝗥𝗢𝗪,2
46,,𝗡𝗢𝗪,2
47,,Access,2
48,,ET,2
49,,today,2
50,,PGATOUR,2
51,,Keegan_Bradley,2
52,,Another,2
53,,𝗣𝗔𝗖𝗞,2
54,,snag,2
55,,Starter,2
56,,start,2
57,,competing,2
58,,Yes,2
59,,Documents,1
60,,Things,1
61,,Love,1
62,,See,1
63,,HJcQu8kziv,1
64,,hyped,1
65,,fights,1
66,,UFC297,1
67,,away,1
68,,Check,1
69,,upcoming,1
70,,d1F76TnxP5,1
71,,prepared,1
72,,make,1
73,,run,1
74,,roster,1
75,,compete,1
76,,contests,1
77,,eight,1
78,,teams,1
79,,remain,1
80,,season,1
81,,Upcoming,1
82,,Featured,1
83,,86FvUsMiSG,1
84,,committed,1
85,,building,1
86,,seamless,1
87,,player,1
88,,experience,1
89,,beginning,1
90,,Head,1
91,,page,1
92,,test,1
93,,new,1
94,,𝗛𝗶𝗴𝗵𝗹𝗶𝗴𝗵𝘁𝘀,1
95,,𝗦𝘁𝗿𝗲𝗮𝗺𝗹𝗶𝗻𝗲𝗱,1
96,,𝗘𝘅𝗽𝗲𝗿𝗶𝗲𝗻𝗰𝗲,1
97,,Manage,1
98,,portfolio,1
99,,way,1
100,,Choose,1
101,,List,1
102,,Tile,1
103,,suit,1
104,,preferences,1
105,,Flexibility,1
106,,finest,1
107,,𝗠𝗮𝗴𝗶𝗰,1
108,,Effortlessly,1
109,,select,1
110,,edit,1
111,,eSeBZvaTl3,1
112,,Closing,1
113,,week,1
114,,fresh,1
115,,set,1
116,,breaks,1
117,,fXpHKYfVDL,1
118,,left,1
119,,DthAfst4qd,1
120,,gear,1
121,,let,1
122,,recap,1
123,,scoring,1
124,,leaderboard,1
125,,Top,1
126,,Scorers,1
127,,21weS6DPDf,1
128,,joined,1
129,,Discord,1
130,,DFS,1
131,,Contest,1
132,,yet,1
133,,Sign,1
134,,ups,1
135,,close,1
136,,Packs,1
137,,𝗔𝗩𝗔𝗜𝗟𝗔𝗕𝗟𝗘,1
138,,Prepare,1
139,,squad,1
140,,weekends,1
141,,games,1
142,,Preferred,1
143,,Public,1
144,,6PM,1
145,,JO710jkhNo,1
146,,rhMdu1mmAf,1
147,,Giveaway,1
148,,got,1
149,,Walkout,1
150,,Set,1
151,,rips,1
152,,coming,1
153,,4PM,1
154,,Secure,1
155,,forget,1
156,,share,1
157,,best,1
158,,pulls,1
159,,us,1
160,,Tickets,1
161,,jtYZcE72BN,1
162,,solo,1
163,,lead,1
164,,moves,1
165,,three,1
166,,play,1
167,,SonyOpenHawaii,1
168,,hluFBihfSJ,1
169,,day,1
170,,doubleheader,1
171,,Lock,1
172,,lineups,1
173,,VbxOPEA7rg,1
174,,DKSportsbook,1
175,,WAKE,1
176,,NFL,1
177,,PLAYOFF,1
178,,GAMES,1
179,,WATCH,1
180,,TODAY,1
181,,9rgLAIbamF,1
182,,Making,1
183,,Moving,1
184,,Day,1
185,,Co,1
186,,leader,1
187,,search,1
188,,seventh,1
189,,PGA,1
190,,TOUR,1
191,,title,1
192,,SonyOpenHawai,1
193,,playo,1
194,,dougk517,1
195,,Thanks,1
196,,kvmEHRqr5O,1
197,,MrCHEEZCAKE,1
198,,little,1
199,,buddy,1
200,,D3ZIA56ypK,1
201,,playoffs,1
202,,gm,1
203,,football,1
204,,MMAUnloaded,1
205,,Tomorrows,1
206,,fight,1
207,,mma,1
208,,VJiqmhc5zM,1
