,profiles,kw,count
0,DeFiSaver,DeFi,5
1,,Morpho,4
2,,Blue,4
3,,co,4
4,,Saver,4
5,,CurveUSD,4
6,,us,3
7,,DFS,3
8,,anything,2
9,,features,2
10,,free,2
11,,zKWnA7DlW0,2
12,,case,2
13,,already,2
14,,ETH,2
15,,details,2
16,,LIVE,2
17,,new,2
18,,lending,2
19,,today,2
20,,read,2
21,,One,2
22,,Got,1
23,,check,1
24,,support,1
25,,upcoming,1
26,,maybe,1
27,,want,1
28,,discuss,1
29,,general,1
30,,trends,1
31,,events,1
32,,Feel,1
33,,join,1
34,,discord,1
35,,P,1
36,,missed,1
37,,live,1
38,,last,1
39,,week,1
40,,sub,1
41,,app,1
42,,dedicated,1
43,,exclusively,1
44,,leveraged,1
45,,staking,1
46,,positions,1
47,,find,1
48,,promised,1
49,,delivered,1
50,,MorphoLabs,1
51,,immutable,1
52,,primitive,1
53,,offering,1
54,,efficient,1
55,,markets,1
56,,terms,1
57,,LTVs,1
58,,expected,1
59,,rates,1
60,,Check,1
61,,info,1
62,,uvz3j0QfG0,1
63,,Superchain,1
64,,allowed,1
65,,drastically,1
66,,speed,1
67,,updates,1
68,,Explore,1
69,,portals,1
70,,Maker,1
71,,Liquity,1
72,,amp,1
73,,C,1
74,,Bonds,1
75,,utilising,1
76,,infrastructure,1
77,,felt,1
78,,definitive,1
79,,step,1
80,,using,1
81,,traditional,1
82,,RPCs,1
83,,projects,1
84,,Kudos,1
85,,team,1
86,,great,1
87,,product,1
88,,always,1
89,,feel,1
90,,reach,1
91,,Discord,1
92,,questions,1
93,,feedback,1
94,,may,1
95,,regarding,1
96,,Automation,1
97,,related,1
98,,See,1
99,,Finally,1
100,,click,1
101,,migrations,1
102,,existing,1
103,,position,1
104,,elsewhere,1
105,,wish,1
106,,use,1
107,,advanced,1
108,,available,1
109,,including,1
110,,automated,1
111,,leverage,1
112,,management,1
113,,migrate,1
114,,Smart,1
115,,Wallet,1
116,,transaction,1
117,,thrilled,1
118,,share,1
119,,first,1
120,,automation,1
121,,option,1
122,,Automated,1
123,,Leverage,1
124,,Management,1
125,,users',1
126,,disposal,1
127,,alongside,1
128,,CurveFinance,1
129,,novel,1
130,,liquidating,1
131,,AMM,1
132,,algorithm,1
133,,set,1
134,,oUeh9s5YiE,1
