,profiles,kw,count
0,DefiIgnas,co,9
1,,RT,7
2,,Eigenlayer,7
3,,AltLayer,6
4,,SUI,6
5,,token,5
6,,DeFi,5
7,,January,5
8,,ETH,5
9,,BTC,4
10,,dumping,4
11,,DefiIgnas,4
12,,AVS,4
13,,restaking,4
14,,open,4
15,,time,4
16,,know,3
17,,Grayscale,3
18,,NFTs,3
19,,Bitcoin,3
20,,alt_layer,3
21,,launch,3
22,,protocols,3
23,,airdr0p,3
24,,market,3
25,,TradFi,3
26,,deposit,3
27,,bridge,3
28,,think,2
29,,Ethereum,2
30,,place,2
31,,top,2
32,,kicking,2
33,,first,2
34,,announced,2
35,,ALT,2
36,,things,2
37,,got,2
38,,probably,2
39,,updated,2
40,,well,2
41,,Binance,2
42,,NFT,2
43,,holders,2
44,,blog,2
45,,post,2
46,,hyped,2
47,,heard,2
48,,really,2
49,,Check,2
50,,ETF,2
51,,table,2
52,,deposits,2
53,,29th,2
54,,plan,2
55,,people,2
56,,wait,2
57,,without,2
58,,farm,2
59,,Protocol,2
60,,tokens,2
61,,much,2
62,,better,2
63,,expected,2
64,,multiple,2
65,,wallets,2
66,,dApp,2
67,,nice,2
68,,UI,2
69,,UX,2
70,,already,2
71,,main,2
72,,primitives,2
73,,LST,2
74,,big,2
75,,going,2
76,,points,2
77,,secure,2
78,,Altcoins,2
79,,might,1
80,,stop,1
81,,trades,1
82,,done,1
83,,info,1
84,,worked,1
85,,Vldq0JULWI,1
86,,GBTC,1
87,,AUM,1
88,,Widowmaker,1
89,,Trades,1
90,,used,1
91,,tier,1
92,,perspective,1
93,,changing,1
94,,started,1
95,,collect,1
96,,chains,1
97,,Yep,1
98,,bag,1
99,,bias,1
100,,setting,1
101,,Ordinal,1
102,,become,1
103,,destination,1
104,,exclusive,1
105,,collections,1
106,,thanks,1
107,,Vt4D45lDF0,1
108,,airdr0ps,1
109,,Exciting,1
110,,ThorHartvigsen,1
111,,DefiIgnas',1
112,,content,1
113,,weeds,1
114,,best,1
115,,account,1
116,,follow,1
117,,want,1
118,,stay,1
119,,whole,1
120,,Subscribe,1
121,,newsletter,1
122,,personally,1
123,,read,1
124,,single,1
125,,article,1
126,,TL,1
127,,DR,1
128,,TGE,1
129,,Venue,1
130,,Launchpool,1
131,,Staking,1
132,,ATL,1
133,,Starts,1
134,,BNB,1
135,,FDUSD,1
136,,Airdrop,1
137,,Early,1
138,,Supporters,1
139,,Eligible,1
140,,OG,1
141,,Badge,1
142,,Oh,1
143,,Ottie,1
144,,Altitude,1
145,,campaign,1
146,,BT2Fr8mrp6,1
147,,covered,1
148,,yesterday,1
149,,BRZ6I3WBhk,1
150,,restakers,1
151,,TIA,1
152,,stakers,1
153,,listing,1
154,,days,1
155,,simple,1
156,,explanation,1
157,,z6DzDEc5Ga,1
158,,Degen,1
159,,playbook,1
160,,bull,1
161,,added,1
162,,ecosystem,1
163,,date,1
164,,information,1
165,,love,1
166,,exhibiting,1
167,,uncorrelated,1
168,,nature,1
169,,assets,1
170,,Imagine,1
171,,confusion,1
172,,looking,1
173,,Source,1
174,,CryptoHayes,1
175,,EiDR6wUxr2,1
176,,ca,1
177,,hmalviya9,1
178,,People,1
179,,sleeping,1
180,,Giant,1
181,,billion,1
182,,TVL,1
183,,high,1
184,,pay,1
185,,attention,1
186,,fundam,1
187,,queue,1
188,,Native,1
189,,EigenPods,1
190,,EIGEN,1
191,,Liquid,1
192,,Restaked,1
193,,ZRa3iDEiIZ,1
194,,projects,1
195,,Read,1
196,,latest,1
197,,DgNwqhCKlB,1
198,,built,1
199,,play,1
200,,Many,1
201,,Consider,1
202,,actions,1
203,,Three,1
204,,available,1
205,,Stake,1
206,,haSUI,1
207,,answer,1
208,,founder,1
209,,q8lKdpUeSr,1
210,,Seems,1
211,,known,1
212,,unknown,1
213,,terms,1
214,,potential,1
215,,risks,1
216,,New,1
217,,crazy,1
218,,use,1
219,,cases,1
220,,come,1
221,,permissionless,1
222,,amazingly,1
223,,learn,1
224,,everywhere,1
225,,understand,1
226,,correctly,1
227,,Arbitrum,1
228,,Optimism,1
229,,offer,1
230,,immediate,1
231,,bridging,1
232,,back,1
233,,long,1
234,,enough,1
235,,staked,1
236,,Yes,1
237,,3rd,1
238,,party,1
239,,missing,1
240,,something,1
241,,Cryptocito,1
242,,see,1
243,,Restaking,1
244,,Narrative,1
245,,reaches,1
246,,max,1
247,,hype,1
248,,around,1
249,,EigenLayer,1
250,,drops,1
251,,C,1
252,,PinkBrains_io,1
253,,Dencun,1
254,,Upgrade,1
255,,EIP,1
256,,go,1
257,,live,1
258,,Goerli,1
259,,testnet,1
260,,Spot,1
261,,ETFs,1
262,,approve,1
263,,half,1
264,,kidding,1
265,,idea,1
266,,short,1
267,,term,1
268,,NFA,1
269,,still,1
270,,many,1
271,,great,1
272,,yield,1
273,,opportunities,1
274,,found,1
275,,stack,1
276,,even,1
277,,dump,1
278,,store,1
279,,value,1
280,,right,1
281,,Mt,1
282,,GOX,1
283,,Celsius,1
284,,start,1
285,,safe,1
286,,Short,1
287,,guide,1
288,,SatoshiVM,1
289,,Testnet,1
290,,bullish,1
291,,BTCfi,1
292,,new,1
293,,shiny,1
294,,decided,1
295,,try,1
