,profiles,kw,count
0,DefiLlama,co,25
1,,tracking,18
2,,RT,6
3,,DLNewsInfo,6
4,,protocol,6
5,,crypto,5
6,,Dashboard,5
7,,users,5
8,,decentralized,4
9,,asset,4
10,,token,4
11,,Volume,3
12,,synthetic,3
13,,leveraged,3
14,,new,3
15,,assets,3
16,,USDL,3
17,,V2,3
18,,mint,3
19,,stablecoin,3
20,,arbitrum,3
21,,liquidity,3
22,,automated,3
23,,fully,3
24,,RIF,3
25,,Korea,2
26,,Bitcoin,2
27,,ETFs,2
28,,move,2
29,,ICLighthouse,2
30,,spot,2
31,,Sudo,2
32,,trading,2
33,,platform,2
34,,chain,2
35,,enables,2
36,,high,2
37,,blockchain,2
38,,already,2
39,,Correlation,2
40,,amp,2
41,,lend,2
42,,borrow,2
43,,liquidloansio,2
44,,coin,2
45,,minted,2
46,,collateral,2
47,,squad_swap,2
48,,DEX,2
49,,yield,2
50,,ICDex,2
51,,AMM,2
52,,hexaswap,2
53,,exchange,2
54,,Chain,2
55,,offers,2
56,,South,1
57,,Singapore,1
58,,Thailand,1
59,,blocking,1
60,,US,1
61,,unprecedented,1
62,,rK4nPFjjb6,1
63,,fund,1
64,,says,1
65,,tripled,1
66,,investors,1
67,,money,1
68,,catch,1
69,,owned,1
70,,convicted,1
71,,fraudster,1
72,,2ozQ6i5tQ6,1
73,,CL2dUMHjE9,1
74,,sudofinance,1
75,,SuiNetwork,1
76,,wraps,1
77,,real,1
78,,world,1
79,,virtual,1
80,,financial,1
81,,product,1
82,,TWj9uyafR2,1
83,,Manta,1
84,,airdrop,1
85,,faces,1
86,,backlash,1
87,,rare,1
88,,NFTs,1
89,,fall,1
90,,kzfpV5FYAX,1
91,,Taiwan,1
92,,president,1
93,,fan,1
94,,setting,1
95,,rules,1
96,,4LYlv3WIos,1
97,,Introducing,1
98,,Matrix,1
99,,tool,1
100,,helps,1
101,,understand,1
102,,different,1
103,,relation,1
104,,identifying,1
105,,low,1
106,,negative,1
107,,recognize,1
108,,potential,1
109,,risks,1
110,,aid,1
111,,diversifying,1
112,,portfolio,1
113,,seReDaVmlH,1
114,,KeomProtocol,1
115,,Fees,1
116,,Revenue,1
117,,ULlLvjq9CF,1
118,,jiblendxyz,1
119,,jibchain,1
120,,JIBLEND,1
121,,DeFi,1
122,,lending,1
123,,allows,1
124,,various,1
125,,BDZLymPlSM,1
126,,Stables,1
127,,deposit,1
128,,PLS,1
129,,PulseChain,1
130,,locked,1
131,,individual,1
132,,smart,1
133,,contracts,1
134,,called,1
135,,Vaults,1
136,,wIKJ5BocIU,1
137,,V3,1
138,,ouD6qlnGaU,1
139,,ocrXuUNuSf,1
140,,PulsechainCom,1
141,,Using,1
142,,LiquidLoans,1
143,,collateralization,1
144,,repayment,1
145,,schedule,1
146,,immutability,1
147,,governance,1
148,,admin,1
149,,keys,1
150,,i0Ubj6wdnf,1
151,,horizaio,1
152,,Horiza,1
153,,featuring,1
154,,bearing,1
155,,options,1
156,,offering,1
157,,concentrated,1
158,,management,1
159,,manual,1
160,,strategies,1
161,,LWTxeGvbFt,1
162,,dfinity,1
163,,order,1
164,,book,1
165,,ICP,1
166,,a3c2AIiqaO,1
167,,fwxfinance,1
168,,avax,1
169,,FWX,1
170,,based,1
171,,swap,1
172,,anyone,1
173,,list,1
174,,tokens,1
175,,first,1
176,,days,1
177,,simply,1
178,,providing,1
179,,oQgZ0xcXwg,1
180,,HelloTelos,1
181,,provision,1
182,,Telos,1
183,,EVM,1
184,,sjBxOZ7g4N,1
185,,tropical_swap,1
186,,0xMantle,1
187,,TropicalSwap,1
188,,market,1
189,,maker,1
190,,built,1
191,,Mantle,1
192,,h4IWRIkYcG,1
193,,Inu_ZKFair,1
194,,ZKFCommunity,1
195,,ZKFair,1
196,,0qXxt3MyOb,1
197,,Leary,1
198,,pay,1
199,,fees,1
200,,holds,1
201,,digital,1
202,,gold,1
203,,zYouSbhJlg,1
204,,Lazarus,1
205,,robbed,1
206,,firms,1
207,,293m,1
208,,North,1
209,,linked,1
210,,group,1
211,,becoming,1
212,,dangerous,1
213,,OO6JsOzzH9,1
214,,CreampanFi,1
215,,cronos_chain,1
216,,Creampan,1
217,,liquid,1
218,,staking,1
219,,solution,1
220,,Cronos,1
221,,allowing,1
222,,ptCRO,1
223,,principal,1
224,,ytCRO,1
225,,using,1
226,,CRO,1
227,,WCRO,1
228,,uV9AFFWt6n,1
229,,rifonchain,1
230,,rootstock_io,1
231,,censorship,1
232,,resistant,1
233,,Rootstock,1
234,,enabling,1
235,,USDRIF,1
236,,collateralized,1
237,,PRO,1
238,,holders,1
239,,traders,1
240,,b7hOcAwAmA,1
241,,ajnafi,1
242,,ethereum,1
243,,Optimism,1
244,,base,1
245,,0xPolygon,1
246,,permissionless,1
247,,lets,1
248,,use,1
249,,almost,1
250,,ERC20,1
251,,NFT,1
252,,g3qoFisGyu,1
253,,baptswap,1
254,,Aptos_Network,1
255,,0hFvNliXZ3,1
