,profiles,kw,count
0,Defi_Maestro,RT,7
1,,0xMantle,5
2,,mETH,3
3,,TAO,3
4,,co,3
5,,involved,2
6,,already,2
7,,Wen,2
8,,USDe,2
9,,w,2
10,,finally,2
11,,Socket,2
12,,SOL,2
13,,phone,2
14,,Mantle,2
15,,0xavarek,1
16,,seeing,1
17,,message,1
18,,circulating,1
19,,around,1
20,,TG,1
21,,alpha,1
22,,grps,1
23,,claiming,1
24,,im,1
25,,personally,1
26,,lettered,1
27,,memeco,1
28,,leptokurtic_,1
29,,Market,1
30,,sleeping,1
31,,Pay,1
32,,attention,1
33,,quality,1
34,,projects,1
35,,building,1
36,,focus,1
37,,yield,1
38,,bearing,1
39,,assets,1
40,,th,1
41,,sense,1
42,,degen,1
43,,looping,1
44,,InitCapital_,1
45,,launchhh,1
46,,crypto_rand,1
47,,know,1
48,,really,1
49,,interested,1
50,,Bittensor,1
51,,months,1
52,,Let,1
53,,recap,1
54,,short,1
55,,thread,1
56,,j,1
57,,TsunamiFinance_,1
58,,thrilled,1
59,,announce,1
60,,TsunamiX,1
61,,officially,1
62,,live,1
63,,mainnet,1
64,,Swap,1
65,,amp,1
66,,trade,1
67,,margin,1
68,,spot,1
69,,fastest,1
70,,growing,1
71,,LST,1
72,,gona,1
73,,highest,1
74,,yielding,1
75,,USD,1
76,,Cooking,1
77,,storm,1
78,,partnership,1
79,,ethena_labs,1
80,,Watch,1
81,,bring,1
82,,best,1
83,,yields,1
84,,towards,1
85,,ecosystem,1
86,,CryptoHayes,1
87,,bullish,1
88,,adoption,1
89,,Ser,1
90,,Alex,1
91,,created,1
92,,Twitter,1
93,,account,1
94,,One,1
95,,biggest,1
96,,chads,1
97,,space,1
98,,depth,1
99,,knowledge,1
100,,DeFi,1
101,,market,1
102,,making,1
103,,Drop,1
104,,alex_lcg,1
105,,follow,1
106,,alfa,1
107,,SocketDotTech,1
108,,Urgent,1
109,,experienced,1
110,,security,1
111,,incident,1
112,,affected,1
113,,wallets,1
114,,infinite,1
115,,approvals,1
116,,contracts,1
117,,first,1
118,,trash,1
119,,think,1
120,,2nd,1
121,,one,1
122,,heard,1
123,,may,1
124,,airdrops,1
125,,aped,1
126,,paperweights,1
127,,Join,1
128,,ape,1
129,,adventures,1
130,,buying,1
131,,useless,1
132,,crypto,1
133,,use,1
134,,Cheers,1
135,,gtnMIWA9Ub,1
136,,Loaded,1
137,,ton,1
138,,past,1
139,,weeks,1
140,,Feels,1
141,,got,1
142,,bags,1
143,,want,1
144,,Plz,1
145,,send,1
146,,3k,1
147,,haste,1
148,,TYVM,1
149,,0yCQ8D4cMu,1
150,,Showcase,1
151,,Radio,1
152,,back,1
153,,time,1
154,,featuring,1
155,,MerchantMoe_xyz,1
156,,team,1
157,,reps,1
158,,DavideFi_,1
159,,0xLevi_,1
160,,Jan,1
161,,2PM,1
162,,UTC,1
163,,v1,1
164,,vs,1
165,,v2,1
166,,zVy65plhTy,1
167,,Caps,1
168,,raised,1
169,,Tons,1
170,,ETH,1
171,,flowing,1
172,,lasts,1
