,profiles,kw,count
0,DegenWave,phone,2
1,,holders,2
2,,dapp,2
3,,still,2
4,,Someone,2
5,,help,2
6,,co,2
7,,Manta,2
8,,sweet,2
9,,pray,1
10,,Chapter,1
11,,EXTREMELY,1
12,,bullish,1
13,,Saga,1
14,,hours,1
15,,30k,1
16,,devices,1
17,,access,1
18,,store,1
19,,Devs,1
20,,50k,1
21,,users,1
22,,build,1
23,,solana,1
24,,native,1
25,,think,1
26,,projects,1
27,,airdrop,1
28,,tokens,1
29,,GENESIS,1
30,,OG,1
31,,device,1
32,,cost,1
33,,Perplexity,1
34,,Pro,1
35,,plan,1
36,,free,1
37,,dev,1
38,,crypto,1
39,,pivot,1
40,,phones,1
41,,Floor,1
42,,increasing,1
43,,people,1
44,,UpjtQtPrd2,1
45,,Seek,1
46,,L33t,1
47,,Code,1
48,,buyers,1
49,,bYH418hS7o,1
50,,truly,1
51,,understand,1
52,,offer,1
53,,l33t,1
54,,codes,1
55,,buying,1
56,,expected,1
57,,NFTs,1
58,,wildly,1
59,,valued,1
60,,Ya,1
61,,love,1
62,,see,1
63,,Fink,1
64,,hero,1
65,,needed,1
66,,gm,1
67,,let,1
68,,check,1
69,,TIA,1
70,,held,1
71,,ath,1
72,,BTC,1
73,,dumped,1
74,,nearly,1
75,,local,1
76,,top,1
77,,Holders,1
78,,simply,1
79,,stake,1
80,,chill,1
81,,wait,1
82,,airdrops,1
