,profiles,kw,count
0,DusaLabs,Dusa,5
1,,RT,4
2,,DusaLabs,4
3,,new,3
4,,one,3
5,,ambassadors,3
6,,weeks,3
7,,mainnet,3
8,,article,2
9,,appeared,2
10,,Written,2
11,,yacinefrom0,2
12,,focuses,2
13,,customizable,2
14,,autonomous,2
15,,time,2
16,,thanks,2
17,,BI,2
18,,WEEKLY,2
19,,UPDATES,2
20,,quick,2
21,,breakdown,2
22,,main,2
23,,events,2
24,,last,2
25,,two,2
26,,ecosystem,2
27,,sprint,2
28,,days,2
29,,deployment,2
30,,Massa,2
31,,Mainnet,2
32,,live,2
33,,years,2
34,,building,2
35,,MassaLabs,2
36,,shipped,2
37,,bricks,2
38,,coming,2
39,,together,2
40,,liquid,1
41,,liquidity,1
42,,latest,1
43,,features,1
44,,check,1
45,,xJesCR,1
46,,𝗟𝗶𝗺𝗶𝘁,1
47,,𝗢𝗿𝗱𝗲𝗿𝘀,1
48,,key,1
49,,points,1
50,,Chain,1
51,,secure,1
52,,1st,1
53,,offline,1
54,,dependencies,1
55,,ONCHAIN,1
56,,Mas,1
57,,wrap,1
58,,Dusers,1
59,,spend,1
60,,Discord,1
61,,giving,1
62,,us,1
63,,feedback,1
64,,stay,1
65,,tuned,1
66,,next,1
67,,gonna,1
68,,big,1
69,,forget,1
70,,touch,1
71,,grass,1
72,,co,1
73,,YpJk1BBhGt,1
74,,Community,1
75,,Updates,1
76,,running,1
77,,Zealy,1
78,,start,1
79,,run,1
80,,open,1
81,,positions,1
82,,well,1
83,,Beta,1
84,,testers,1
85,,roles,1
86,,idea,1
87,,offer,1
88,,possibility,1
89,,discussing,1
90,,community,1
91,,call,1
92,,directly,1
93,,discord,1
94,,p,1
95,,CET,1
