,profiles,kw,count
0,DysonFinance,co,17
1,,Dyson,9
2,,Finance,9
3,,Dysonauts,6
4,,vote,5
5,,Snapshot,4
6,,Team,4
7,,Contest,4
8,,Cosmically,3
9,,ready,3
10,,Trading,3
11,,Season,3
12,,awLqHADmu9,3
13,,ago,3
14,,DYSN,3
15,,Pool,3
16,,Tier,3
17,,Technical,2
18,,Sunday,2
19,,DEcaAo12Qz,2
20,,incredible,2
21,,community,2
22,,future,2
23,,Year,2
24,,End,2
25,,Dysonovae,2
26,,reach,2
27,,Dysonians,2
28,,PS,2
29,,Rewards,2
30,,Group,2
31,,part,2
32,,Airdrop,2
33,,team,2
34,,crucial,2
35,,Proposal,2
36,,weeks,2
37,,power,2
38,,RT,2
39,,DysonFinance,2
40,,yet,2
41,,rewards,2
42,,win,2
43,,winners,2
44,,NFT,2
45,,member,2
46,,joined,2
47,,Tuesday,2
48,,live,1
49,,UPDATE,1
50,,Voting,1
51,,Issue,1
52,,Solved,1
53,,Apologies,1
54,,inconvenience,1
55,,sDYSN,1
56,,8G7t0gSWHQ,1
57,,None,1
58,,possible,1
59,,without,1
60,,support,1
61,,fuels,1
62,,journey,1
63,,together,1
64,,reaching,1
65,,stars,1
66,,Q4,1
67,,blast,1
68,,poised,1
69,,even,1
70,,excitement,1
71,,little,1
72,,sneak,1
73,,peek,1
74,,unveils,1
75,,expansion,1
76,,new,1
77,,galaxies,1
78,,chains,1
79,,innovative,1
80,,features,1
81,,mind,1
82,,blowing,1
83,,partnerships,1
84,,soar,1
85,,heights,1
86,,dreamed,1
87,,BTl3D15UAB,1
88,,Report,1
89,,Unveiling,1
90,,Mini,1
91,,Roadmap,1
92,,cosmic,1
93,,dust,1
94,,settles,1
95,,last,1
96,,quarter,1
97,,stoked,1
98,,bring,1
99,,Retrospective,1
100,,Link,1
101,,0HrM5sjN8l,1
102,,experiencing,1
103,,issue,1
104,,thanks,1
105,,patience,1
106,,fixed,1
107,,Annnnd,1
108,,first,1
109,,Points,1
110,,catch,1
111,,pg1E7Ro6D4,1
112,,Join,1
113,,participate,1
114,,zA4EYiQkic,1
115,,SnapshotLabs,1
116,,participation,1
117,,guide,1
118,,direction,1
119,,Let,1
120,,unite,1
121,,continue,1
122,,building,1
123,,powered,1
124,,Vote,1
125,,Reallocation,1
126,,hearing,1
127,,valuable,1
128,,feedback,1
129,,Engagement,1
130,,Score,1
131,,System,1
132,,couple,1
133,,submitting,1
134,,mentioned,1
135,,earlier,1
136,,puts,1
137,,hands,1
138,,M4QTDVgPAB,1
139,,em3_dao,1
140,,本週五晚上,1
141,,點,1
142,,UTC,1
143,,我們邀請到,1
144,,的主創,1
145,,luciendeer,1
146,,一同回顧,1
147,,的歷程,1
148,,展望即將在,1
149,,年爆發的機遇,1
150,,Dyson2024,1
151,,現場上麥的,1
152,,boosted,1
153,,pool,1
154,,late,1
155,,enjoy,1
156,,portion,1
157,,contribution,1
158,,propels,1
159,,ecosystem,1
160,,time,1
161,,reap,1
162,,commitment,1
163,,Boosting,1
164,,give,1
165,,edge,1
166,,current,1
167,,Participate,1
168,,SHSGCWrA4D,1
169,,Sponsorship,1
170,,ETH,1
171,,USDC,1
172,,amp,1
173,,Available,1
174,,Boosters,1
175,,voice,1
176,,spoken,1
177,,decided,1
178,,fees,1
179,,earned,1
180,,protocol,1
181,,distributed,1
182,,voters,1
183,,I6EcYyjLBC,1
184,,announced,1
185,,Discord,1
186,,days,1
187,,season,1
188,,airdrop,1
189,,drawn,1
190,,obtain,1
191,,case,1
192,,lower,1
193,,already,1
194,,please,1
195,,us,1
196,,far,1
197,,one,1
198,,showed,1
199,,remaining,1
200,,0x564,1
201,,e8e2c,1
202,,VGT04khU2F,1
203,,tell,1
204,,best,1
205,,overall,1
206,,Point,1
207,,scorers,1
208,,receive,1
209,,Membership,1
210,,start,1
211,,registering,1
212,,chance,1
213,,Tesla,1
214,,Model,1
215,,Nluwu4HYge,1
216,,earn,1
217,,Prize,1
218,,GXamETYIZM,1
219,,starting,1
220,,next,1
221,,RunhUGMfBf,1
