,profiles,kw,count
0,EspressoSys,Arbitrum,6
1,,RT,4
2,,Orbit,4
3,,L3,3
4,,decentralized,2
5,,OffchainLabs,2
6,,oasisonchain,1
7,,Caribbean,1
8,,keeps,1
9,,innovating,1
10,,bringing,1
11,,tech,1
12,,maven,1
13,,educator,1
14,,software,1
15,,engineer,1
16,,alysiatech,1
17,,Espress,1
18,,sgoldfed,1
19,,L2,1
20,,Ethereum,1
21,,One,1
22,,Nova,1
23,,lt,1
24,,ayyyeandy,1
25,,Rollups,1
26,,need,1
27,,shared,1
28,,sequencing,1
29,,ensure,1
30,,longevity,1
31,,decentralization,1
32,,Recording,1
33,,today,1
34,,charleslu1,1
35,,Timeboost,1
36,,transaction,1
37,,ordering,1
38,,policy,1
39,,developed,1
40,,designed,1
41,,protect,1
42,,use,1
