,profiles,kw,count
0,ExpansoIO,data,3
1,,co,2
2,,surge,1
3,,edge,1
4,,generation,1
5,,calls,1
6,,innovative,1
7,,solutions,1
8,,Bacalhau,1
9,,meets,1
10,,challenge,1
11,,head,1
12,,processing,1
13,,right,1
14,,generated,1
15,,tackles,1
16,,bandwidth,1
17,,storage,1
18,,issues,1
19,,improves,1
20,,security,1
21,,compliance,1
22,,H3FvVcwzHE,1
23,,aZ1FI3rSp3,1
24,,RT,1
25,,aronchick,1
26,,one,1
27,,really,1
28,,cool,1
29,,Want,1
30,,ad,1
31,,hoc,1
32,,distributed,1
33,,log,1
34,,analysis,1
35,,services,1
36,,nginx,1
37,,native,1
38,,Bacalha,1
