,profiles,kw,count
0,FitzyCrypto,AI,11
1,,co,11
2,,RT,9
3,,AnyInuCoin,8
4,,time,4
5,,chain,3
6,,Gm,3
7,,AIARMY,3
8,,first,2
9,,multi,2
10,,Satashi,2
11,,continues,2
12,,dog,2
13,,SHIB,2
14,,memes,2
15,,hard,2
16,,people,2
17,,think,2
18,,got,2
19,,goes,2
20,,point,2
21,,going,2
22,,inu,2
23,,already,2
24,,Search,1
25,,PancakeSwap,1
26,,result,1
27,,meme,1
28,,whitelisted,1
29,,P,1
30,,jonzzyTV,1
31,,without,1
32,,SatashiMoto,1
33,,lXCZ9AOWfh,1
34,,BKwasputch,1
35,,10k,1
36,,Holders,1
37,,two,1
38,,weeks,1
39,,exponential,1
40,,IEKOTPLAsO,1
41,,old,1
42,,new,1
43,,transition,1
44,,begun,1
45,,chads,1
46,,swapping,1
47,,8CuSG7aXhw,1
48,,djFD9tLUqu,1
49,,7p8C2SpH9O,1
50,,Stop,1
51,,asking,1
52,,utility,1
53,,devs,1
54,,difficult,1
55,,questions,1
56,,speak,1
57,,boss,1
58,,directly,1
59,,pQE3hPshAq,1
60,,Bought,1
61,,BABY,1
62,,noticed,1
63,,TROLL,1
64,,wallets,1
65,,buying,1
66,,Teams,1
67,,pumping,1
68,,good,1
69,,content,1
70,,many,1
71,,eth,1
72,,running,1
73,,one,1
74,,talking,1
75,,magic,1
76,,Web,1
77,,updates,1
78,,soon,1
79,,Coming,1
80,,late,1
81,,Wednesday,1
82,,tWUggnR06m,1
83,,MulahCrypto,1
84,,lot,1
85,,back,1
86,,0xl,1
87,,0xleveragebot,1
88,,fully,1
89,,public,1
90,,Alittle,1
91,,alpha,1
92,,Honestly,1
93,,debating,1
94,,selling,1
95,,feel,1
96,,ryoshi,1
97,,proud,1
98,,decentralised,1
99,,across,1
100,,chains,1
101,,everyone,1
102,,working,1
103,,together,1
104,,Py4lXLtV0D,1
105,,markets,1
106,,heating,1
107,,loose,1
108,,twitter,1
109,,shills,1
110,,either,1
111,,getting,1
112,,rugged,1
113,,riches,1
114,,100x,1
115,,interns,1
116,,fault,1
117,,Men,1
118,,reply,1
119,,shit,1
120,,thirsty,1
121,,comments,1
122,,beta,1
123,,lmao,1
124,,word,1
125,,worth,1
126,,lads,1
127,,Man,1
128,,anyone,1
129,,asks,1
130,,bullish,1
131,,sick,1
132,,narrative,1
133,,ticker,1
134,,dev,1
135,,performs,1
136,,Im,1
137,,tweet,1
138,,Bro,1
139,,aped,1
140,,3k,1
141,,locked,1
142,,till,1
143,,June,1
144,,even,1
145,,tho,1
146,,bag,1
147,,Die,1
148,,lixiangsns,1
149,,worried,1
150,,price,1
151,,rise,1
152,,bought,1
153,,10BNB,1
154,,3000USDT,1
155,,lock,1
156,,Another,1
157,,rated,1
158,,legend,1
159,,followed,1
160,,Picked,1
161,,analos,1
162,,others,1
163,,early,1
164,,useful,1
165,,feature,1
166,,upcoming,1
167,,week,1
168,,desire,1
169,,DAPP,1
170,,yA5zEa76bt,1
171,,ArtistFAChekki,1
172,,AIarmy,1
173,,AnyInu,1
174,,Engage,1
175,,video,1
176,,tag,1
177,,friend,1
178,,Inu,1
179,,Possibly,1
180,,Next,1
181,,DOGE,1
182,,1000x,1
183,,brothers,1
184,,sisters,1
185,,Yesterday,1
186,,BTC,1
187,,NuKoR,1
188,,expected,1
189,,something,1
190,,different,1
191,,Shit,1
192,,coins,1
193,,pampin,1
194,,Tg,1
195,,ghost,1
196,,town,1
197,,degens,1
198,,mindset,1
199,,changing,1
200,,onchain,1
201,,szn,1
202,,coming,1
203,,sooner,1
204,,body,1
205,,ready,1
206,,v3Vu5U3wkj,1
207,,realdogen,1
208,,wagmi,1
209,,short,1
210,,list,1
211,,FF,1
212,,Poe_Ether,1
213,,CryptoTalkMan,1
214,,IHunt100xGems,1
215,,cryptoskullx,1
216,,traderpow,1
217,,Un3kn6wn9,1
218,,FitzyCrypto,1
219,,Kin,1
