,profiles,kw,count
0,FlashTrade_,Beast,8
1,,co,6
2,,FLP,3
3,,fee,3
4,,trading,3
5,,Flash,3
6,,Trade,3
7,,level,3
8,,Beasts,3
9,,Points,3
10,,Higher,2
11,,Fee,2
12,,Discounts,2
13,,share,2
14,,holders,2
15,,advantages,2
16,,Let,2
17,,Voltage,2
18,,referral,2
19,,PM,2
20,,UTC,2
21,,TLDR,1
22,,Level,1
23,,Referral,1
24,,Rebates,1
25,,Boost,1
26,,Mechanism,1
27,,POL,1
28,,R5fTRPHmMv,1
29,,earns,1
30,,fees,1
31,,generated,1
32,,corresponding,1
33,,addition,1
34,,benefits,1
35,,mentioned,1
36,,truly,1
37,,another,1
38,,league,1
39,,comes,1
40,,NFTs,1
41,,enjoy,1
42,,discounted,1
43,,open,1
44,,close,1
45,,based,1
46,,Primary,1
47,,save,1
48,,100k,1
49,,worth,1
50,,might,1
51,,wondering,1
52,,Well,1
53,,significant,1
54,,leveling,1
55,,take,1
56,,closer,1
57,,look,1
58,,Users,1
59,,earn,1
60,,VP,1
61,,earning,1
62,,yield,1
63,,staked,1
64,,receiving,1
65,,rebates,1
66,,stored,1
67,,blockchain,1
68,,immutable,1
69,,NFT,1
70,,Finally,1
71,,completely,1
72,,transparent,1
73,,chain,1
74,,system,1
75,,Solana,1
76,,Curious,1
77,,work,1
78,,dive,1
79,,right,1
80,,jACakVwuFk,1
81,,lane,1
82,,flourishing,1
83,,growing,1
84,,mc6BqThYoj,1
85,,Public,1
86,,Launch,1
87,,finally,1
88,,upon,1
89,,us,1
90,,January,1
91,,16th,1
92,,Cap,1
93,,raised,1
94,,able,1
95,,generate,1
96,,links,1
97,,8AcHecxVSA,1
98,,coming,1
99,,XIchWRN9mW,1
100,,wait,1
101,,make,1
102,,sure,1
103,,check,1
104,,recording,1
105,,latest,1
106,,community,1
107,,call,1
108,,s40j1OOpbG,1
