,profiles,kw,count
0,FreeNFT,co,6
1,,MINT,3
2,,Digi,3
3,,Starter,3
4,,check,3
5,,Pack,3
6,,excited,3
7,,Discord,3
8,,FreeNFT,3
9,,WINNERS,3
10,,register,3
11,,NIFTY,2
12,,ISLAND,2
13,,LIVE,2
14,,Chibi,2
15,,site,2
16,,go,2
17,,Congratulations,2
18,,hope,2
19,,play,2
20,,Members,2
21,,SELECTED,2
22,,DigiDaigaku,2
23,,Nifty_Island,2
24,,REGISTRATION,2
25,,CLOSING,2
26,,Nifty,2
27,,Island,2
28,,received,1
29,,qJxws5jrQj,1
30,,ALERT,1
31,,MILESTONE,1
32,,ACHIEVED,1
33,,time,1
34,,celebrate,1
35,,reached,1
36,,Welcome,1
37,,new,1
38,,distribute,1
39,,top,1
40,,projects,1
41,,collections,1
42,,completely,1
43,,free,1
44,,gYoImkhVy8,1
45,,play_ember,1
46,,got,1
47,,takes,1
48,,SPEED,1
49,,TEST,1
50,,LEVEL,1
51,,human,1
52,,solved,1
53,,challenge,1
54,,Complete,1
55,,earn,1
56,,raffle,1
57,,ticket,1
58,,teGOGZRTjN,1
59,,Make,1
60,,sure,1
61,,follow,1
62,,YouTube,1
63,,Channel,1
64,,recent,1
65,,short,1
66,,M1CVSwiEZM,1
67,,TodayTheGame,1
68,,GENESIS,1
69,,ANCIENT,1
70,,SEEDS,1
71,,results,1
72,,live,1
73,,oBrMm5HS2K,1
74,,RT,1
75,,Collectors,1
76,,IMPORTANT,1
77,,SOON,1
78,,Today,1
79,,FINAL,1
80,,opportunity,1
81,,kickstart,1
82,,universe,1
83,,adventures,1
84,,prizes,1
85,,explored,1
86,,R7Mz2FirFX,1
87,,Available,1
88,,exclusively,1
89,,Digidaigaku,1
90,,holders,1
91,,randomly,1
92,,selected,1
93,,set,1
94,,users,1
95,,Usable,1
96,,upcoming,1
97,,Open,1
98,,Beta,1
