,profiles,kw,count
0,GainsNetwork_io,ARB,13
1,,co,9
2,,rewards,6
3,,traders,6
4,,PnL,6
5,,Epoch,5
6,,gTrade,5
7,,worth,5
8,,week,5
9,,reward,4
10,,trading,4
11,,High,4
12,,GainsNetwork_io,3
13,,Data,3
14,,Trade,3
15,,Earn,3
16,,trader,3
17,,weekly,3
18,,Loyalty,3
19,,negative,3
20,,fee,3
21,,pool,3
22,,RT,2
23,,sea,2
24,,red,2
25,,across,2
26,,crypto,2
27,,today,2
28,,BTC,2
29,,amp,2
30,,ETH,2
31,,respectively,2
32,,biggest,2
33,,market,2
34,,chainlink,2
35,,integrating,2
36,,Streams,2
37,,CCIP,2
38,,cross,2
39,,chain,2
40,,big,2
41,,go,2
42,,net,2
43,,7K,2
44,,profit,2
45,,volume,2
46,,finished,2
47,,tokens,2
48,,losses,2
49,,distributed,2
50,,incentives,2
51,,GammaStrategies,2
52,,affected,2
53,,gDAI,2
54,,DAI,2
55,,breach,2
56,,impacted,2
57,,addresses,2
58,,Gamma,2
59,,deposits,2
60,,user,2
61,,markets,1
62,,l,1
63,,losers,1
64,,include,1
65,,SUI,1
66,,CHZ,1
67,,SEI,1
68,,bias,1
69,,heading,1
70,,weekend,1
71,,gm,1
72,,gTraders,1
73,,claims,1
74,,live,1
75,,fiex5RYd1H,1
76,,help,1
77,,secure,1
78,,onchain,1
79,,power,1
80,,gover,1
81,,Chainlink,1
82,,support,1
83,,reliability,1
84,,future,1
85,,initiatives,1
86,,deep,1
87,,dive,1
88,,tech,1
89,,behind,1
90,,collaboration,1
91,,benefits,1
92,,users,1
93,,DJbrZHZ0XS,1
94,,coming,1
95,,close,1
96,,0x3561,1
97,,front,1
98,,50K,1
99,,estimated,1
100,,prepped,1
101,,another,1
102,,starts,1
103,,UTC,1
104,,weeks,1
105,,still,1
106,,plenty,1
107,,time,1
108,,left,1
109,,stack,1
110,,Make,1
111,,sure,1
112,,join,1
113,,Discord,1
114,,chat,1
115,,fellow,1
116,,keep,1
117,,updated,1
118,,Twitter,1
119,,X,1
120,,Happy,1
121,,always,1
122,,unnoticed,1
123,,set,1
124,,next,1
125,,DSmjyKUEeV,1
126,,much,1
127,,better,1
128,,winning,1
129,,trades,1
130,,receiving,1
131,,bonus,1
132,,9K,1
133,,8K,1
134,,5K,1
135,,lyOEetl83I,1
136,,paying,1
137,,earn,1
138,,lion,1
139,,share,1
140,,171K,1
141,,received,1
142,,6K,1
143,,93K,1
144,,offsetting,1
145,,4jY9UF097R,1
146,,Let,1
147,,take,1
148,,look,1
149,,examples,1
150,,different,1
151,,categories,1
152,,earning,1
153,,high,1
154,,receive,1
155,,even,1
156,,compensate,1
157,,use,1
158,,rebate,1
159,,ahead,1
160,,thanks,1
161,,loyal,1
162,,profitable,1
163,,active,1
164,,based,1
165,,categorized,1
166,,system,1
167,,Per,1
168,,Category,1
169,,Fees,1
170,,total,1
171,,one,1
172,,Weekly,1
173,,winnings,1
174,,294K,1
175,,590K,1
176,,records,1
177,,smashed,1
178,,new,1
179,,pairs,1
180,,added,1
181,,breakdown,1
182,,highest,1
183,,earners,1
184,,category,1
185,,432RR30S5G,1
186,,continue,1
187,,update,1
188,,community,1
189,,situation,1
190,,evolves,1
191,,Relevant,1
192,,Channels,1
193,,MFGSF0p6L7,1
194,,1oHoqm4mBs,1
195,,Users,1
196,,review,1
197,,list,1
198,,follow,1
199,,instructions,1
200,,claiming,1
201,,recovery,1
202,,funds,1
203,,Exploit,1
204,,tCwEu6Be1f,1
205,,January,1
206,,4th,1
207,,security,1
208,,several,1
209,,including,1
210,,holding,1
211,,many,1
212,,released,1
213,,post,1
214,,mortem,1
215,,remediation,1
216,,plan,1
217,,main,1
218,,priority,1
219,,return,1
