,profiles,kw,count
0,Galxe,co,18
1,,Galxe,13
2,,web3,6
3,,chain,4
4,,Z,4
5,,AI,3
6,,Astronauts,3
7,,ZETA,3
8,,tasks,3
9,,Dive,3
10,,part,2
11,,Beta,2
12,,today,2
13,,securing,2
14,,Shop,2
15,,new,2
16,,earn,2
17,,GAL,2
18,,back,2
19,,among,2
20,,claim,2
21,,OAT,2
22,,RT,2
23,,mint,2
24,,New,2
25,,Year,2
26,,xdefi_wallet,2
27,,zetablockchain,2
28,,Complete,2
29,,across,2
30,,Connect,2
31,,exclusive,2
32,,GalxeOAT,2
33,,rWFk6zP6ap,2
34,,campaigns,2
35,,Key,2
36,,Join,2
37,,journey,2
38,,exciting,2
39,,Claim,2
40,,rewards,2
41,,know,1
42,,Yep,1
43,,heard,1
44,,us,1
45,,right,1
46,,Discover,1
47,,power,1
48,,impactful,1
49,,experience,1
50,,Pre,1
51,,testing,1
52,,version,1
53,,iOMQ72euoQ,1
54,,EhZBtXk1WE,1
55,,using,1
56,,everyday,1
57,,life,1
58,,Comment,1
59,,favorite,1
60,,tool,1
61,,buckle,1
62,,WalletConnect,1
63,,gearing,1
64,,Web3Inbox,1
65,,release,1
66,,notifications,1
67,,way,1
68,,subscribe,1
69,,already,1
70,,aMXuoGVfee,1
71,,MW3,1
72,,Module,1
73,,putting,1
74,,keys,1
75,,funds,1
76,,hands,1
77,,Learn,1
78,,security,1
79,,partners,1
80,,Quantstamp,1
81,,protectmywallet,1
82,,iCch6wKuPQ,1
83,,jcyGPXRGis,1
84,,Waitlist,1
85,,Alert,1
86,,powered,1
87,,ShopMoso,1
88,,destination,1
89,,online,1
90,,shopping,1
91,,order,1
92,,first,1
93,,sign,1
94,,receive,1
95,,store,1
96,,yf4r4AkkEp,1
97,,AWl2yM6Bhj,1
98,,charleswayn,1
99,,biggest,1
100,,gain,1
101,,season,1
102,,users,1
103,,Congrats,1
104,,everyone,1
105,,First,1
106,,XAI_GAMES,1
107,,MantaNetwork,1
108,,alt_layer,1
109,,W,1
110,,wondered,1
111,,digital,1
112,,reputation,1
113,,Score,1
114,,forget,1
115,,Soulbound,1
116,,NFT,1
117,,Festival,1
118,,hqgOIA8sKQ,1
119,,DIqIqg7MfQ,1
120,,airdrop,1
121,,Introducing,1
122,,XDEFI,1
123,,ZetaZone,1
124,,th,1
125,,Wanna,1
126,,snag,1
127,,ForbesWeb3,1
128,,Digital,1
129,,Assets,1
130,,premium,1
131,,content,1
132,,free,1
133,,wallet,1
134,,unlock,1
135,,whole,1
136,,world,1
137,,rWPWvAJ5lx,1
138,,Meeting,1
139,,Vitalik,1
140,,Sign,1
141,,jumping,1
142,,lightning,1
143,,speed,1
144,,Optimism,1
145,,RetroPGF,1
146,,Initiative,1
147,,granted,1
148,,OP,1
149,,Big,1
150,,cheers,1
151,,team,1
152,,stellar,1
153,,achievement,1
154,,wzCLgpDiU8,1
155,,7QoezAWqWA,1
156,,available,1
157,,Chains,1
158,,JLOiJWoorw,1
159,,elevate,1
160,,crypto,1
161,,opportunities,1
162,,share,1
163,,massive,1
164,,70K,1
165,,Become,1
166,,eligible,1
167,,acquiring,1
168,,completing,1
169,,collect,1
170,,NFTs,1
171,,community,1
172,,win,1
173,,amazing,1
174,,prizes,1
175,,fDLmJTqtx0,1
176,,tech,1
177,,adventure,1
178,,latchwallet,1
179,,Latch,1
180,,Tester,1
181,,pioneers,1
182,,defining,1
183,,future,1
184,,smart,1
185,,accounts,1
186,,Let,1
187,,embark,1
188,,innovation,1
189,,together,1
190,,Happy,1
191,,Monday,1
192,,Twitter,1
193,,Space,1
194,,hinkal_protocol,1
195,,Jan,1
196,,6am,1
197,,UTC,1
198,,Set,1
199,,reminder,1
200,,c3BjiO57MS,1
201,,Explore,1
202,,multi,1
203,,privacy,1
204,,layer,1
205,,private,1
206,,transactions,1
207,,favourite,1
208,,dApps,1
209,,swaps,1
210,,liquidity,1
211,,provision,1
212,,staking,1
213,,amp,1
214,,yield,1
215,,farming,1
216,,participate,1
217,,1bzfKbZ0ku,1
218,,Gm,1
219,,Resolution,1
220,,Time,1
221,,goals,1
222,,dreams,1
223,,Sound,1
224,,comments,1
