,profiles,kw,count
0,GreenGeorgeEth,RT,5
1,,WolvesDAO,2
2,,Airdrop,2
3,,co,1
4,,DTxRsg06FO,1
5,,sparkcsays,1
6,,Alpha,1
7,,Wolves,1
8,,Selling,1
9,,Dimensionals,1
10,,v,1
11,,Bornless,1
12,,Overworld,1
13,,Value,1
14,,Predictions,1
15,,DustStormGG,1
16,,Yesterday,1
17,,last,1
18,,day,1
19,,Wolf,1
20,,Week,1
21,,honor,1
22,,recognized,1
23,,among,1
24,,community,1
25,,geniuse,1
26,,Lemz_42,1
27,,Let,1
28,,go,1
29,,Gamified,1
30,,word,1
31,,Otherside,1
32,,latest,1
33,,trailer,1
34,,Console,1
35,,losing,1
36,,subs,1
37,,gaining,1
38,,MAU,1
39,,RAID,1
40,,B,1
41,,IntentX_,1
42,,retweet,1
43,,follow,1
44,,reply,1
45,,address,1
46,,addresses,1
47,,kept,1
48,,mind,1
